dataset,instances,attrs,classes,accuracy,trainMs,mineMs,pruneMs,chiSqMs,g2sMs,covMs,bmapMs,indexMs,predictMs,peakMemMB,rulesMined,rulesPruned
Anneal,898,38,6,0.9767,2983,2524.01,459.08,348.82,0.00,109.85,0.24,0.20,0,261,156588,92
Australian,690,14,2,0.8666,181,93.17,88.36,79.88,0.00,8.43,0.03,0.12,0,64,18745,458
Auto,205,25,6,0.8141,482,359.92,122.69,98.76,0.00,23.90,0.01,0.07,0,178,209009,208
Breast-Cancer,683,9,2,0.9692,20,7.46,13.65,4.91,7.66,1.05,0.02,0.07,0,4,2836,265
Cleve,303,13,2,0.8290,70,29.33,41.13,25.23,14.83,1.04,0.01,0.07,0,32,16274,276
Crx,690,15,2,0.8569,211,114.95,96.64,87.01,0.00,9.60,0.03,0.14,0,52,30762,560
Diabetes,768,8,2,0.7344,11,5.63,6.25,5.01,0.36,0.86,0.02,0.06,0,0,1585,213
German,1000,20,2,0.7280,1016,615.30,401.15,383.56,0.00,17.53,0.05,0.24,0,168,89483,982
Glass,214,9,6,0.6995,5,2.90,2.94,1.20,1.48,0.25,0.01,0.04,0,0,2021,121
Heart,270,13,2,0.8074,61,26.10,35.76,21.61,13.21,0.93,0.01,0.07,0,28,15134,250
Hepatitis,155,19,2,0.8272,89,60.31,29.72,28.89,0.00,0.82,0.01,0.04,0,60,38172,123
Horse,368,22,2,0.8071,521,332.37,189.86,178.14,0.00,11.69,0.02,0.04,0,130,129386,394
Hypo,3163,25,2,0.9795,2199,1179.91,1020.41,954.79,0.00,65.47,0.14,0.02,0,179,86450,177
Iono,351,34,2,0.9171,916,733.67,183.41,150.05,0.00,33.32,0.03,0.06,0,179,129736,194
Iris,150,4,3,0.9267,0,0.21,0.13,0.06,0.03,0.03,0.01,0.01,0,0,90,30
Labor,57,16,2,0.9333,45,15.88,29.55,7.31,22.05,0.17,0.01,0.02,0,24,24003,49
Led7,3200,7,10,0.7120,21,14.78,7.14,4.95,0.07,1.98,0.13,0.02,0,0,242,111
Lymphography,148,18,4,0.8349,139,86.78,52.70,51.14,0.00,1.54,0.01,0.02,0,66,65800,147
Pima,768,8,2,0.7344,11,5.64,6.42,5.15,0.37,0.87,0.02,0.02,0,0,1585,213
Sick,2800,29,2,0.9654,2721,2041.38,680.14,565.55,0.00,114.44,0.15,0.03,0,223,85874,146
Sonar,208,60,2,0.7796,2212,2100.14,113.07,91.29,0.00,21.75,0.02,0.01,0,264,160000,134
Tic-Tac-Toe,958,9,2,0.9916,57,35.80,21.70,16.11,4.41,1.13,0.04,0.01,0,24,7047,182
Vehicle,846,18,4,0.6810,384,225.71,159.40,135.70,0.00,23.66,0.04,0.03,0,70,36922,478
Waveform,5000,21,3,0.8164,4107,2507.55,1599.71,1435.25,0.00,164.22,0.23,0.14,11,216,75473,2659
Wine,178,13,3,0.9667,31,20.59,11.13,10.91,0.00,0.20,0.01,0.01,0,28,16933,54
Zoo,101,16,7,0.9652,22,15.63,6.91,6.30,0.00,0.59,0.01,0.01,0,0,13758,35
