dataset,instances,attrs,classes,accuracy,trainMs,mineMs,pruneMs,chiSqMs,g2sMs,covMs,bmapMs,indexMs,predictMs,peakMemMB,rulesMined,rulesPruned
Anneal,898,38,6,0.9767,3094,2640.06,454.26,346.29,0.00,107.52,0.28,0.17,0,239,156588,92
Australian,690,14,2,0.8666,183,95.28,88.19,79.55,0.00,8.59,0.03,0.13,0,72,18745,458
Auto,205,25,6,0.8141,485,361.90,124.08,99.12,0.00,24.92,0.01,0.06,0,182,209009,208
Breast-Cancer,683,9,2,0.9692,19,7.72,12.26,4.86,6.25,1.11,0.02,0.08,0,4,2836,265
Cleve,303,13,2,0.8290,74,32.04,42.54,26.32,15.06,1.13,0.02,0.08,0,32,16274,276
Crx,690,15,2,0.8569,213,117.31,96.66,86.45,0.00,10.17,0.03,0.15,0,52,30762,560
Diabetes,768,8,2,0.7344,11,5.85,6.26,4.99,0.38,0.87,0.02,0.06,0,0,1585,213
German,1000,20,2,0.7280,1011,613.61,398.39,380.90,0.00,17.42,0.05,0.27,0,181,89483,982
Glass,214,9,6,0.6995,5,2.90,2.86,1.15,1.46,0.25,0.01,0.05,0,0,2021,121
Heart,270,13,2,0.8074,62,26.41,35.95,21.21,13.81,0.91,0.01,0.07,0,28,15134,250
Hepatitis,155,19,2,0.8272,89,59.68,29.89,29.06,0.00,0.81,0.01,0.04,0,56,38172,123
Horse,368,22,2,0.8071,514,326.72,188.42,176.48,0.00,11.91,0.02,0.04,0,145,129386,394
Hypo,3163,25,2,0.9795,2235,1205.78,1030.42,965.47,0.00,64.79,0.15,0.03,0,179,86450,177
Iono,351,34,2,0.9171,904,722.71,181.73,147.81,0.00,33.88,0.03,0.06,0,179,129736,194
Iris,150,4,3,0.9267,0,0.20,0.13,0.06,0.03,0.02,0.01,0.01,0,0,90,30
Labor,57,16,2,0.9333,44,15.96,29.48,6.95,22.37,0.14,0.01,0.01,0,24,24003,49
Led7,3200,7,10,0.7120,22,15.65,7.06,4.85,0.07,2.01,0.11,0.02,0,0,242,111
Lymphography,148,18,4,0.8349,140,86.61,54.18,52.66,0.00,1.50,0.01,0.02,0,54,65800,147
Pima,768,8,2,0.7344,12,5.97,6.69,5.31,0.41,0.93,0.03,0.02,0,0,1585,213
Sick,2800,29,2,0.9654,2747,2073.39,674.22,559.88,0.00,114.18,0.14,0.04,0,239,85874,146
Sonar,208,60,2,0.7796,2175,2061.49,114.89,92.74,0.00,22.12,0.02,0.01,0,276,160000,134
Tic-Tac-Toe,958,9,2,0.9916,58,36.96,21.82,16.32,4.33,1.13,0.04,0.01,0,24,7047,182
Vehicle,846,18,4,0.6810,386,229.34,157.29,133.85,0.00,23.38,0.04,0.03,0,104,36922,478
Waveform,5000,21,3,0.8164,4206,2605.82,1600.64,1436.24,0.00,164.18,0.21,0.16,6,176,75473,2659
Wine,178,13,3,0.9667,32,21.65,11.38,11.14,0.00,0.22,0.01,0.01,0,28,16933,54
Zoo,101,16,7,0.9652,21,15.71,6.67,6.03,0.00,0.61,0.01,0.01,0,0,13758,35
