dataset,instances,attrs,classes,accuracy,trainMs,mineMs,pruneMs,chiSqMs,g2sMs,covMs,bmapMs,indexMs,predictMs,peakMemMB,rulesMined,rulesPruned
Anneal,898,38,6,0.9767,1492,848.97,642.96,46.89,576.74,17.12,2.08,0.17,0,259,156588,92
Australian,690,14,2,0.8695,71,59.92,11.98,4.55,6.38,0.82,0.22,0.12,0,68,18745,456
Auto,205,25,6,0.8141,750,258.47,492.44,47.31,430.33,14.67,0.12,0.07,0,184,209009,208
Breast-Cancer,683,9,2,0.9692,4,3.90,1.35,0.42,0.59,0.15,0.19,0.07,0,0,2836,265
Cleve,303,13,2,0.8290,25,20.13,5.84,2.58,2.89,0.25,0.11,0.08,0,36,16274,276
Crx,690,15,2,0.8583,89,67.14,22.88,7.24,14.25,1.15,0.23,0.14,0,61,30762,559
Diabetes,768,8,2,0.7344,2,1.77,0.76,0.27,0.22,0.06,0.21,0.06,0,0,1585,213
German,1000,20,2,0.7280,432,384.18,48.27,20.05,25.36,2.44,0.40,0.25,0,179,89483,981
Glass,214,9,6,0.6995,2,1.78,0.88,0.34,0.42,0.07,0.05,0.04,0,0,2021,121
Heart,270,13,2,0.8074,23,18.11,5.43,2.28,2.78,0.29,0.08,0.08,0,0,15134,250
Hepatitis,155,19,2,0.8272,60,45.78,15.31,5.66,9.21,0.36,0.07,0.04,0,56,38172,123
Horse,368,22,2,0.8071,352,238.79,114.34,21.45,89.82,2.94,0.12,0.03,0,173,129386,394
Hypo,3163,25,2,0.9795,257,184.16,73.64,19.66,49.74,2.94,1.29,0.03,0,179,86450,176
Iono,351,34,2,0.9060,905,472.33,433.20,35.58,386.55,10.87,0.19,0.03,0,209,129736,194
Iris,150,4,3,0.9267,0,0.13,0.10,0.03,0.03,0.01,0.03,0.01,0,0,90,30
Labor,57,16,2,0.9333,19,14.61,5.17,2.62,2.31,0.20,0.03,0.01,0,0,24003,49
Led7,3200,7,10,0.7120,3,2.69,0.66,0.07,0.05,0.10,0.43,0.01,0,0,242,111
Lymphography,148,18,4,0.8349,107,75.67,31.83,10.15,20.67,0.96,0.05,0.02,0,75,65800,147
Pima,768,8,2,0.7344,2,1.72,0.62,0.24,0.22,0.06,0.09,0.02,0,0,1585,213
Sick,2800,29,2,0.9654,415,380.88,34.79,17.26,14.20,2.47,0.86,0.03,0,175,85874,146
Sonar,208,60,2,0.7796,2085,1115.92,969.79,34.48,924.78,10.40,0.13,0.01,0,275,160000,134
Tic-Tac-Toe,958,9,2,0.9916,21,19.41,2.22,1.12,0.82,0.16,0.11,0.01,0,0,7047,182
Vehicle,846,18,4,0.6810,171,124.89,46.97,9.71,34.35,2.72,0.19,0.03,0,158,36922,478
Waveform,5000,21,3,0.8162,1548,1357.79,190.79,33.04,146.74,9.64,1.37,0.11,6,165,75473,2651
Wine,178,13,3,0.9667,27,15.83,11.98,3.14,8.67,0.14,0.03,0.01,0,28,16933,54
Zoo,101,16,7,0.9652,24,13.90,10.92,2.74,7.60,0.55,0.02,0.01,0,20,13758,35
