dataset,instances,attrs,classes,accuracy,trainMs,mineMs,pruneMs,chiSqMs,g2sMs,covMs,bmapMs,indexMs,predictMs,peakMemMB,rulesMined,rulesPruned
Anneal,898,38,6,0.9767,1723,834.04,888.91,36.51,834.02,16.27,1.96,0.17,0,263,156588,92
Australian,690,14,2,0.8695,75,60.55,15.07,4.51,9.23,1.08,0.22,0.12,0,56,18745,456
Auto,205,25,6,0.8141,1101,258.51,843.13,49.08,776.04,17.88,0.11,0.06,0,184,209009,208
Breast-Cancer,683,9,2,0.9692,5,3.77,1.74,0.41,0.99,0.15,0.18,0.07,0,0,2836,265
Cleve,303,13,2,0.8290,26,20.05,7.03,2.61,4.10,0.20,0.11,0.07,0,0,16274,276
Crx,690,15,2,0.8583,95,67.27,28.42,6.34,20.82,1.03,0.22,0.13,0,65,30762,559
Diabetes,768,8,2,0.7344,2,1.63,0.80,0.27,0.26,0.06,0.21,0.06,0,0,1585,213
German,1000,20,2,0.7280,435,377.43,58.60,18.99,36.94,2.29,0.36,0.23,0,173,89483,981
Glass,214,9,6,0.6995,2,1.66,0.92,0.29,0.52,0.06,0.05,0.04,0,0,2021,121
Heart,270,13,2,0.8074,23,17.35,5.98,1.94,3.76,0.20,0.08,0.07,0,32,15134,250
Hepatitis,155,19,2,0.8272,64,44.62,20.00,5.13,14.40,0.41,0.06,0.05,0,41,38172,123
Horse,368,22,2,0.8071,399,227.56,172.15,22.40,146.55,3.08,0.12,0.03,0,176,129386,394
Hypo,3163,25,2,0.9795,284,177.09,107.57,19.84,84.15,2.60,0.96,0.02,0,178,86450,176
Iono,351,34,2,0.9060,1166,473.73,693.50,30.92,653.59,8.81,0.16,0.03,0,179,129736,194
Iris,150,4,3,0.9267,0,0.12,0.09,0.02,0.03,0.01,0.03,0.01,0,0,90,30
Labor,57,16,2,0.9333,21,14.51,7.73,2.96,4.56,0.18,0.02,0.01,0,0,24003,49
Led7,3200,7,10,0.7120,3,2.80,0.62,0.06,0.06,0.09,0.41,0.01,0,0,242,111
Lymphography,148,18,4,0.8349,123,76.96,47.25,11.89,34.40,0.92,0.05,0.02,0,78,65800,147
Pima,768,8,2,0.7344,1,1.68,0.66,0.25,0.26,0.06,0.09,0.02,0,0,1585,213
Sick,2800,29,2,0.9654,427,377.32,50.20,17.78,28.92,2.33,1.18,0.03,0,178,85874,146
Sonar,208,60,2,0.7796,2530,1073.63,1456.78,33.49,1412.79,10.36,0.14,0.01,0,291,160000,134
Tic-Tac-Toe,958,9,2,0.9916,22,19.61,3.03,1.30,1.39,0.20,0.13,0.01,0,0,7047,182
Vehicle,846,18,4,0.6810,180,121.90,58.88,8.85,47.11,2.74,0.18,0.02,0,162,36922,478
Waveform,5000,21,3,0.8162,1443,1204.87,239.26,32.64,194.72,10.68,1.22,0.10,10,172,75473,2651
Wine,178,13,3,0.9667,36,16.59,20.03,2.90,16.92,0.17,0.04,0.01,0,32,16933,54
Zoo,101,16,7,0.9652,28,13.20,16.13,2.36,13.17,0.57,0.03,0.01,0,24,13758,35
