dataset,instances,attrs,classes,accuracy,trainMs,mineMs,pruneMs,chiSqMs,g2sMs,covMs,bmapMs,indexMs,predictMs,peakMemMB,rulesMined,rulesPruned
Anneal,898,38,6,0.9767,3637,3086.53,550.53,407.59,0.00,142.32,0.36,0.21,0,263,156588,92
Australian,690,14,2,0.8666,215,117.44,98.13,88.65,0.00,9.43,0.03,0.16,0,60,18745,458
Auto,205,25,6,0.8143,606,439.82,167.09,129.85,0.00,37.20,0.02,0.08,0,161,209009,209
Breast-Cancer,683,9,2,0.9706,23,8.78,14.60,5.24,7.96,1.36,0.03,0.09,0,4,2836,265
Cleve,303,13,2,0.8257,80,34.45,46.44,27.57,17.49,1.35,0.02,0.11,0,32,16274,276
Crx,690,15,2,0.8598,261,146.33,115.01,103.13,0.00,11.83,0.04,0.21,0,53,30762,558
Diabetes,768,8,2,0.7344,14,7.21,7.59,6.10,0.46,0.99,0.03,0.08,0,0,1585,213
German,1000,20,2,0.7290,1456,950.55,505.66,481.79,0.00,23.80,0.06,0.33,0,179,89483,984
Glass,214,9,6,0.6995,6,3.68,3.45,1.52,1.63,0.28,0.01,0.06,0,0,2021,121
Heart,270,13,2,0.8074,72,32.35,40.71,24.04,15.47,1.13,0.05,0.08,0,28,15134,249
Hepatitis,155,19,2,0.8331,110,75.17,35.91,34.77,0.00,1.11,0.01,0.06,0,48,38172,122
Horse,368,22,2,0.8071,687,448.55,238.83,220.80,0.00,17.99,0.03,0.26,0,176,129386,399
Hypo,3163,25,2,0.9795,2421,1320.18,1101.84,1030.92,0.00,70.74,0.16,0.03,1,179,86450,177
Iono,351,34,2,0.9200,1165,921.91,244.18,194.32,0.00,49.81,0.03,0.07,0,179,129736,195
Iris,150,4,3,0.9267,0,0.24,0.17,0.08,0.03,0.05,0.01,0.02,0,0,90,30
Labor,57,16,2,0.9167,84,35.53,49.25,12.32,36.66,0.23,0.02,0.02,0,24,24003,49
Led7,3200,7,10,0.7120,27,19.18,8.15,5.58,0.10,2.32,0.14,0.03,0,4,242,111
Lymphography,148,18,4,0.8344,177,117.89,59.70,57.75,0.00,1.93,0.02,0.02,0,63,65800,149
Pima,768,8,2,0.7344,15,7.85,8.45,6.81,0.51,1.09,0.04,0.03,0,0,1585,213
Sick,2800,29,2,0.9654,3907,2957.44,949.79,794.51,0.00,155.07,0.19,0.04,0,215,85874,146
Sonar,208,60,2,0.7844,2868,2711.46,157.61,121.60,0.00,35.97,0.03,0.02,0,268,160000,134
Tic-Tac-Toe,958,9,2,0.9916,62,38.88,23.96,17.83,4.88,1.21,0.04,0.01,0,24,7047,182
Vehicle,846,18,4,0.6822,473,285.97,187.55,160.09,0.00,27.40,0.05,0.04,0,109,36922,478
Waveform,5000,21,3,0.8164,5112,3322.83,1790.19,1612.88,0.00,177.04,0.25,0.15,7,187,75473,2658
Wine,178,13,3,0.9667,39,26.37,13.75,13.46,0.00,0.26,0.01,0.01,0,28,16933,54
Zoo,101,16,7,0.9652,29,20.94,9.33,8.05,0.00,1.24,0.01,0.01,0,20,13758,35
