dataset,instances,attrs,classes,accuracy,trainMs,mineMs,pruneMs,chiSqMs,g2sMs,covMs,bmapMs,indexMs,predictMs,peakMemMB,rulesMined,rulesPruned
Anneal,898,38,6,0.9822,712,336.83,375.15,73.52,249.22,49.47,2.78,0.27,0,284,156588,159
Australian,690,14,2,0.8681,35,24.31,11.39,5.12,4.80,1.23,0.22,0.14,0,44,18745,456
Auto,205,25,6,0.8143,565,287.97,277.43,75.26,176.50,25.52,0.12,0.07,0,104,209009,208
Breast-Cancer,683,9,2,0.9706,4,3.34,1.73,0.59,0.71,0.21,0.21,0.08,0,0,2836,265
Cleve,303,13,2,0.8257,12,7.21,5.48,3.10,2.00,0.26,0.12,0.09,0,0,16274,276
Crx,690,15,2,0.8612,34,17.72,17.19,6.67,8.56,1.49,0.46,0.17,0,52,30762,557
Diabetes,768,8,2,0.7344,2,2.33,0.91,0.33,0.25,0.09,0.23,0.07,0,0,1585,213
German,1000,20,2,0.7290,126,83.17,43.63,22.61,17.96,2.60,0.43,0.27,0,120,89483,951
Glass,214,9,6,0.6995,2,1.97,0.99,0.38,0.44,0.11,0.06,0.04,0,0,2021,121
Heart,270,13,2,0.8074,11,7.21,4.32,2.17,1.83,0.23,0.08,0.07,0,0,15134,249
Hepatitis,155,19,2,0.8331,46,32.86,14.14,7.81,5.80,0.46,0.07,0.04,0,32,38172,122
Horse,368,22,2,0.8234,169,80.66,89.44,37.24,45.26,6.78,0.15,0.04,0,142,129386,397
Hypo,3163,25,2,0.9795,101,49.70,51.73,28.13,17.30,4.73,1.56,0.02,0,73,86450,176
Iono,351,34,2,0.9257,349,135.20,214.07,43.56,152.81,17.53,0.17,0.03,0,169,129736,196
Iris,150,4,3,0.9267,0,0.14,0.10,0.03,0.03,0.01,0.03,0.02,0,0,90,30
Labor,57,16,2,0.9167,22,17.28,5.70,3.83,1.61,0.23,0.03,0.01,0,8,24003,49
Led7,3200,7,10,0.7120,3,2.68,0.88,0.07,0.06,0.10,0.65,0.01,0,0,242,111
Lymphography,148,18,4,0.8344,88,61.35,26.99,14.59,10.71,1.64,0.04,0.02,0,48,65800,149
Pima,768,8,2,0.7344,2,2.14,0.68,0.28,0.23,0.06,0.12,0.02,0,0,1585,213
Sick,2800,29,2,0.9679,147,84.66,62.88,27.89,27.85,6.18,0.95,0.04,0,195,85874,279
Sonar,208,60,2,0.8080,1184,895.74,289.42,47.33,230.26,11.67,0.16,0.02,0,251,160000,172
Tic-Tac-Toe,958,9,2,0.9916,9,7.14,2.34,1.19,0.80,0.21,0.14,0.01,0,0,7047,182
Vehicle,846,18,4,0.6822,61,28.05,34.01,11.18,19.23,3.38,0.21,0.03,0,45,36922,477
Waveform,5000,21,3,0.8162,899,747.47,152.05,38.90,99.53,12.18,1.43,0.12,7,425,75473,2650
Wine,178,13,3,0.9667,23,14.18,9.93,4.21,5.50,0.14,0.05,0.01,0,0,16933,54
Zoo,101,16,7,0.9652,18,11.63,7.68,2.29,4.75,0.61,0.02,0.01,0,0,13758,35
