dataset,instances,attrs,classes,accuracy,trainMs,mineMs,pruneMs,chiSqMs,g2sMs,covMs,bmapMs,indexMs,predictMs,peakMemMB,rulesMined,rulesPruned
Anneal,898,38,6,0.9767,9581,7960.60,1619.34,1253.23,0.01,363.91,1.73,0.41,2,270,156588,92
Australian,690,14,2,0.8666,654,330.73,324.08,294.59,0.01,29.34,0.09,0.14,1,60,18745,458
Auto,205,25,6,0.8141,1713,1304.70,409.38,340.99,0.02,68.28,0.05,0.09,0,138,209009,208
Breast-Cancer,683,9,2,0.9692,78,29.01,49.54,21.22,23.83,4.28,0.09,0.07,0,6,2836,265
Cleve,303,13,2,0.8290,276,116.19,160.31,99.74,55.66,4.81,0.05,0.08,0,32,16274,276
Crx,690,15,2,0.8569,739,393.25,346.26,313.70,0.02,32.39,0.10,0.13,1,55,30762,560
Diabetes,768,8,2,0.7344,44,19.51,24.60,19.78,1.46,3.25,0.08,0.06,0,2,1585,213
German,1000,20,2,0.7280,3430,2040.01,1390.00,1331.62,0.02,58.19,0.15,0.17,1,106,89483,982
Glass,214,9,6,0.6995,18,8.29,10.04,3.90,5.24,0.86,0.03,0.06,0,0,2021,121
Heart,270,13,2,0.8074,197,81.40,116.04,71.51,41.33,3.14,0.04,0.07,0,30,15134,250
Hepatitis,155,19,2,0.8272,304,198.64,106.27,103.63,0.02,2.57,0.04,0.05,0,48,38172,123
Horse,368,22,2,0.8071,1766,1095.83,671.34,631.96,0.02,39.27,0.06,0.09,0,99,129386,394
Hypo,3163,25,2,0.9795,7851,3904.84,3946.70,3717.81,0.02,228.33,0.50,0.15,4,141,86450,177
Iono,351,34,2,0.9171,3200,2528.54,672.41,556.28,0.02,115.90,0.19,0.13,0,151,129736,194
Iris,150,4,3,0.9267,1,0.67,0.63,0.40,0.11,0.09,0.02,0.03,0,0,90,30
Labor,57,16,2,0.9333,162,62.73,99.92,26.51,72.83,0.53,0.02,0.05,0,24,24003,49
Led7,3200,7,10,0.7120,92,64.13,28.00,18.97,0.43,8.24,0.35,0.05,0,4,242,111
Lymphography,148,18,4,0.8349,474,291.78,182.84,178.16,0.02,4.60,0.04,0.06,0,62,65800,147
Pima,768,8,2,0.7344,47,22.64,25.38,20.17,1.64,3.48,0.08,0.09,0,2,1585,213
Sick,2800,29,2,0.9654,9792,7103.53,2689.54,2232.30,0.01,456.65,0.55,0.05,0,201,85874,146
Sonar,208,60,2,0.7796,8308,7891.23,417.40,340.51,0.02,76.73,0.11,0.10,0,263,160000,134
Tic-Tac-Toe,958,9,2,0.9916,191,118.88,72.59,54.09,14.70,3.68,0.09,0.08,0,24,7047,182
Vehicle,846,18,4,0.6810,1397,789.27,607.84,528.87,0.02,78.81,0.12,0.10,0,117,36922,478
Waveform,5000,21,3,0.8164,15756,9787.29,5968.52,5383.57,0.02,583.94,0.96,0.39,27,157,75473,2659
Wine,178,13,3,0.9667,106,67.00,39.26,38.52,0.01,0.67,0.03,0.03,0,28,16933,54
Zoo,101,16,7,0.9652,77,54.52,22.89,20.82,0.03,1.97,0.03,0.06,0,20,13758,35
