dataset,instances,attrs,classes,accuracy,trainMs,mineMs,pruneMs,chiSqMs,g2sMs,covMs,bmapMs,indexMs,predictMs,peakMemMB,rulesMined,rulesPruned
Anneal,898,38,6,0.9767,2368,1768.77,597.81,126.55,422.82,40.56,7.17,0.47,1,161,156588,92
Australian,690,14,2,0.8695,197,162.45,35.30,16.29,15.49,2.86,0.61,0.09,3,48,18745,456
Auto,205,25,6,0.8141,1232,691.17,540.87,123.48,391.24,25.55,0.55,0.06,0,115,209009,208
Breast-Cancer,683,9,2,0.9692,18,13.19,5.08,1.71,2.39,0.53,0.41,0.07,0,0,2836,265
Cleve,303,13,2,0.8290,69,53.39,16.18,7.93,7.27,0.60,0.29,0.08,0,20,16274,276
Crx,690,15,2,0.8583,198,150.75,47.85,22.20,22.29,2.63,0.67,0.10,1,56,30762,559
Diabetes,768,8,2,0.7344,8,5.73,2.42,0.78,0.96,0.18,0.47,0.06,0,0,1585,213
German,1000,20,2,0.7280,834,738.82,95.14,55.71,33.08,5.34,1.00,0.17,2,163,89483,981
Glass,214,9,6,0.6995,8,5.83,2.77,1.00,1.42,0.18,0.16,0.05,0,0,2021,121
Heart,270,13,2,0.8074,55,42.51,13.69,6.42,6.51,0.53,0.21,0.06,0,18,15134,250
Hepatitis,155,19,2,0.8272,122,90.56,31.98,15.27,15.80,0.70,0.19,0.05,0,40,38172,123
Horse,368,22,2,0.8071,644,484.87,160.10,64.17,87.34,8.08,0.48,0.10,0,109,129386,394
Hypo,3163,25,2,0.9795,546,396.80,149.90,81.64,51.42,13.20,3.61,0.08,6,144,86450,176
Iono,351,34,2,0.9060,1250,863.92,386.50,72.19,297.56,16.14,0.57,0.07,0,111,129736,194
Iris,150,4,3,0.9267,0,0.56,0.33,0.06,0.12,0.03,0.10,0.03,0,0,90,30
Labor,57,16,2,0.9333,55,44.16,11.98,6.89,4.55,0.43,0.09,0.04,0,18,24003,49
Led7,3200,7,10,0.7120,11,8.59,2.82,0.41,0.33,0.28,1.79,0.04,0,0,242,111
Lymphography,148,18,4,0.8349,206,159.42,47.11,22.17,23.27,1.49,0.15,0.05,0,52,65800,147
Pima,768,8,2,0.7344,8,5.99,2.72,0.94,1.21,0.17,0.38,0.05,0,2,1585,213
Sick,2800,29,2,0.9654,649,578.34,71.34,45.15,17.02,6.55,2.59,0.06,0,164,85874,146
Sonar,208,60,2,0.7796,1361,779.08,582.86,89.14,466.24,26.79,0.66,0.05,0,107,160000,134
Tic-Tac-Toe,958,9,2,0.9916,79,68.84,11.29,6.06,4.17,0.57,0.45,0.05,0,22,7047,182
Vehicle,846,18,4,0.6810,412,318.29,93.70,29.87,56.49,6.58,0.74,0.11,0,56,36922,478
Waveform,5000,21,3,0.8162,4285,3885.26,400.21,81.56,270.96,42.52,5.13,0.35,33,164,75473,2651
Wine,178,13,3,0.9667,72,45.65,27.33,9.43,17.41,0.36,0.11,0.04,0,20,16933,54
Zoo,101,16,7,0.9652,62,38.33,24.51,7.92,15.34,1.11,0.10,0.05,0,16,13758,35
