dataset,instances,attrs,classes,accuracy,trainMs,mineMs,pruneMs,chiSqMs,g2sMs,covMs,bmapMs,indexMs,predictMs,peakMemMB,rulesMined,rulesPruned
Anneal,898,38,6,0.9822,601,301.52,299.08,75.38,173.59,49.69,0.27,0.21,2,500,156588,159
Australian,690,14,2,0.8681,38,22.57,16.30,9.51,4.67,2.00,0.11,0.12,0,46,18745,456
Auto,205,25,6,0.8143,488,234.03,254.73,73.90,156.34,24.41,0.05,0.07,0,207,209009,208
Breast-Cancer,683,9,2,0.9706,3,1.54,1.86,0.75,0.59,0.40,0.10,0.09,0,0,2836,265
Cleve,303,13,2,0.8257,13,6.93,7.16,4.39,2.18,0.50,0.07,0.12,0,0,16274,276
Crx,690,15,2,0.8612,37,15.26,22.12,12.27,7.39,2.33,0.11,0.15,0,59,30762,557
Diabetes,768,8,2,0.7344,1,0.96,1.11,0.59,0.24,0.15,0.12,0.06,0,0,1585,213
German,1000,20,2,0.7290,143,76.08,67.67,45.15,17.65,4.68,0.17,0.26,0,285,89483,951
Glass,214,9,6,0.6995,2,1.67,0.92,0.39,0.37,0.12,0.03,0.04,0,0,2021,121
Heart,270,13,2,0.8074,10,5.50,5.36,3.17,1.75,0.40,0.04,0.07,0,0,15134,249
Hepatitis,155,19,2,0.8331,46,32.20,14.70,8.70,5.22,0.75,0.03,0.04,0,39,38172,122
Horse,368,22,2,0.8234,188,91.59,97.56,42.84,46.10,8.57,0.04,0.04,0,185,129386,397
Hypo,3163,25,2,0.9795,227,50.77,176.88,141.82,17.29,17.56,0.20,0.03,0,151,86450,176
Iono,351,34,2,0.9257,376,131.43,245.01,64.57,150.53,29.87,0.03,0.04,0,426,129736,196
Iris,150,4,3,0.9267,0,0.11,0.08,0.02,0.03,0.01,0.01,0.01,0,0,90,30
Labor,57,16,2,0.9167,19,15.19,4.67,2.70,1.72,0.23,0.01,0.01,0,20,24003,49
Led7,3200,7,10,0.7217,2,1.54,1.10,0.45,0.07,0.38,0.19,0.01,0,0,243,112
Lymphography,148,18,4,0.8344,79,54.80,25.21,14.98,8.63,1.58,0.01,0.02,0,66,65800,149
Pima,768,8,2,0.7344,1,0.96,1.08,0.68,0.21,0.16,0.02,0.02,0,0,1585,213
Sick,2800,29,2,0.9679,225,88.28,137.10,88.63,29.67,18.73,0.06,0.04,0,281,85874,279
Sonar,208,60,2,0.8080,1253,968.63,284.85,74.44,194.22,16.16,0.01,0.02,0,670,160000,172
Tic-Tac-Toe,958,9,2,0.9916,7,4.33,3.82,2.65,0.74,0.40,0.03,0.01,0,0,7047,182
Vehicle,846,18,4,0.6822,68,21.30,47.62,19.30,21.04,7.25,0.02,0.03,0,117,36922,477
Waveform,5000,21,3,0.8162,351,111.25,240.34,89.35,132.74,18.14,0.10,0.16,7,606,75473,2650
Wine,178,13,3,0.9667,22,12.93,10.30,4.59,5.49,0.21,0.01,0.01,0,25,16933,54
Zoo,101,16,7,0.9652,16,9.40,7.68,3.51,3.49,0.66,0.00,0.01,0,0,13758,35
