dataset,instances,attrs,classes,accuracy,trainMs,mineMs,pruneMs,chiSqMs,g2sMs,covMs,bmapMs,indexMs,predictMs,peakMemMB,rulesMined,rulesPruned
Anneal,898,38,6,0.9767,2388,1823.76,562.20,129.84,382.44,41.53,7.97,0.45,1,134,156588,92
Australian,690,14,2,0.8695,180,147.15,33.46,14.55,15.74,2.61,0.51,0.09,1,48,18745,456
Auto,205,25,6,0.8141,1383,766.45,617.67,132.25,454.64,30.36,0.38,0.07,0,168,209009,208
Breast-Cancer,683,9,2,0.9692,18,13.82,4.91,1.57,2.36,0.52,0.36,0.07,0,0,2836,265
Cleve,303,13,2,0.8290,77,59.73,17.71,8.26,8.59,0.60,0.23,0.08,0,20,16274,276
Crx,690,15,2,0.8583,197,153.90,44.17,17.63,23.14,2.71,0.62,0.11,1,46,30762,559
Diabetes,768,8,2,0.7344,7,5.18,2.51,0.84,0.85,0.21,0.58,0.08,0,2,1585,213
German,1000,20,2,0.7280,903,801.61,102.26,58.63,37.38,5.16,1.06,0.15,1,153,89483,981
Glass,214,9,6,0.6995,9,6.69,3.15,1.02,1.78,0.17,0.16,0.04,0,0,2021,121
Heart,270,13,2,0.8074,66,51.13,15.83,7.76,7.13,0.64,0.27,0.06,0,18,15134,250
Hepatitis,155,19,2,0.8272,131,100.20,31.56,14.18,16.28,0.83,0.25,0.04,0,40,38172,123
Horse,368,22,2,0.8071,673,505.86,168.07,71.92,87.64,8.10,0.39,0.09,0,115,129386,394
Hypo,3163,25,2,0.9795,548,407.46,141.41,75.71,54.68,7.06,3.93,0.05,5,145,86450,176
Iono,351,34,2,0.9060,1247,850.75,397.32,78.43,301.69,16.69,0.47,0.06,0,119,129736,194
Iris,150,4,3,0.9267,0,0.55,0.37,0.07,0.16,0.03,0.09,0.03,0,0,90,30
Labor,57,16,2,0.9333,55,42.27,13.84,8.54,4.79,0.41,0.08,0.03,0,20,24003,49
Led7,3200,7,10,0.7120,11,8.57,2.72,0.26,0.34,0.40,1.72,0.07,0,0,242,111
Lymphography,148,18,4,0.8349,222,173.39,49.25,20.60,26.72,1.70,0.18,0.05,0,50,65800,147
Pima,768,8,2,0.7344,7,5.42,2.52,0.89,0.98,0.19,0.43,0.05,0,2,1585,213
Sick,2800,29,2,0.9654,762,685.56,76.47,50.26,17.34,5.83,3.00,0.06,0,151,85874,146
Sonar,208,60,2,0.7796,1498,830.11,668.67,88.31,551.10,28.69,0.53,0.05,0,117,160000,134
Tic-Tac-Toe,958,9,2,0.9916,77,68.44,9.43,4.82,3.53,0.59,0.46,0.05,0,22,7047,182
Vehicle,846,18,4,0.6810,373,283.33,89.84,27.19,55.45,6.45,0.72,0.08,0,57,36922,478
Waveform,5000,21,3,0.8162,4409,4008.67,399.34,87.43,288.50,19.64,3.74,0.75,26,166,75473,2651
Wine,178,13,3,0.9667,79,51.63,28.50,9.80,18.20,0.34,0.14,0.03,0,20,16933,54
Zoo,101,16,7,0.9652,68,43.21,25.69,8.38,15.88,1.31,0.09,0.05,0,16,13758,35
