dataset,instances,attrs,classes,accuracy,trainMs,mineMs,pruneMs,chiSqMs,g2sMs,covMs,bmapMs,indexMs,predictMs,peakMemMB,rulesMined,rulesPruned
Anneal,898,38,6,0.9767,2402,1774.75,625.64,127.17,445.13,45.83,7.12,0.58,1,150,156588,92
Australian,690,14,2,0.8695,209,172.27,37.10,17.19,16.85,2.50,0.45,0.11,1,48,18745,456
Auto,205,25,6,0.8141,1310,700.39,609.99,135.76,444.90,28.89,0.38,0.07,0,167,209009,208
Breast-Cancer,683,9,2,0.9692,18,13.32,4.98,1.62,2.26,0.62,0.42,0.07,0,6,2836,265
Cleve,303,13,2,0.8290,66,50.55,16.27,7.65,7.68,0.62,0.28,0.07,0,20,16274,276
Crx,690,15,2,0.8583,195,151.34,44.71,17.09,22.81,4.22,0.52,0.13,1,52,30762,559
Diabetes,768,8,2,0.7344,7,4.93,2.28,0.82,0.85,0.19,0.39,0.06,0,0,1585,213
German,1000,20,2,0.7280,867,752.05,115.31,69.18,37.45,7.73,0.92,0.16,1,155,89483,981
Glass,214,9,6,0.6995,16,12.71,3.65,1.30,1.89,0.19,0.25,0.04,0,0,2021,121
Heart,270,13,2,0.8074,55,41.43,14.38,7.30,6.33,0.47,0.26,0.05,0,18,15134,250
Hepatitis,155,19,2,0.8272,176,130.50,46.37,26.31,18.74,1.08,0.21,0.05,0,40,38172,123
Horse,368,22,2,0.8071,668,499.91,168.96,68.21,92.84,7.46,0.42,0.09,0,110,129386,394
Hypo,3163,25,2,0.9795,484,353.82,130.19,72.19,45.55,9.41,3.02,0.05,5,110,86450,176
Iono,351,34,2,0.9060,1311,872.15,439.49,73.89,342.85,22.19,0.53,0.08,0,127,129736,194
Iris,150,4,3,0.9267,0,0.54,0.39,0.07,0.16,0.03,0.10,0.03,0,0,90,30
Labor,57,16,2,0.9333,64,50.31,14.31,8.29,5.39,0.51,0.10,0.03,0,20,24003,49
Led7,3200,7,10,0.7120,10,8.63,2.22,0.21,0.25,0.32,1.43,0.04,0,0,242,111
Lymphography,148,18,4,0.8349,219,164.63,55.16,23.33,29.72,1.95,0.13,0.05,0,54,65800,147
Pima,768,8,2,0.7344,6,4.89,2.04,0.75,0.81,0.17,0.29,0.05,0,0,1585,213
Sick,2800,29,2,0.9654,677,603.59,74.07,47.07,17.11,6.12,3.74,0.06,0,168,85874,146
Sonar,208,60,2,0.7796,1518,862.37,656.56,106.58,524.92,24.59,0.45,0.05,0,103,160000,134
Tic-Tac-Toe,958,9,2,0.9916,74,65.74,9.34,4.93,3.34,0.58,0.47,0.05,0,22,7047,182
Vehicle,846,18,4,0.6810,372,282.37,90.61,26.78,54.95,7.63,1.23,0.13,0,55,36922,478
Waveform,5000,21,3,0.8162,4072,3692.01,379.67,85.21,262.82,28.14,3.48,0.44,28,182,75473,2651
Wine,178,13,3,0.9667,73,46.46,26.74,9.71,16.57,0.28,0.16,0.03,0,20,16933,54
Zoo,101,16,7,0.9652,62,35.93,26.44,7.66,17.45,1.19,0.10,0.04,0,16,13758,35
