dataset,instances,attrs,classes,accuracy,trainMs,mineMs,pruneMs,chiSqMs,g2sMs,covMs,bmapMs,indexMs,predictMs,peakMemMB,rulesMined,rulesPruned
Anneal,898,38,6,0.9822,1719,970.91,746.45,152.63,519.99,67.93,5.52,0.64,2,273,156588,159
Australian,690,14,2,0.8681,124,84.75,39.41,18.24,16.25,4.31,0.55,0.10,1,56,18745,456
Auto,205,25,6,0.8143,1518,867.34,651.09,160.31,452.16,38.23,0.33,0.07,0,102,209009,208
Breast-Cancer,683,9,2,0.9706,19,13.56,5.51,1.91,2.49,0.62,0.45,0.07,1,22,2836,265
Cleve,303,13,2,0.8257,56,37.13,19.14,9.58,8.42,0.81,0.28,0.07,0,30,16274,276
Crx,690,15,2,0.8612,132,81.55,51.36,22.41,25.31,2.93,0.65,0.10,1,56,30762,557
Diabetes,768,8,2,0.7344,10,7.31,2.82,0.94,1.03,0.22,0.58,0.06,0,2,1585,213
German,1000,20,2,0.7290,459,334.90,125.01,66.21,51.25,6.33,1.17,0.17,1,165,89483,951
Glass,214,9,6,0.6995,10,7.15,3.70,1.50,1.77,0.21,0.20,0.06,0,0,2021,121
Heart,270,13,2,0.8074,46,31.38,15.69,7.58,7.20,0.65,0.23,0.06,0,28,15134,249
Hepatitis,155,19,2,0.8331,143,106.92,36.49,18.38,16.89,1.01,0.19,0.05,0,40,38172,122
Horse,368,22,2,0.8234,532,306.29,226.28,83.15,127.99,14.60,0.52,0.09,0,110,129386,397
Hypo,3163,25,2,0.9795,357,212.57,144.72,78.73,51.24,11.12,3.59,0.06,7,110,86450,176
Iono,351,34,2,0.9257,1085,560.27,525.51,94.08,397.37,33.34,0.68,0.17,0,154,129736,196
Iris,150,4,3,0.9267,1,0.65,0.48,0.08,0.20,0.04,0.14,0.04,0,0,90,30
Labor,57,16,2,0.9167,77,63.76,13.72,8.22,4.90,0.48,0.09,0.04,0,20,24003,49
Led7,3200,7,10,0.7120,12,9.86,2.83,0.22,0.28,0.33,1.99,0.04,0,0,242,111
Lymphography,148,18,4,0.8344,277,219.11,58.32,28.31,27.77,2.02,0.18,0.05,0,48,65800,149
Pima,768,8,2,0.7344,10,8.36,2.64,1.06,0.95,0.19,0.41,0.05,0,6,1585,213
Sick,2800,29,2,0.9679,513,350.67,162.30,64.07,79.47,14.85,3.87,0.07,5,182,85874,279
Sonar,208,60,2,0.8080,3286,2536.70,750.22,111.04,621.91,16.67,0.56,0.07,0,204,160000,172
Tic-Tac-Toe,958,9,2,0.9916,52,43.09,9.84,4.83,3.60,0.68,0.70,0.05,0,34,7047,182
Vehicle,846,18,4,0.6822,228,136.01,92.38,27.49,57.23,6.96,0.68,0.10,1,67,36922,477
Waveform,5000,21,3,0.8162,2516,2063.77,451.90,110.83,311.39,25.80,3.85,0.50,26,405,75473,2650
Wine,178,13,3,0.9667,88,54.36,34.47,11.77,21.93,0.62,0.14,0.04,0,18,16933,54
Zoo,101,16,7,0.9652,69,44.96,24.86,7.58,15.48,1.65,0.09,0.06,0,16,13758,35
