rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,1,1,32,32,1.0000,22.5278,0.9412,717.19,1.0000,27
2,1,2,32,32,1.0000,22.5278,0.9412,717.19,1.0000,3 27
3,1,2,32,32,1.0000,22.5278,0.9412,717.19,1.0000,4 27
4,1,2,32,32,1.0000,22.5278,0.9412,717.19,1.0000,13 27
5,1,2,8,9,0.8889,20.0247,0.3556,153.01,0.7810,30 108
6,1,2,8,9,0.8889,20.0247,0.3556,153.01,0.7810,32 108
7,1,3,8,9,0.8889,20.0247,0.3556,153.01,0.7810,0 30 108
8,1,3,8,9,0.8889,20.0247,0.3556,153.01,0.7810,0 32 108
9,1,4,8,13,0.6154,13.8632,0.3265,101.55,0.3570,4 32 63 100
10,1,3,13,22,0.5909,13.3119,0.4483,159.23,0.3271,4 32 100
11,1,4,13,22,0.5909,13.3119,0.4483,159.23,0.3271,0 4 32 100
12,1,4,13,22,0.5909,13.3119,0.4483,159.23,0.3271,3 4 32 100
13,3,1,61,61,1.0000,13.2951,1.0000,811.00,1.0000,1
14,3,2,61,61,1.0000,13.2951,1.0000,811.00,1.0000,1 3
15,3,2,61,61,1.0000,13.2951,1.0000,811.00,1.0000,1 13
16,3,2,61,61,1.0000,13.2951,1.0000,811.00,1.0000,1 22
17,4,3,64,64,1.0000,9.0111,0.8312,556.64,1.0000,5 31 54
18,4,4,64,64,1.0000,9.0111,0.8312,556.64,1.0000,0 5 31 54
19,4,4,64,64,1.0000,9.0111,0.8312,556.64,1.0000,3 5 31 54
20,4,4,64,64,1.0000,9.0111,0.8312,556.64,1.0000,5 13 31 54
21,4,4,62,62,1.0000,9.0111,0.8158,537.80,1.0000,31 54 55 91
22,4,4,62,62,1.0000,9.0111,0.8158,537.80,1.0000,31 54 55 106
23,4,4,31,31,1.0000,9.0111,0.5124,258.21,1.0000,31 54 55 95
24,4,3,26,26,1.0000,9.0111,0.4483,215.19,1.0000,31 91 95
25,4,2,18,18,1.0000,9.0111,0.3333,147.47,1.0000,54 97
26,4,3,18,18,1.0000,9.0111,0.3333,147.47,1.0000,0 54 97
27,4,3,15,15,1.0000,9.0111,0.2857,122.43,1.0000,0 13 99
28,4,3,15,15,1.0000,9.0111,0.2857,122.43,1.0000,13 54 99
29,4,4,15,15,1.0000,9.0111,0.2857,122.43,1.0000,0 3 13 99
