rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,1,3,73,73,1.0000,2.2455,0.4171,103.01,1.0000,0 23 36
2,1,4,73,73,1.0000,2.2455,0.4171,103.01,1.0000,0 23 30 36
3,1,4,63,63,1.0000,2.2455,0.3706,87.31,1.0000,0 6 23 36
4,1,4,63,63,1.0000,2.2455,0.3706,87.31,1.0000,0 23 25 36
5,1,4,57,57,1.0000,2.2455,0.3413,78.15,1.0000,0 21 23 36
6,1,4,56,56,1.0000,2.2455,0.3363,76.65,1.0000,0 2 23 36
7,1,4,50,50,1.0000,2.2455,0.3058,67.72,1.0000,0 23 27 36
8,1,3,46,46,1.0000,2.2455,0.2848,61.87,1.0000,10 23 36
9,1,4,46,46,1.0000,2.2455,0.2848,61.87,1.0000,10 23 30 36
10,1,4,41,41,1.0000,2.2455,0.2579,54.67,1.0000,0 23 27 33
11,1,4,40,40,1.0000,2.2455,0.2524,53.24,1.0000,21 23 34 36
12,1,4,39,39,1.0000,2.2455,0.2468,51.82,1.0000,0 4 23 36
13,1,4,39,39,1.0000,2.2455,0.2468,51.82,1.0000,10 23 25 33
14,1,4,39,39,1.0000,2.2455,0.2468,51.82,1.0000,10 23 25 36
15,1,4,37,37,1.0000,2.2455,0.2357,49.00,1.0000,0 21 27 29
16,1,4,37,37,1.0000,2.2455,0.2357,49.00,1.0000,6 10 23 36
17,1,4,37,37,1.0000,2.2455,0.2357,49.00,1.0000,23 27 34 36
18,1,4,36,36,1.0000,2.2455,0.2300,47.59,1.0000,0 21 27 33
19,1,4,36,36,1.0000,2.2455,0.2300,47.59,1.0000,2 10 23 36
20,1,4,35,35,1.0000,2.2455,0.2244,46.19,1.0000,21 23 28 36
21,1,4,35,35,1.0000,2.2455,0.2244,46.19,1.0000,21 25 34 36
22,1,3,33,33,1.0000,2.2455,0.2129,43.40,1.0000,14 23 36
23,1,4,33,33,1.0000,2.2455,0.2129,43.40,1.0000,14 23 30 36
24,1,4,31,31,1.0000,2.2455,0.2013,40.64,1.0000,4 21 23 36
25,1,4,31,31,1.0000,2.2455,0.2013,40.64,1.0000,4 23 27 36
26,1,4,31,31,1.0000,2.2455,0.2013,40.64,1.0000,5 10 21 27
27,1,3,30,30,1.0000,2.2455,0.1954,39.26,1.0000,6 14 36
28,1,3,30,30,1.0000,2.2455,0.1954,39.26,1.0000,10 27 33
29,1,4,30,30,1.0000,2.2455,0.1954,39.26,1.0000,0 5 27 33
30,1,4,30,30,1.0000,2.2455,0.1954,39.26,1.0000,6 14 23 36
31,1,4,30,30,1.0000,2.2455,0.1954,39.26,1.0000,10 23 27 33
32,1,4,30,30,1.0000,2.2455,0.1954,39.26,1.0000,10 25 27 33
33,1,4,29,29,1.0000,2.2455,0.1895,37.89,1.0000,23 29 34 36
34,1,3,28,28,1.0000,2.2455,0.1836,36.52,1.0000,27 28 36
35,1,4,28,28,1.0000,2.2455,0.1836,36.52,1.0000,5 10 25 33
36,1,4,28,28,1.0000,2.2455,0.1836,36.52,1.0000,23 27 28 36
37,1,4,28,28,1.0000,2.2455,0.1836,36.52,1.0000,25 27 28 36
38,1,4,28,28,1.0000,2.2455,0.1836,36.52,1.0000,27 28 30 36
39,1,4,27,27,1.0000,2.2455,0.1776,35.15,1.0000,0 5 12 27
40,1,3,26,26,1.0000,2.2455,0.1716,33.80,1.0000,11 14 33
41,1,3,26,26,1.0000,2.2455,0.1716,33.80,1.0000,14 25 36
42,1,4,26,26,1.0000,2.2455,0.1716,33.80,1.0000,4 23 29 36
43,1,4,26,26,1.0000,2.2455,0.1716,33.80,1.0000,11 14 23 33
44,1,4,26,26,1.0000,2.2455,0.1716,33.80,1.0000,11 14 30 33
45,1,4,26,26,1.0000,2.2455,0.1716,33.80,1.0000,21 27 29 34
46,1,3,25,25,1.0000,2.2455,0.1656,32.44,1.0000,14 27 29
47,1,4,25,25,1.0000,2.2455,0.1656,32.44,1.0000,5 10 23 36
48,1,4,25,25,1.0000,2.2455,0.1656,32.44,1.0000,10 21 27 29
49,1,4,25,25,1.0000,2.2455,0.1656,32.44,1.0000,14 23 27 29
50,1,4,25,25,1.0000,2.2455,0.1656,32.44,1.0000,14 25 27 29
51,1,4,24,24,1.0000,2.2455,0.1595,31.09,1.0000,4 11 23 27
52,1,4,24,24,1.0000,2.2455,0.1595,31.09,1.0000,14 23 29 33
53,1,4,23,23,1.0000,2.2455,0.1533,29.75,1.0000,0 3 21 27
54,1,4,23,23,1.0000,2.2455,0.1533,29.75,1.0000,14 21 25 29
55,1,4,23,23,1.0000,2.2455,0.1533,29.75,1.0000,21 23 26 36
56,1,3,22,22,1.0000,2.2455,0.1472,28.41,1.0000,3 25 36
57,1,3,22,22,1.0000,2.2455,0.1472,28.41,1.0000,3 33 36
58,1,4,22,22,1.0000,2.2455,0.1472,28.41,1.0000,1 23 26 33
59,1,4,22,22,1.0000,2.2455,0.1472,28.41,1.0000,2 5 10 27
60,1,4,22,22,1.0000,2.2455,0.1472,28.41,1.0000,3 23 25 36
61,1,4,22,22,1.0000,2.2455,0.1472,28.41,1.0000,3 25 30 36
62,1,4,22,22,1.0000,2.2455,0.1472,28.41,1.0000,3 30 33 36
63,1,4,22,22,1.0000,2.2455,0.1472,28.41,1.0000,5 12 27 35
64,1,4,22,22,1.0000,2.2455,0.1472,28.41,1.0000,6 11 14 33
65,1,3,21,21,1.0000,2.2455,0.1409,27.07,1.0000,3 5 36
66,1,4,21,21,1.0000,2.2455,0.1409,27.07,1.0000,1 11 14 23
67,1,4,21,21,1.0000,2.2455,0.1409,27.07,1.0000,1 20 23 33
68,1,4,21,21,1.0000,2.2455,0.1409,27.07,1.0000,3 5 30 36
69,1,4,20,20,1.0000,2.2455,0.1347,25.74,1.0000,0 27 28 33
70,1,4,20,20,1.0000,2.2455,0.1347,25.74,1.0000,5 12 27 34
71,1,4,19,19,1.0000,2.2455,0.1284,24.41,1.0000,1 5 20 23
72,1,4,19,19,1.0000,2.2455,0.1284,24.41,1.0000,5 12 27 28
73,1,4,18,18,1.0000,2.2455,0.1220,23.09,1.0000,1 11 14 25
74,1,4,18,18,1.0000,2.2455,0.1220,23.09,1.0000,2 27 28 33
75,1,4,18,18,1.0000,2.2455,0.1220,23.09,1.0000,3 21 27 29
76,1,4,18,18,1.0000,2.2455,0.1220,23.09,1.0000,9 23 25 36
77,1,4,18,18,1.0000,2.2455,0.1220,23.09,1.0000,10 23 25 26
78,1,4,18,18,1.0000,2.2455,0.1220,23.09,1.0000,20 23 29 36
79,1,4,18,18,1.0000,2.2455,0.1220,23.09,1.0000,21 27 29 35
80,1,4,17,17,1.0000,2.2455,0.1156,21.77,1.0000,3 27 29 33
81,1,4,17,17,1.0000,2.2455,0.1156,21.77,1.0000,11 20 23 27
82,1,4,17,17,1.0000,2.2455,0.1156,21.77,1.0000,20 23 27 33
83,1,4,17,17,1.0000,2.2455,0.1156,21.77,1.0000,23 26 29 36
84,1,4,16,16,1.0000,2.2455,0.1092,20.45,1.0000,3 10 21 33
85,1,4,16,16,1.0000,2.2455,0.1092,20.45,1.0000,9 23 29 36
86,1,3,15,15,1.0000,2.2455,0.1027,19.14,1.0000,3 11 21
87,1,4,15,15,1.0000,2.2455,0.1027,19.14,1.0000,1 14 25 29
88,1,4,15,15,1.0000,2.2455,0.1027,19.14,1.0000,3 5 12 25
89,1,4,15,15,1.0000,2.2455,0.1027,19.14,1.0000,3 11 21 23
90,1,4,15,15,1.0000,2.2455,0.1027,19.14,1.0000,4 6 14 27
91,1,4,15,15,1.0000,2.2455,0.1027,19.14,1.0000,5 9 23 36
92,1,4,15,15,1.0000,2.2455,0.1027,19.14,1.0000,5 10 27 28
93,1,4,15,15,1.0000,2.2455,0.1027,19.14,1.0000,11 25 28 33
94,1,4,14,14,1.0000,2.2455,0.0962,17.84,1.0000,1 4 23 33
95,1,4,14,14,1.0000,2.2455,0.0962,17.84,1.0000,3 6 11 21
96,1,4,14,14,1.0000,2.2455,0.0962,17.84,1.0000,3 11 21 30
97,1,4,14,14,1.0000,2.2455,0.0962,17.84,1.0000,4 11 21 27
98,1,4,14,14,1.0000,2.2455,0.0962,17.84,1.0000,4 11 25 33
99,1,4,14,14,1.0000,2.2455,0.0962,17.84,1.0000,4 14 25 29
100,1,4,14,14,1.0000,2.2455,0.0962,17.84,1.0000,5 9 25 36
101,1,4,14,14,1.0000,2.2455,0.0962,17.84,1.0000,5 11 28 33
102,1,4,14,14,1.0000,2.2455,0.0962,17.84,1.0000,11 12 27 28
103,1,3,13,13,1.0000,2.2455,0.0897,16.54,1.0000,3 11 33
104,1,4,13,13,1.0000,2.2455,0.0897,16.54,1.0000,1 5 10 23
105,1,4,13,13,1.0000,2.2455,0.0897,16.54,1.0000,1 10 23 29
106,1,4,13,13,1.0000,2.2455,0.0897,16.54,1.0000,3 10 25 33
107,1,4,13,13,1.0000,2.2455,0.0897,16.54,1.0000,4 11 29 36
108,1,4,13,13,1.0000,2.2455,0.0897,16.54,1.0000,9 12 23 27
109,1,4,13,13,1.0000,2.2455,0.0897,16.54,1.0000,9 12 27 30
110,1,3,12,12,1.0000,2.2455,0.0830,15.24,1.0000,16 21 25
111,1,4,12,12,1.0000,2.2455,0.0830,15.24,1.0000,1 11 33 35
112,1,4,12,12,1.0000,2.2455,0.0830,15.24,1.0000,1 14 20 23
113,1,4,12,12,1.0000,2.2455,0.0830,15.24,1.0000,1 23 24 33
114,1,4,12,12,1.0000,2.2455,0.0830,15.24,1.0000,3 11 23 28
115,1,4,12,12,1.0000,2.2455,0.0830,15.24,1.0000,4 11 27 28
116,1,4,12,12,1.0000,2.2455,0.0830,15.24,1.0000,16 21 23 25
117,1,4,12,12,1.0000,2.2455,0.0830,15.24,1.0000,16 21 25 30
118,1,4,11,11,1.0000,2.2455,0.0764,13.95,1.0000,0 9 21 27
119,1,4,11,11,1.0000,2.2455,0.0764,13.95,1.0000,0 14 29 33
120,1,4,11,11,1.0000,2.2455,0.0764,13.95,1.0000,5 16 23 25
121,1,4,11,11,1.0000,2.2455,0.0764,13.95,1.0000,11 29 34 36
122,1,3,10,10,1.0000,2.2455,0.0697,12.66,1.0000,3 4 14
123,1,4,10,10,1.0000,2.2455,0.0697,12.66,1.0000,1 3 23 29
124,1,4,10,10,1.0000,2.2455,0.0697,12.66,1.0000,1 4 11 14
125,1,4,10,10,1.0000,2.2455,0.0697,12.66,1.0000,1 5 10 21
126,1,4,10,10,1.0000,2.2455,0.0697,12.66,1.0000,3 4 14 23
127,1,4,10,10,1.0000,2.2455,0.0697,12.66,1.0000,3 4 14 30
