rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,5,1,3,3,1.0000,62.3333,1.0000,187.00,1.0000,59
2,5,2,3,3,1.0000,62.3333,1.0000,187.00,1.0000,1 59
3,5,2,3,3,1.0000,62.3333,1.0000,187.00,1.0000,24 59
4,5,2,3,3,1.0000,62.3333,1.0000,187.00,1.0000,25 59
5,4,2,9,9,1.0000,9.3500,0.6207,78.95,1.0000,0 48
6,4,2,9,9,1.0000,9.3500,0.6207,78.95,1.0000,0 62
7,4,2,9,9,1.0000,9.3500,0.6207,78.95,1.0000,0 79
8,4,2,9,9,1.0000,9.3500,0.6207,78.95,1.0000,0 89
9,4,3,7,7,1.0000,9.3500,0.5185,60.72,1.0000,22 30 48
10,4,3,7,7,1.0000,9.3500,0.5185,60.72,1.0000,22 48 54
11,4,3,7,7,1.0000,9.3500,0.5185,60.72,1.0000,38 48 51
12,4,3,7,7,1.0000,9.3500,0.5185,60.72,1.0000,38 48 54
13,4,3,7,7,1.0000,9.3500,0.5185,60.72,1.0000,38 48 70
14,4,3,7,7,1.0000,9.3500,0.5185,60.72,1.0000,38 48 99
15,4,4,7,7,1.0000,9.3500,0.5185,60.72,1.0000,22 30 40 48
16,4,4,7,7,1.0000,9.3500,0.5185,60.72,1.0000,22 30 48 54
17,4,4,6,6,1.0000,9.3500,0.4615,51.76,1.0000,35 48 60 65
18,4,4,6,6,1.0000,9.3500,0.4615,51.76,1.0000,35 60 65 79
19,4,4,6,6,1.0000,9.3500,0.4615,51.76,1.0000,35 60 65 89
20,4,4,6,6,1.0000,9.3500,0.4615,51.76,1.0000,35 60 65 94
21,4,2,4,4,1.0000,9.3500,0.3333,34.13,1.0000,12 30
22,4,2,4,4,1.0000,9.3500,0.3333,34.13,1.0000,12 60
23,4,3,4,4,1.0000,9.3500,0.3333,34.13,1.0000,1 48 60
24,4,3,4,4,1.0000,9.3500,0.3333,34.13,1.0000,1 60 79
25,4,3,4,4,1.0000,9.3500,0.3333,34.13,1.0000,12 30 37
26,4,3,4,4,1.0000,9.3500,0.3333,34.13,1.0000,12 30 40
27,4,4,4,4,1.0000,9.3500,0.3333,34.13,1.0000,1 25 37 58
28,4,4,4,4,1.0000,9.3500,0.3333,34.13,1.0000,1 25 48 58
29,4,4,4,4,1.0000,9.3500,0.3333,34.13,1.0000,1 25 52 58
30,4,4,4,4,1.0000,9.3500,0.3333,34.13,1.0000,1 30 37 58
31,0,2,11,11,1.0000,7.4800,0.6111,75.74,1.0000,54 56
32,0,3,11,11,1.0000,7.4800,0.6111,75.74,1.0000,2 54 56
33,0,3,11,11,1.0000,7.4800,0.6111,75.74,1.0000,25 54 56
34,0,3,11,11,1.0000,7.4800,0.6111,75.74,1.0000,29 54 56
35,0,2,10,10,1.0000,7.4800,0.5714,68.46,1.0000,56 70
36,0,3,10,10,1.0000,7.4800,0.5714,68.46,1.0000,2 56 70
37,0,3,10,10,1.0000,7.4800,0.5714,68.46,1.0000,25 56 70
38,0,3,10,10,1.0000,7.4800,0.5714,68.46,1.0000,29 56 70
39,0,1,9,9,1.0000,7.4800,0.5294,61.27,1.0000,50
40,0,2,9,9,1.0000,7.4800,0.5294,61.27,1.0000,2 50
41,0,2,9,9,1.0000,7.4800,0.5294,61.27,1.0000,25 50
42,0,2,9,9,1.0000,7.4800,0.5294,61.27,1.0000,27 50
43,0,4,8,8,1.0000,7.4800,0.4848,54.16,1.0000,2 38 70 98
44,0,4,8,8,1.0000,7.4800,0.4848,54.16,1.0000,29 38 70 98
45,0,2,7,7,1.0000,7.4800,0.4375,47.12,1.0000,28 56
46,0,3,7,7,1.0000,7.4800,0.4375,47.12,1.0000,2 28 54
47,0,3,7,7,1.0000,7.4800,0.4375,47.12,1.0000,2 28 56
48,0,3,7,7,1.0000,7.4800,0.4375,47.12,1.0000,25 28 56
49,0,3,7,7,1.0000,7.4800,0.4375,47.12,1.0000,28 29 54
50,0,3,7,7,1.0000,7.4800,0.4375,47.12,1.0000,28 29 56
51,0,3,7,7,1.0000,7.4800,0.4375,47.12,1.0000,33 38 98
52,0,4,7,7,1.0000,7.4800,0.4375,47.12,1.0000,2 33 38 98
53,0,4,7,7,1.0000,7.4800,0.4375,47.12,1.0000,27 29 44 96
54,0,4,7,7,1.0000,7.4800,0.4375,47.12,1.0000,27 44 94 96
55,0,1,6,6,1.0000,7.4800,0.3871,40.17,1.0000,43
56,0,2,6,6,1.0000,7.4800,0.3871,40.17,1.0000,2 43
57,0,2,6,6,1.0000,7.4800,0.3871,40.17,1.0000,25 43
58,0,2,6,6,1.0000,7.4800,0.3871,40.17,1.0000,29 43
59,0,2,5,5,1.0000,7.4800,0.3333,33.29,1.0000,32 98
60,0,3,5,5,1.0000,7.4800,0.3333,33.29,1.0000,2 32 98
61,0,3,5,5,1.0000,7.4800,0.3333,33.29,1.0000,25 32 98
62,0,3,5,5,1.0000,7.4800,0.3333,33.29,1.0000,27 32 98
63,0,3,5,5,1.0000,7.4800,0.3333,33.29,1.0000,29 63 79
64,0,3,5,5,1.0000,7.4800,0.3333,33.29,1.0000,29 63 96
65,0,4,5,5,1.0000,7.4800,0.3333,33.29,1.0000,2 29 63 79
66,0,4,5,5,1.0000,7.4800,0.3333,33.29,1.0000,2 29 63 96
67,2,2,12,12,1.0000,6.4483,0.5854,69.86,1.0000,46 54
68,2,2,12,12,1.0000,6.4483,0.5854,69.86,1.0000,46 58
69,2,2,12,12,1.0000,6.4483,0.5854,69.86,1.0000,46 65
70,2,2,12,12,1.0000,6.4483,0.5854,69.86,1.0000,46 70
71,2,4,7,7,1.0000,6.4483,0.3889,39.62,1.0000,27 29 80 99
72,2,4,7,7,1.0000,6.4483,0.3889,39.62,1.0000,29 51 80 99
73,2,4,7,7,1.0000,6.4483,0.3889,39.62,1.0000,29 54 80 99
74,2,4,7,7,1.0000,6.4483,0.3889,39.62,1.0000,29 62 80 99
75,2,3,6,6,1.0000,6.4483,0.3429,33.77,1.0000,54 78 88
76,2,3,6,6,1.0000,6.4483,0.3429,33.77,1.0000,54 78 92
77,2,3,6,6,1.0000,6.4483,0.3429,33.77,1.0000,54 88 92
