rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,1,1,65,65,1.0000,2.8519,0.4626,134.57,1.0000,8
2,1,1,60,60,1.0000,2.8519,0.4348,123.10,1.0000,13
3,1,1,53,53,1.0000,2.8519,0.3941,107.39,1.0000,23
4,1,1,52,52,1.0000,2.8519,0.3881,105.17,1.0000,76
5,1,2,43,43,1.0000,2.8519,0.3320,85.61,1.0000,13 23
6,1,2,39,39,1.0000,2.8519,0.3059,77.10,1.0000,8 51
7,1,2,36,36,1.0000,2.8519,0.2857,70.80,1.0000,34 51
8,1,2,34,34,1.0000,2.8519,0.2720,66.64,1.0000,51 66
9,1,2,32,32,1.0000,2.8519,0.2581,62.51,1.0000,8 80
10,1,2,31,31,1.0000,2.8519,0.2510,60.45,1.0000,23 51
11,1,2,29,29,1.0000,2.8519,0.2367,56.36,1.0000,13 51
12,1,1,28,28,1.0000,2.8519,0.2295,54.32,1.0000,48
13,1,1,27,27,1.0000,2.8519,0.2222,52.29,1.0000,67
14,1,2,27,27,1.0000,2.8519,0.2222,52.29,1.0000,13 80
15,1,1,26,26,1.0000,2.8519,0.2149,50.27,1.0000,17
16,1,1,25,25,1.0000,2.8519,0.2075,48.25,1.0000,12
17,1,2,25,25,1.0000,2.8519,0.2075,48.25,1.0000,13 76
18,1,1,24,24,1.0000,2.8519,0.2000,46.25,1.0000,18
19,1,2,24,24,1.0000,2.8519,0.2000,46.25,1.0000,23 34
20,1,2,24,24,1.0000,2.8519,0.2000,46.25,1.0000,23 76
21,1,2,24,24,1.0000,2.8519,0.2000,46.25,1.0000,51 76
22,1,1,23,23,1.0000,2.8519,0.1925,44.24,1.0000,33
23,1,2,23,23,1.0000,2.8519,0.1925,44.24,1.0000,13 34
24,1,2,23,23,1.0000,2.8519,0.1925,44.24,1.0000,23 80
25,1,1,22,22,1.0000,2.8519,0.1849,42.25,1.0000,22
26,1,2,21,21,1.0000,2.8519,0.1772,40.26,1.0000,45 51
