rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,1,3,34,34,1.0000,2.1746,0.4250,45.59,1.0000,5 12 30
2,1,4,34,34,1.0000,2.1746,0.4250,45.59,1.0000,5 8 12 30
3,1,4,34,34,1.0000,2.1746,0.4250,45.59,1.0000,5 9 12 30
4,1,4,32,32,1.0000,2.1746,0.4051,42.56,1.0000,5 12 15 18
5,1,3,31,31,1.0000,2.1746,0.3949,41.06,1.0000,5 18 20
6,1,4,31,31,1.0000,2.1746,0.3949,41.06,1.0000,5 8 18 20
7,1,4,31,31,1.0000,2.1746,0.3949,41.06,1.0000,5 9 18 20
8,1,3,29,29,1.0000,2.1746,0.3742,38.10,1.0000,5 20 30
9,1,4,29,29,1.0000,2.1746,0.3742,38.10,1.0000,5 8 20 30
10,1,4,29,29,1.0000,2.1746,0.3742,38.10,1.0000,5 9 20 30
11,1,4,29,29,1.0000,2.1746,0.3742,38.10,1.0000,5 15 18 20
12,1,4,28,28,1.0000,2.1746,0.3636,36.63,1.0000,2 5 12 30
13,1,4,27,27,1.0000,2.1746,0.3529,35.18,1.0000,5 11 12 30
14,1,4,27,27,1.0000,2.1746,0.3529,35.18,1.0000,5 11 18 20
15,1,4,26,26,1.0000,2.1746,0.3421,33.74,1.0000,5 15 20 30
16,1,3,25,25,1.0000,2.1746,0.3311,32.31,1.0000,18 20 30
17,1,4,25,25,1.0000,2.1746,0.3311,32.31,1.0000,8 18 20 30
18,1,4,25,25,1.0000,2.1746,0.3311,32.31,1.0000,9 18 20 30
19,1,4,23,23,1.0000,2.1746,0.3087,29.49,1.0000,1 5 12 18
20,1,4,23,23,1.0000,2.1746,0.3087,29.49,1.0000,2 5 20 22
21,1,4,23,23,1.0000,2.1746,0.3087,29.49,1.0000,15 18 20 30
22,1,4,22,22,1.0000,2.1746,0.2973,28.10,1.0000,2 18 20 30
23,1,4,21,21,1.0000,2.1746,0.2857,26.71,1.0000,12 15 18 30
24,1,4,18,18,1.0000,2.1746,0.2500,22.63,1.0000,5 12 20 22
25,1,2,17,17,1.0000,2.1746,0.2378,21.29,1.0000,26 30
26,1,3,17,17,1.0000,2.1746,0.2378,21.29,1.0000,2 5 26
27,1,3,17,17,1.0000,2.1746,0.2378,21.29,1.0000,8 26 30
28,1,3,17,17,1.0000,2.1746,0.2378,21.29,1.0000,9 26 30
29,1,4,17,17,1.0000,2.1746,0.2378,21.29,1.0000,0 5 15 18
30,1,4,17,17,1.0000,2.1746,0.2378,21.29,1.0000,2 5 8 26
31,1,4,17,17,1.0000,2.1746,0.2378,21.29,1.0000,2 5 9 26
32,1,4,17,17,1.0000,2.1746,0.2378,21.29,1.0000,5 15 18 24
33,1,4,17,17,1.0000,2.1746,0.2378,21.29,1.0000,8 9 26 30
34,1,3,16,16,1.0000,2.1746,0.2254,19.96,1.0000,1 2 26
35,1,3,16,16,1.0000,2.1746,0.2254,19.96,1.0000,1 12 26
36,1,3,16,16,1.0000,2.1746,0.2254,19.96,1.0000,5 12 26
37,1,4,16,16,1.0000,2.1746,0.2254,19.96,1.0000,0 5 18 30
38,1,4,16,16,1.0000,2.1746,0.2254,19.96,1.0000,1 2 8 26
39,1,4,16,16,1.0000,2.1746,0.2254,19.96,1.0000,1 2 9 26
40,1,4,16,16,1.0000,2.1746,0.2254,19.96,1.0000,1 8 12 26
41,1,4,16,16,1.0000,2.1746,0.2254,19.96,1.0000,1 9 12 26
42,1,4,16,16,1.0000,2.1746,0.2254,19.96,1.0000,2 5 12 27
43,1,4,15,15,1.0000,2.1746,0.2128,18.64,1.0000,0 5 22 30
44,1,3,14,14,1.0000,2.1746,0.2000,17.33,1.0000,2 22 26
45,1,4,14,14,1.0000,2.1746,0.2000,17.33,1.0000,5 12 15 27
46,1,4,14,14,1.0000,2.1746,0.2000,17.33,1.0000,15 18 24 30
47,1,3,13,13,1.0000,2.1746,0.1871,16.03,1.0000,15 20 27
48,1,4,13,13,1.0000,2.1746,0.1871,16.03,1.0000,8 15 20 27
49,1,4,13,13,1.0000,2.1746,0.1871,16.03,1.0000,9 15 20 27
50,1,3,12,12,1.0000,2.1746,0.1739,14.74,1.0000,1 5 10
51,1,3,12,12,1.0000,2.1746,0.1739,14.74,1.0000,1 20 27
52,1,3,12,12,1.0000,2.1746,0.1739,14.74,1.0000,20 22 27
53,1,4,12,12,1.0000,2.1746,0.1739,14.74,1.0000,1 2 11 26
54,1,4,12,12,1.0000,2.1746,0.1739,14.74,1.0000,1 5 8 10
55,1,4,12,12,1.0000,2.1746,0.1739,14.74,1.0000,1 5 9 10
56,1,4,12,12,1.0000,2.1746,0.1739,14.74,1.0000,1 8 20 27
57,1,4,12,12,1.0000,2.1746,0.1739,14.74,1.0000,1 9 20 27
58,1,4,12,12,1.0000,2.1746,0.1739,14.74,1.0000,5 15 18 29
59,1,2,11,11,1.0000,2.1746,0.1606,13.46,1.0000,5 21
60,1,3,11,11,1.0000,2.1746,0.1606,13.46,1.0000,0 15 20
61,1,3,11,11,1.0000,2.1746,0.1606,13.46,1.0000,5 8 21
62,1,3,11,11,1.0000,2.1746,0.1606,13.46,1.0000,5 9 21
63,1,3,11,11,1.0000,2.1746,0.1606,13.46,1.0000,5 10 18
64,1,4,11,11,1.0000,2.1746,0.1606,13.46,1.0000,0 2 15 20
65,1,4,11,11,1.0000,2.1746,0.1606,13.46,1.0000,0 8 15 20
66,1,4,11,11,1.0000,2.1746,0.1606,13.46,1.0000,0 9 15 20
67,1,4,11,11,1.0000,2.1746,0.1606,13.46,1.0000,5 8 9 21
68,1,4,11,11,1.0000,2.1746,0.1606,13.46,1.0000,5 8 10 18
69,1,4,11,11,1.0000,2.1746,0.1606,13.46,1.0000,5 9 10 18
70,1,3,10,10,1.0000,2.1746,0.1471,12.19,1.0000,1 5 25
71,1,3,10,10,1.0000,2.1746,0.1471,12.19,1.0000,3 5 30
72,1,3,10,10,1.0000,2.1746,0.1471,12.19,1.0000,5 10 22
73,1,4,10,10,1.0000,2.1746,0.1471,12.19,1.0000,0 5 13 18
74,1,4,10,10,1.0000,2.1746,0.1471,12.19,1.0000,1 3 18 22
75,1,4,10,10,1.0000,2.1746,0.1471,12.19,1.0000,1 5 8 25
76,1,4,10,10,1.0000,2.1746,0.1471,12.19,1.0000,1 5 9 25
77,1,4,10,10,1.0000,2.1746,0.1471,12.19,1.0000,12 18 22 27
78,1,3,9,9,1.0000,2.1746,0.1333,10.93,1.0000,0 5 27
79,1,3,9,9,1.0000,2.1746,0.1333,10.93,1.0000,1 12 25
80,1,3,9,9,1.0000,2.1746,0.1333,10.93,1.0000,10 18 30
81,1,3,9,9,1.0000,2.1746,0.1333,10.93,1.0000,11 12 25
82,1,3,9,9,1.0000,2.1746,0.1333,10.93,1.0000,12 15 25
83,1,3,9,9,1.0000,2.1746,0.1333,10.93,1.0000,12 27 30
84,1,4,9,9,1.0000,2.1746,0.1333,10.93,1.0000,0 2 5 27
85,1,4,9,9,1.0000,2.1746,0.1333,10.93,1.0000,0 5 8 27
86,1,4,9,9,1.0000,2.1746,0.1333,10.93,1.0000,0 5 9 27
87,1,4,9,9,1.0000,2.1746,0.1333,10.93,1.0000,1 8 12 25
88,1,4,9,9,1.0000,2.1746,0.1333,10.93,1.0000,2 5 23 27
89,1,4,9,9,1.0000,2.1746,0.1333,10.93,1.0000,2 12 27 30
90,1,4,9,9,1.0000,2.1746,0.1333,10.93,1.0000,3 5 15 18
91,1,4,9,9,1.0000,2.1746,0.1333,10.93,1.0000,8 10 18 30
92,1,4,9,9,1.0000,2.1746,0.1333,10.93,1.0000,8 11 12 25
93,1,4,9,9,1.0000,2.1746,0.1333,10.93,1.0000,8 12 15 25
94,1,4,9,9,1.0000,2.1746,0.1333,10.93,1.0000,8 12 27 30
95,1,4,9,9,1.0000,2.1746,0.1333,10.93,1.0000,9 12 27 30
96,1,4,9,9,1.0000,2.1746,0.1333,10.93,1.0000,10 12 15 18
97,1,4,9,9,1.0000,2.1746,0.1333,10.93,1.0000,17 22 27 30
98,1,2,8,8,1.0000,2.1746,0.1194,9.68,1.0000,18 28
99,1,3,8,8,1.0000,2.1746,0.1194,9.68,1.0000,1 10 26
100,1,3,8,8,1.0000,2.1746,0.1194,9.68,1.0000,8 18 28
101,1,3,8,8,1.0000,2.1746,0.1194,9.68,1.0000,9 18 28
102,1,4,8,8,1.0000,2.1746,0.1194,9.68,1.0000,2 5 17 27
103,1,4,8,8,1.0000,2.1746,0.1194,9.68,1.0000,8 9 18 28
104,1,4,7,7,1.0000,2.1746,0.1053,8.44,1.0000,3 13 18 22
105,1,4,7,7,1.0000,2.1746,0.1053,8.44,1.0000,15 17 27 30
106,1,4,6,6,1.0000,2.1746,0.0909,7.21,1.0000,0 2 22 27
107,1,4,6,6,1.0000,2.1746,0.0909,7.21,1.0000,2 5 16 27
108,1,4,6,6,1.0000,2.1746,0.0909,7.21,1.0000,2 6 22 27
109,1,4,6,6,1.0000,2.1746,0.0909,7.21,1.0000,3 15 22 30
110,1,4,6,6,1.0000,2.1746,0.0909,7.21,1.0000,5 15 18 23
111,1,4,5,5,1.0000,2.1746,0.0763,5.98,1.0000,5 13 23 27
112,1,4,5,5,1.0000,2.1746,0.0763,5.98,1.0000,5 18 23 27
113,1,4,5,5,1.0000,2.1746,0.0763,5.98,1.0000,6 22 27 30
114,1,4,5,5,1.0000,2.1746,0.0763,5.98,1.0000,13 16 18 22
115,1,4,4,4,1.0000,2.1746,0.0615,4.77,1.0000,1 6 12 20
116,1,4,4,4,1.0000,2.1746,0.0615,4.77,1.0000,6 11 12 20
117,1,3,51,52,0.9808,2.1328,0.5730,70.11,0.9301,5 15 18
118,1,4,51,52,0.9808,2.1328,0.5730,70.11,0.9301,5 8 15 18
119,1,4,51,52,0.9808,2.1328,0.5730,70.11,0.9301,5 9 15 18
120,1,3,37,38,0.9737,2.1174,0.4512,46.90,0.9049,15 18 30
121,1,4,33,34,0.9706,2.1106,0.4125,40.76,0.8941,5 15 22 30
122,1,4,26,27,0.9630,2.0941,0.3399,30.52,0.8676,1 5 18 22
123,1,4,23,24,0.9583,2.0840,0.3067,26.31,0.8517,1 12 15 30
124,1,4,23,24,0.9583,2.0840,0.3067,26.31,0.8517,12 15 22 30
125,1,4,42,44,0.9545,2.0758,0.4941,51.64,0.8388,2 5 15 22
126,1,4,21,22,0.9545,2.0758,0.2838,23.57,0.8388,0 2 5 18
127,1,3,41,43,0.9535,2.0735,0.4852,50.04,0.8352,5 18 30
128,1,4,20,21,0.9524,2.0711,0.2721,22.21,0.8315,0 5 11 30
129,1,4,18,19,0.9474,2.0602,0.2483,19.53,0.8146,0 11 22 30
130,1,4,17,18,0.9444,2.0538,0.2361,18.21,0.8049,1 2 12 27
131,1,3,32,34,0.9412,2.0467,0.4000,36.20,0.7941,12 15 30
132,1,4,32,34,0.9412,2.0467,0.4000,36.20,0.7941,8 12 15 30
133,1,4,16,17,0.9412,2.0467,0.2238,16.90,0.7941,0 11 15 30
134,1,4,16,17,0.9412,2.0467,0.2238,16.90,0.7941,0 15 22 30
135,1,4,16,17,0.9412,2.0467,0.2238,16.90,0.7941,2 12 22 27
136,1,4,14,15,0.9333,2.0296,0.1986,14.32,0.7684,11 12 22 27
137,1,3,25,27,0.9259,2.0135,0.3268,26.19,0.7445,2 22 27
138,1,4,25,27,0.9259,2.0135,0.3268,26.19,0.7445,2 8 22 27
139,1,4,22,24,0.9167,1.9934,0.2933,22.10,0.7152,1 2 11 27
140,1,4,11,12,0.9167,1.9934,0.1594,10.54,0.7152,0 13 22 30
141,1,4,11,12,0.9167,1.9934,0.1594,10.54,0.7152,2 5 15 29
142,1,4,21,23,0.9130,1.9855,0.2819,20.76,0.7039,11 12 20 22
143,1,4,31,34,0.9118,1.9827,0.3875,31.91,0.7000,2 11 20 22
144,1,4,48,53,0.9057,1.9695,0.5363,52.58,0.6812,2 5 11 15
145,1,4,19,21,0.9048,1.9675,0.2585,18.12,0.6785,2 11 12 27
146,1,3,37,41,0.9024,1.9624,0.4431,38.02,0.6714,11 20 22
147,1,4,18,20,0.9000,1.9571,0.2466,16.83,0.6640,1 11 22 27
148,1,3,17,19,0.8947,1.9457,0.2345,15.54,0.6482,12 22 27
149,1,4,17,19,0.8947,1.9457,0.2345,15.54,0.6482,8 12 22 27
150,1,3,22,25,0.8800,1.9137,0.2914,19.55,0.6050,2 12 27
151,1,4,36,42,0.8571,1.8639,0.4286,31.52,0.5410,2 11 12 15
152,0,3,33,33,1.0000,1.8514,0.3646,31.94,1.0000,0 3 29
153,0,4,33,33,1.0000,1.8514,0.3646,31.94,1.0000,0 3 8 29
154,0,4,33,33,1.0000,1.8514,0.3646,31.94,1.0000,0 3 9 29
155,0,4,33,33,1.0000,1.8514,0.3646,31.94,1.0000,0 3 19 29
156,0,3,30,30,1.0000,1.8514,0.3371,28.68,1.0000,0 3 17
157,0,4,30,30,1.0000,1.8514,0.3371,28.68,1.0000,0 3 8 17
158,0,4,30,30,1.0000,1.8514,0.3371,28.68,1.0000,0 3 9 17
159,0,4,30,30,1.0000,1.8514,0.3371,28.68,1.0000,0 3 17 19
160,0,3,29,29,1.0000,1.8514,0.3277,27.61,1.0000,3 6 29
161,0,4,29,29,1.0000,1.8514,0.3277,27.61,1.0000,3 6 8 29
162,0,4,29,29,1.0000,1.8514,0.3277,27.61,1.0000,3 6 9 29
163,0,4,29,29,1.0000,1.8514,0.3277,27.61,1.0000,3 6 19 29
164,0,4,26,26,1.0000,1.8514,0.2989,24.46,1.0000,7 19 24 29
165,0,3,25,25,1.0000,1.8514,0.2890,23.42,1.0000,3 6 24
166,0,3,25,25,1.0000,1.8514,0.2890,23.42,1.0000,3 13 23
167,0,4,25,25,1.0000,1.8514,0.2890,23.42,1.0000,3 6 8 24
168,0,4,25,25,1.0000,1.8514,0.2890,23.42,1.0000,3 6 9 24
169,0,4,25,25,1.0000,1.8514,0.2890,23.42,1.0000,3 6 19 24
170,0,4,25,25,1.0000,1.8514,0.2890,23.42,1.0000,3 8 13 23
171,0,4,25,25,1.0000,1.8514,0.2890,23.42,1.0000,3 9 13 23
172,0,4,25,25,1.0000,1.8514,0.2890,23.42,1.0000,3 13 16 17
173,0,4,25,25,1.0000,1.8514,0.2890,23.42,1.0000,3 13 17 24
174,0,4,24,24,1.0000,1.8514,0.2791,22.39,1.0000,3 13 19 23
175,0,4,23,23,1.0000,1.8514,0.2690,21.38,1.0000,0 12 24 29
176,0,3,21,21,1.0000,1.8514,0.2485,19.36,1.0000,0 7 29
177,0,3,21,21,1.0000,1.8514,0.2485,19.36,1.0000,7 13 29
178,0,4,21,21,1.0000,1.8514,0.2485,19.36,1.0000,0 7 8 29
179,0,4,21,21,1.0000,1.8514,0.2485,19.36,1.0000,0 7 9 29
180,0,4,21,21,1.0000,1.8514,0.2485,19.36,1.0000,7 8 13 29
181,0,4,21,21,1.0000,1.8514,0.2485,19.36,1.0000,7 9 13 29
182,0,4,21,21,1.0000,1.8514,0.2485,19.36,1.0000,7 13 16 23
183,0,4,21,21,1.0000,1.8514,0.2485,19.36,1.0000,7 16 23 24
184,0,3,20,20,1.0000,1.8514,0.2381,18.37,1.0000,0 7 23
185,0,4,20,20,1.0000,1.8514,0.2381,18.37,1.0000,0 7 8 23
186,0,4,20,20,1.0000,1.8514,0.2381,18.37,1.0000,7 23 24 29
187,0,4,19,19,1.0000,1.8514,0.2275,17.38,1.0000,6 12 16 19
188,0,4,18,18,1.0000,1.8514,0.2169,16.40,1.0000,3 17 22 24
189,0,4,15,15,1.0000,1.8514,0.1840,13.51,1.0000,0 22 24 29
190,0,4,14,14,1.0000,1.8514,0.1728,12.56,1.0000,0 5 24 29
191,0,4,14,14,1.0000,1.8514,0.1728,12.56,1.0000,0 17 22 29
192,0,3,13,13,1.0000,1.8514,0.1615,11.62,1.0000,10 17 24
193,0,4,13,13,1.0000,1.8514,0.1615,11.62,1.0000,0 6 12 16
194,0,4,13,13,1.0000,1.8514,0.1615,11.62,1.0000,0 6 12 24
195,0,4,13,13,1.0000,1.8514,0.1615,11.62,1.0000,0 16 22 29
196,0,4,13,13,1.0000,1.8514,0.1615,11.62,1.0000,6 19 22 29
197,0,4,13,13,1.0000,1.8514,0.1615,11.62,1.0000,8 10 17 24
198,0,4,13,13,1.0000,1.8514,0.1615,11.62,1.0000,9 10 17 24
199,0,3,11,11,1.0000,1.8514,0.1384,9.76,1.0000,0 10 17
200,0,4,11,11,1.0000,1.8514,0.1384,9.76,1.0000,0 8 10 17
201,0,4,11,11,1.0000,1.8514,0.1384,9.76,1.0000,0 9 10 17
202,0,4,11,11,1.0000,1.8514,0.1384,9.76,1.0000,3 15 17 24
203,0,4,11,11,1.0000,1.8514,0.1384,9.76,1.0000,6 10 17 19
204,0,4,11,11,1.0000,1.8514,0.1384,9.76,1.0000,6 12 23 24
205,0,4,11,11,1.0000,1.8514,0.1384,9.76,1.0000,10 17 19 24
206,0,3,10,10,1.0000,1.8514,0.1266,8.84,1.0000,6 10 16
207,0,3,10,10,1.0000,1.8514,0.1266,8.84,1.0000,6 10 29
208,0,4,10,10,1.0000,1.8514,0.1266,8.84,1.0000,0 2 10 17
209,0,4,10,10,1.0000,1.8514,0.1266,8.84,1.0000,0 6 22 24
