rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,0,3,70,70,1.0000,2.2455,0.4035,98.24,1.0000,0 42 56
2,0,4,70,70,1.0000,2.2455,0.4035,98.24,1.0000,0 42 50 56
3,0,4,61,61,1.0000,2.2455,0.3609,84.24,1.0000,0 42 44 56
4,0,4,59,59,1.0000,2.2455,0.3512,81.18,1.0000,0 7 42 56
5,0,4,59,59,1.0000,2.2455,0.3512,81.18,1.0000,0 11 42 56
6,0,4,53,53,1.0000,2.2455,0.3212,72.16,1.0000,0 41 42 56
7,0,4,49,49,1.0000,2.2455,0.3006,66.25,1.0000,0 42 47 56
8,0,4,44,44,1.0000,2.2455,0.2741,58.97,1.0000,0 42 54 56
9,0,4,44,44,1.0000,2.2455,0.2741,58.97,1.0000,41 42 54 56
10,0,4,43,43,1.0000,2.2455,0.2688,57.53,1.0000,0 3 42 56
11,0,4,42,42,1.0000,2.2455,0.2633,56.10,1.0000,0 30 42 56
12,0,4,41,41,1.0000,2.2455,0.2579,54.67,1.0000,0 42 47 53
13,0,4,41,41,1.0000,2.2455,0.2579,54.67,1.0000,42 47 54 56
14,0,4,40,40,1.0000,2.2455,0.2524,53.24,1.0000,41 44 54 56
15,0,4,39,39,1.0000,2.2455,0.2468,51.82,1.0000,0 41 47 48
16,0,4,38,38,1.0000,2.2455,0.2413,50.41,1.0000,0 7 47 53
17,0,4,38,38,1.0000,2.2455,0.2413,50.41,1.0000,0 11 47 53
18,0,4,36,36,1.0000,2.2455,0.2300,47.59,1.0000,0 41 47 53
19,0,3,35,35,1.0000,2.2455,0.2244,46.19,1.0000,4 41 56
20,0,4,35,35,1.0000,2.2455,0.2244,46.19,1.0000,4 41 42 56
21,0,4,35,35,1.0000,2.2455,0.2244,46.19,1.0000,4 41 50 56
22,0,4,34,34,1.0000,2.2455,0.2186,44.80,1.0000,4 42 44 56
23,0,4,34,34,1.0000,2.2455,0.2186,44.80,1.0000,5 42 47 56
24,0,4,33,33,1.0000,2.2455,0.2129,43.40,1.0000,4 7 41 56
25,0,4,33,33,1.0000,2.2455,0.2129,43.40,1.0000,41 42 49 56
26,0,3,32,32,1.0000,2.2455,0.2071,42.02,1.0000,31 42 56
27,0,4,32,32,1.0000,2.2455,0.2071,42.02,1.0000,31 42 50 56
28,0,4,32,32,1.0000,2.2455,0.2071,42.02,1.0000,42 48 54 56
29,0,3,31,31,1.0000,2.2455,0.2013,40.64,1.0000,4 47 56
30,0,4,31,31,1.0000,2.2455,0.2013,40.64,1.0000,4 42 47 56
31,0,4,31,31,1.0000,2.2455,0.2013,40.64,1.0000,4 44 47 56
32,0,4,31,31,1.0000,2.2455,0.2013,40.64,1.0000,5 41 42 56
33,0,3,29,29,1.0000,2.2455,0.1895,37.89,1.0000,47 49 56
34,0,4,29,29,1.0000,2.2455,0.1895,37.89,1.0000,0 6 47 53
35,0,4,29,29,1.0000,2.2455,0.1895,37.89,1.0000,42 47 49 56
36,0,4,29,29,1.0000,2.2455,0.1895,37.89,1.0000,44 47 49 56
