rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,0,4,18,18,1.0000,2.8595,0.1385,34.36,1.0000,1 5 12 14
2,0,3,13,13,1.0000,2.8595,0.1020,24.64,1.0000,1 5 10
3,0,4,13,13,1.0000,2.8595,0.1020,24.64,1.0000,1 5 6 10
4,0,4,13,13,1.0000,2.8595,0.1020,24.64,1.0000,1 5 7 10
5,0,4,13,13,1.0000,2.8595,0.1020,24.64,1.0000,1 5 10 16
6,0,4,9,9,1.0000,2.8595,0.0717,16.96,1.0000,5 8 12 15
7,0,4,23,24,0.9583,2.7404,0.1729,40.50,0.8760,5 8 12 14
8,0,3,21,22,0.9545,2.7295,0.1591,36.55,0.8651,1 5 14
9,0,4,21,22,0.9545,2.7295,0.1591,36.55,0.8651,1 5 6 14
10,0,4,21,22,0.9545,2.7295,0.1591,36.55,0.8651,1 5 7 14
11,0,4,21,22,0.9545,2.7295,0.1591,36.55,0.8651,1 5 14 16
12,0,4,17,18,0.9444,2.7006,0.1308,28.74,0.8364,5 12 14 15
13,0,3,25,27,0.9259,2.6477,0.1859,41.02,0.7852,1 5 12
14,0,4,25,27,0.9259,2.6477,0.1859,41.02,0.7852,1 5 6 12
15,0,4,25,27,0.9259,2.6477,0.1859,41.02,0.7852,1 5 7 12
16,0,4,25,27,0.9259,2.6477,0.1859,41.02,0.7852,1 5 12 16
17,0,4,22,24,0.9167,2.6212,0.1654,35.14,0.7601,0 5 8 12
18,0,4,21,23,0.9130,2.6109,0.1585,33.20,0.7504,5 10 14 16
19,0,3,52,57,0.9123,2.6087,0.3478,86.45,0.7484,5 12 14
20,0,4,52,57,0.9123,2.6087,0.3478,86.45,0.7484,5 6 12 14
21,0,4,52,57,0.9123,2.6087,0.3478,86.45,0.7484,5 7 12 14
22,0,3,20,22,0.9091,2.5995,0.1515,31.26,0.7399,5 12 15
23,0,4,20,22,0.9091,2.5995,0.1515,31.26,0.7399,0 5 12 15
24,0,4,20,22,0.9091,2.5995,0.1515,31.26,0.7399,5 6 12 15
25,0,4,20,22,0.9091,2.5995,0.1515,31.26,0.7399,5 7 12 15
26,0,3,27,30,0.9000,2.5736,0.1985,41.76,0.7161,5 10 16
27,0,4,27,30,0.9000,2.5736,0.1985,41.76,0.7161,5 6 10 16
28,0,4,27,30,0.9000,2.5736,0.1985,41.76,0.7161,5 7 10 16
29,0,3,35,39,0.8974,2.5662,0.2491,54.52,0.7094,5 8 12
30,0,4,35,39,0.8974,2.5662,0.2491,54.52,0.7094,5 6 8 12
31,0,4,35,39,0.8974,2.5662,0.2491,54.52,0.7094,5 7 8 12
32,0,4,25,28,0.8929,2.5531,0.1852,37.85,0.6976,1 10 12 14
33,0,2,72,82,0.8780,2.5108,0.4444,114.18,0.6601,5 12
34,0,3,72,82,0.8780,2.5108,0.4444,114.18,0.6601,5 6 12
35,0,3,72,82,0.8780,2.5108,0.4444,114.18,0.6601,5 7 12
36,0,4,72,82,0.8780,2.5108,0.4444,114.18,0.6601,5 6 7 12
37,0,3,26,30,0.8667,2.4782,0.1912,36.85,0.6320,1 10 14
38,0,4,26,30,0.8667,2.4782,0.1912,36.85,0.6320,1 6 10 14
39,0,4,26,30,0.8667,2.4782,0.1912,36.85,0.6320,1 7 10 14
40,0,4,6,7,0.8571,2.4510,0.0482,8.01,0.6089,4 9 12 16
41,0,3,30,37,0.8108,2.3185,0.2151,36.55,0.5028,1 10 12
42,0,4,30,37,0.8108,2.3185,0.2151,36.55,0.5028,1 6 10 12
43,0,4,30,37,0.8108,2.3185,0.2151,36.55,0.5028,1 7 10 12
44,0,4,30,37,0.8108,2.3185,0.2151,36.55,0.5028,1 10 12 16
45,0,4,15,19,0.7895,2.2575,0.1149,16.61,0.4573,1 3 12 14
46,0,4,56,73,0.7671,2.1936,0.3556,62.52,0.4120,10 12 14 16
47,0,3,58,79,0.7342,2.0994,0.3614,57.97,0.3495,10 14 16
48,0,4,58,79,0.7342,2.0994,0.3614,57.97,0.3495,6 10 14 16
49,0,4,58,79,0.7342,2.0994,0.3614,57.97,0.3495,7 10 14 16
50,0,3,54,74,0.7297,2.0867,0.3418,52.62,0.3415,1 12 14
51,0,4,54,74,0.7297,2.0867,0.3418,52.62,0.3415,1 6 12 14
52,0,4,54,74,0.7297,2.0867,0.3418,52.62,0.3415,1 7 12 14
53,0,4,54,74,0.7297,2.0867,0.3418,52.62,0.3415,1 12 14 16
54,0,4,5,7,0.7143,2.0425,0.0402,4.13,0.3143,4 9 12 14
55,1,2,50,50,1.0000,1.5378,0.2000,28.98,1.0000,2 11
56,1,3,50,50,1.0000,1.5378,0.2000,28.98,1.0000,2 6 11
57,1,3,50,50,1.0000,1.5378,0.2000,28.98,1.0000,2 7 11
58,1,3,50,50,1.0000,1.5378,0.2000,28.98,1.0000,11 13 15
59,1,4,50,50,1.0000,1.5378,0.2000,28.98,1.0000,2 6 7 11
60,1,4,50,50,1.0000,1.5378,0.2000,28.98,1.0000,6 11 13 15
