rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,1,4,12,12,1.0000,3.3333,0.0851,28.38,1.0000,14 24 54 63
2,1,3,10,10,1.0000,3.3333,0.0714,23.60,1.0000,14 28 54
3,1,4,10,10,1.0000,3.3333,0.0714,23.60,1.0000,0 24 38 45
4,1,4,10,10,1.0000,3.3333,0.0714,23.60,1.0000,14 28 52 54
5,1,4,10,10,1.0000,3.3333,0.0714,23.60,1.0000,14 28 54 71
6,1,4,10,10,1.0000,3.3333,0.0714,23.60,1.0000,14 33 54 71
7,1,4,9,9,1.0000,3.3333,0.0645,21.21,1.0000,0 22 33 63
8,1,4,9,9,1.0000,3.3333,0.0645,21.21,1.0000,1 32 58 63
9,1,4,9,9,1.0000,3.3333,0.0645,21.21,1.0000,14 24 28 54
10,1,4,14,15,0.9333,3.1111,0.0982,29.14,0.8186,14 54 63 71
11,1,4,13,14,0.9286,3.0952,0.0915,26.76,0.8063,5 14 54 63
12,1,4,12,13,0.9231,3.0769,0.0848,24.39,0.7923,5 14 24 54
13,1,4,11,12,0.9167,3.0556,0.0780,22.02,0.7761,0 5 14 38
14,1,4,11,12,0.9167,3.0556,0.0780,22.02,0.7761,0 5 50 70
15,1,4,11,12,0.9167,3.0556,0.0780,22.02,0.7761,14 24 54 56
16,1,3,10,11,0.9091,3.0303,0.0712,19.67,0.7571,5 9 44
17,1,4,10,11,0.9091,3.0303,0.0712,19.67,0.7571,0 29 38 45
18,1,4,10,11,0.9091,3.0303,0.0712,19.67,0.7571,1 24 33 50
19,1,4,10,11,0.9091,3.0303,0.0712,19.67,0.7571,5 9 41 44
20,1,4,10,11,0.9091,3.0303,0.0712,19.67,0.7571,5 9 44 52
21,1,4,10,11,0.9091,3.0303,0.0712,19.67,0.7571,5 9 44 71
22,1,4,10,11,0.9091,3.0303,0.0712,19.67,0.7571,14 24 54 70
23,1,4,10,11,0.9091,3.0303,0.0712,19.67,0.7571,14 32 38 60
24,1,4,10,11,0.9091,3.0303,0.0712,19.67,0.7571,22 28 33 50
25,1,4,9,10,0.9000,3.0000,0.0643,17.34,0.7347,0 10 24 41
26,1,4,9,10,0.9000,3.0000,0.0643,17.34,0.7347,0 22 33 44
27,1,4,9,10,0.9000,3.0000,0.0643,17.34,0.7347,0 33 51 58
28,1,4,9,10,0.9000,3.0000,0.0643,17.34,0.7347,0 38 45 70
29,1,4,9,10,0.9000,3.0000,0.0643,17.34,0.7347,5 7 43 63
30,1,4,9,10,0.9000,3.0000,0.0643,17.34,0.7347,5 14 50 70
31,1,4,9,10,0.9000,3.0000,0.0643,17.34,0.7347,5 24 58 59
32,1,4,9,10,0.9000,3.0000,0.0643,17.34,0.7347,7 14 32 38
33,1,4,9,10,0.9000,3.0000,0.0643,17.34,0.7347,28 50 60 65
34,1,4,16,18,0.8889,2.9630,0.1111,30.33,0.7077,0 22 63 69
35,1,4,16,18,0.8889,2.9630,0.1111,30.33,0.7077,14 24 54 71
36,1,3,15,17,0.8824,2.9412,0.1045,27.98,0.6921,14 54 63
37,1,4,12,14,0.8571,2.8571,0.0845,21.02,0.6335,0 38 45 56
38,1,4,12,14,0.8571,2.8571,0.0845,21.02,0.6335,0 50 53 63
39,1,4,12,14,0.8571,2.8571,0.0845,21.02,0.6335,5 14 33 45
40,1,4,17,20,0.8500,2.8333,0.1172,29.46,0.6173,0 5 14 70
41,1,3,11,13,0.8462,2.8205,0.0777,18.74,0.6087,14 33 54
42,1,4,11,13,0.8462,2.8205,0.0777,18.74,0.6087,0 10 24 71
43,1,4,11,13,0.8462,2.8205,0.0777,18.74,0.6087,0 21 38 45
44,1,4,11,13,0.8462,2.8205,0.0777,18.74,0.6087,0 22 28 67
45,1,4,11,13,0.8462,2.8205,0.0777,18.74,0.6087,0 30 33 70
46,1,4,11,13,0.8462,2.8205,0.0777,18.74,0.6087,1 14 24 33
47,1,4,11,13,0.8462,2.8205,0.0777,18.74,0.6087,29 51 58 70
48,1,4,11,13,0.8462,2.8205,0.0777,18.74,0.6087,33 51 58 70
49,1,4,16,19,0.8421,2.8070,0.1107,27.16,0.5998,0 5 14 63
50,1,4,21,25,0.8400,2.8000,0.1424,35.71,0.5951,0 22 37 63
51,1,4,15,18,0.8333,2.7778,0.1042,24.88,0.5805,0 5 14 33
52,1,3,10,12,0.8333,2.7778,0.0709,16.47,0.5805,5 16 58
53,1,3,10,12,0.8333,2.7778,0.0709,16.47,0.5805,10 41 50
54,1,4,10,12,0.8333,2.7778,0.0709,16.47,0.5805,0 14 33 51
55,1,4,10,12,0.8333,2.7778,0.0709,16.47,0.5805,0 22 24 35
56,1,4,10,12,0.8333,2.7778,0.0709,16.47,0.5805,0 22 28 37
57,1,4,10,12,0.8333,2.7778,0.0709,16.47,0.5805,0 53 57 63
58,1,4,10,12,0.8333,2.7778,0.0709,16.47,0.5805,1 22 24 33
59,1,4,10,12,0.8333,2.7778,0.0709,16.47,0.5805,5 8 24 33
60,1,4,10,12,0.8333,2.7778,0.0709,16.47,0.5805,5 16 52 58
61,1,4,10,12,0.8333,2.7778,0.0709,16.47,0.5805,5 16 58 67
62,1,4,10,12,0.8333,2.7778,0.0709,16.47,0.5805,5 16 58 71
63,1,4,10,12,0.8333,2.7778,0.0709,16.47,0.5805,10 41 50 52
64,1,4,10,12,0.8333,2.7778,0.0709,16.47,0.5805,10 41 50 71
65,1,4,10,12,0.8333,2.7778,0.0709,16.47,0.5805,16 22 24 69
66,1,4,10,12,0.8333,2.7778,0.0709,16.47,0.5805,22 24 44 58
67,1,4,10,12,0.8333,2.7778,0.0709,16.47,0.5805,22 58 59 67
68,1,4,10,12,0.8333,2.7778,0.0709,16.47,0.5805,50 68 70 71
69,1,4,10,12,0.8333,2.7778,0.0709,16.47,0.5805,51 58 59 70
70,1,3,9,11,0.8182,2.7273,0.0641,14.24,0.5480,1 27 38
71,1,3,9,11,0.8182,2.7273,0.0641,14.24,0.5480,9 33 71
72,1,3,9,11,0.8182,2.7273,0.0641,14.24,0.5480,9 37 59
73,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,0 5 11 29
74,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,0 7 14 45
75,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,0 10 70 71
76,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,0 14 45 60
77,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,0 22 35 41
78,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,0 24 58 69
79,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,0 29 33 58
80,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,0 30 33 44
81,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,0 32 44 63
82,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,0 33 45 51
83,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,1 5 7 27
84,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,1 7 32 51
85,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,1 27 38 52
86,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,1 27 38 67
87,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,1 33 50 70
88,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,4 22 53 69
89,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,7 14 24 30
90,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,9 22 24 41
91,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,9 24 37 59
92,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,9 33 41 71
93,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,9 37 41 59
94,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,12 24 33 60
95,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,14 21 32 38
96,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,14 22 33 41
97,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,14 22 56 65
98,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,22 32 44 67
99,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,24 29 35 38
100,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,31 41 45 56
101,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,41 57 68 70
102,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,44 50 68 70
103,1,4,9,11,0.8182,2.7273,0.0641,14.24,0.5480,50 57 68 70
104,1,4,21,26,0.8077,2.6923,0.1419,32.86,0.5260,0 24 37 51
105,1,4,25,31,0.8065,2.6882,0.1661,39.21,0.5235,0 22 24 63
106,1,3,12,15,0.8000,2.6667,0.0842,18.16,0.5102,1 32 58
