rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,4,4,9,9,1.0000,21.7778,1.0000,196.00,1.0000,4 5 11 18
2,4,4,7,7,1.0000,21.7778,0.8750,150.83,1.0000,2 4 5 11
3,4,2,5,5,1.0000,21.7778,0.7143,106.61,1.0000,8 11
4,4,3,5,5,1.0000,21.7778,0.7143,106.61,1.0000,4 8 11
5,4,3,5,5,1.0000,21.7778,0.7143,106.61,1.0000,5 8 11
6,4,4,5,5,1.0000,21.7778,0.7143,106.61,1.0000,2 5 11 16
7,4,4,5,5,1.0000,21.7778,0.7143,106.61,1.0000,5 11 16 18
8,4,4,3,3,1.0000,21.7778,0.5000,63.30,1.0000,4 5 7 11
9,4,2,2,2,1.0000,21.7778,0.3636,41.98,1.0000,11 14
10,4,3,2,2,1.0000,21.7778,0.3636,41.98,1.0000,0 11 14
11,4,3,2,2,1.0000,21.7778,0.3636,41.98,1.0000,4 11 17
12,4,4,2,2,1.0000,21.7778,0.3636,41.98,1.0000,2 4 11 17
13,3,3,6,6,1.0000,16.3333,0.6667,94.91,1.0000,3 8 17
14,3,4,6,6,1.0000,16.3333,0.6667,94.91,1.0000,2 3 8 17
15,3,4,6,6,1.0000,16.3333,0.6667,94.91,1.0000,3 5 8 17
16,3,4,6,6,1.0000,16.3333,0.6667,94.91,1.0000,3 8 10 17
17,3,4,4,4,1.0000,16.3333,0.5000,62.61,1.0000,0 5 9 13
18,3,4,3,3,1.0000,16.3333,0.4000,46.72,1.0000,0 3 5 9
19,3,4,3,3,1.0000,16.3333,0.4000,46.72,1.0000,0 5 9 14
20,3,4,3,3,1.0000,16.3333,0.4000,46.72,1.0000,0 5 9 18
21,3,4,3,3,1.0000,16.3333,0.4000,46.72,1.0000,0 5 13 14
22,3,3,4,5,0.8000,13.0667,0.4706,48.72,0.6193,0 5 13
23,3,4,4,5,0.8000,13.0667,0.4706,48.72,0.6193,3 5 9 18
24,5,2,21,21,1.0000,7.2593,0.8750,147.22,1.0000,9 16
25,5,3,21,21,1.0000,7.2593,0.8750,147.22,1.0000,0 5 16
26,5,3,21,21,1.0000,7.2593,0.8750,147.22,1.0000,4 9 16
27,5,3,21,21,1.0000,7.2593,0.8750,147.22,1.0000,5 9 16
28,5,3,21,21,1.0000,7.2593,0.8750,147.22,1.0000,9 10 16
29,5,4,21,21,1.0000,7.2593,0.8750,147.22,1.0000,0 5 10 16
30,5,4,21,21,1.0000,7.2593,0.8750,147.22,1.0000,0 5 16 20
31,5,2,18,18,1.0000,7.2593,0.8000,124.06,1.0000,11 19
32,5,3,18,18,1.0000,7.2593,0.8000,124.06,1.0000,0 9 11
33,5,3,18,18,1.0000,7.2593,0.8000,124.06,1.0000,0 11 19
34,5,3,18,18,1.0000,7.2593,0.8000,124.06,1.0000,4 11 19
35,5,3,3,3,1.0000,7.2593,0.2000,19.07,1.0000,2 4 13
36,5,4,3,3,1.0000,7.2593,0.2000,19.07,1.0000,2 4 9 13
37,5,4,3,3,1.0000,7.2593,0.2000,19.07,1.0000,2 4 10 13
38,5,4,3,3,1.0000,7.2593,0.2000,19.07,1.0000,2 4 13 20
39,5,2,2,2,1.0000,7.2593,0.1379,12.65,1.0000,13 16
40,5,3,2,2,1.0000,7.2593,0.1379,12.65,1.0000,6 9 19
41,5,3,2,2,1.0000,7.2593,0.1379,12.65,1.0000,6 13 19
42,5,3,2,2,1.0000,7.2593,0.1379,12.65,1.0000,6 14 19
43,5,4,2,2,1.0000,7.2593,0.1379,12.65,1.0000,6 9 10 19
44,0,2,7,7,1.0000,3.1111,0.2000,15.33,1.0000,1 15
45,0,3,7,7,1.0000,3.1111,0.2000,15.33,1.0000,1 6 15
46,0,3,7,7,1.0000,3.1111,0.2000,15.33,1.0000,1 7 15
47,0,3,7,7,1.0000,3.1111,0.2000,15.33,1.0000,1 10 15
48,1,3,6,6,1.0000,2.8406,0.1600,11.39,1.0000,6 9 18
49,1,4,6,6,1.0000,2.8406,0.1600,11.39,1.0000,0 6 9 18
50,1,4,6,6,1.0000,2.8406,0.1600,11.39,1.0000,6 9 10 18
51,1,4,6,6,1.0000,2.8406,0.1600,11.39,1.0000,6 9 18 20
52,1,2,4,4,1.0000,2.8406,0.1096,7.52,1.0000,2 15
53,1,3,4,4,1.0000,2.8406,0.1096,7.52,1.0000,2 3 15
54,1,3,4,4,1.0000,2.8406,0.1096,7.52,1.0000,2 6 15
55,1,3,4,4,1.0000,2.8406,0.1096,7.52,1.0000,2 10 15
56,1,2,3,3,1.0000,2.8406,0.0833,5.61,1.0000,3 11
57,1,3,3,3,1.0000,2.8406,0.0833,5.61,1.0000,2 3 11
58,1,3,3,3,1.0000,2.8406,0.0833,5.61,1.0000,3 5 11
59,1,3,3,3,1.0000,2.8406,0.0833,5.61,1.0000,3 7 11
60,1,3,3,3,1.0000,2.8406,0.0833,5.61,1.0000,4 12 17
61,1,4,3,3,1.0000,2.8406,0.0833,5.61,1.0000,2 4 12 17
62,1,4,3,3,1.0000,2.8406,0.0833,5.61,1.0000,4 10 12 17
63,1,4,3,3,1.0000,2.8406,0.0833,5.61,1.0000,4 12 17 18
64,0,2,29,33,0.8788,2.7340,0.6042,56.52,0.6747,1 7
65,0,3,29,33,0.8788,2.7340,0.6042,56.52,0.6747,1 6 7
66,0,3,29,33,0.8788,2.7340,0.6042,56.52,0.6747,1 7 10
67,0,3,29,33,0.8788,2.7340,0.6042,56.52,0.6747,1 7 12
68,0,4,7,8,0.8750,2.7222,0.1972,11.72,0.6655,2 4 12 16
69,0,4,7,8,0.8750,2.7222,0.1972,11.72,0.6655,4 6 12 16
70,0,4,7,8,0.8750,2.7222,0.1972,11.72,0.6655,4 7 12 16
71,0,4,6,7,0.8571,2.6667,0.1714,9.55,0.6233,4 12 16 18
72,1,2,25,27,0.9259,2.6302,0.5208,45.21,0.7844,8 15
73,1,3,25,27,0.9259,2.6302,0.5208,45.21,0.7844,3 8 15
74,1,3,25,27,0.9259,2.6302,0.5208,45.21,0.7844,6 8 15
75,1,3,25,27,0.9259,2.6302,0.5208,45.21,0.7844,8 10 15
76,0,1,31,37,0.8378,2.6066,0.6200,55.77,0.5792,1
77,0,2,31,37,0.8378,2.6066,0.6200,55.77,0.5792,1 6
78,0,2,31,37,0.8378,2.6066,0.6200,55.77,0.5792,1 10
79,0,2,31,37,0.8378,2.6066,0.6200,55.77,0.5792,1 12
80,0,3,10,12,0.8333,2.5926,0.2667,15.36,0.5691,4 6 16
81,0,4,10,12,0.8333,2.5926,0.2667,15.36,0.5691,2 4 6 16
82,0,4,10,12,0.8333,2.5926,0.2667,15.36,0.5691,4 6 7 16
83,0,4,10,12,0.8333,2.5926,0.2667,15.36,0.5691,4 6 10 16
84,1,3,31,34,0.9118,2.5899,0.6019,56.50,0.7462,0 6 15
