rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,0,3,29,29,1.0000,2.2500,0.4234,41.16,1.0000,4 18 20
2,0,4,29,29,1.0000,2.2500,0.4234,41.16,1.0000,4 8 18 20
3,0,4,29,29,1.0000,2.2500,0.4234,41.16,1.0000,4 9 18 20
4,0,3,26,26,1.0000,2.2500,0.3881,36.39,1.0000,4 20 29
5,0,4,26,26,1.0000,2.2500,0.3881,36.39,1.0000,2 4 12 21
6,0,4,26,26,1.0000,2.2500,0.3881,36.39,1.0000,4 8 20 29
7,0,4,26,26,1.0000,2.2500,0.3881,36.39,1.0000,4 9 20 29
8,0,4,26,26,1.0000,2.2500,0.3881,36.39,1.0000,4 15 18 20
9,0,3,25,25,1.0000,2.2500,0.3759,34.83,1.0000,18 20 29
10,0,4,25,25,1.0000,2.2500,0.3759,34.83,1.0000,4 10 18 20
11,0,4,25,25,1.0000,2.2500,0.3759,34.83,1.0000,8 18 20 29
12,0,4,25,25,1.0000,2.2500,0.3759,34.83,1.0000,9 18 20 29
13,0,4,24,24,1.0000,2.2500,0.3636,33.29,1.0000,1 4 12 18
14,0,4,22,22,1.0000,2.2500,0.3385,30.24,1.0000,1 4 12 29
15,0,4,22,22,1.0000,2.2500,0.3385,30.24,1.0000,2 18 20 29
16,0,4,21,21,1.0000,2.2500,0.3256,28.73,1.0000,4 12 21 29
17,0,4,19,19,1.0000,2.2500,0.2992,25.76,1.0000,2 4 20 21
18,0,2,16,16,1.0000,2.2500,0.2581,21.41,1.0000,27 29
19,0,3,16,16,1.0000,2.2500,0.2581,21.41,1.0000,2 4 27
20,0,3,16,16,1.0000,2.2500,0.2581,21.41,1.0000,8 27 29
21,0,3,16,16,1.0000,2.2500,0.2581,21.41,1.0000,9 27 29
22,0,4,16,16,1.0000,2.2500,0.2581,21.41,1.0000,1 12 18 29
23,0,4,16,16,1.0000,2.2500,0.2581,21.41,1.0000,2 4 8 27
24,0,4,16,16,1.0000,2.2500,0.2581,21.41,1.0000,2 4 9 27
25,0,4,16,16,1.0000,2.2500,0.2581,21.41,1.0000,8 9 27 29
26,0,3,15,15,1.0000,2.2500,0.2439,19.98,1.0000,1 12 27
27,0,3,15,15,1.0000,2.2500,0.2439,19.98,1.0000,4 12 27
28,0,4,15,15,1.0000,2.2500,0.2439,19.98,1.0000,0 4 21 29
29,0,4,15,15,1.0000,2.2500,0.2439,19.98,1.0000,1 8 12 27
30,0,4,15,15,1.0000,2.2500,0.2439,19.98,1.0000,1 9 12 27
31,0,4,15,15,1.0000,2.2500,0.2439,19.98,1.0000,12 18 21 29
32,0,3,14,14,1.0000,2.2500,0.2295,18.57,1.0000,1 2 27
33,0,4,14,14,1.0000,2.2500,0.2295,18.57,1.0000,1 2 8 27
34,0,4,14,14,1.0000,2.2500,0.2295,18.57,1.0000,1 2 9 27
35,0,4,14,14,1.0000,2.2500,0.2295,18.57,1.0000,2 4 12 26
36,0,3,13,13,1.0000,2.2500,0.2149,17.17,1.0000,2 21 27
37,0,3,12,12,1.0000,2.2500,0.2000,15.78,1.0000,0 15 20
38,0,4,12,12,1.0000,2.2500,0.2000,15.78,1.0000,0 8 15 20
39,0,4,12,12,1.0000,2.2500,0.2000,15.78,1.0000,0 9 15 20
40,0,4,12,12,1.0000,2.2500,0.2000,15.78,1.0000,0 15 20 21
41,0,4,12,12,1.0000,2.2500,0.2000,15.78,1.0000,0 18 21 29
42,0,4,12,12,1.0000,2.2500,0.2000,15.78,1.0000,4 12 15 26
43,0,4,11,11,1.0000,2.2500,0.1849,14.40,1.0000,4 12 17 29
44,0,4,11,11,1.0000,2.2500,0.1849,14.40,1.0000,4 12 18 26
45,0,4,11,11,1.0000,2.2500,0.1849,14.40,1.0000,4 15 18 28
46,0,4,11,11,1.0000,2.2500,0.1849,14.40,1.0000,10 12 21 26
47,0,4,10,10,1.0000,2.2500,0.1695,13.04,1.0000,4 12 16 29
48,0,4,10,10,1.0000,2.2500,0.1695,13.04,1.0000,18 21 25 29
49,0,2,9,9,1.0000,2.2500,0.1538,11.68,1.0000,4 23
50,0,4,9,9,1.0000,2.2500,0.1538,11.68,1.0000,0 4 13 18
51,0,4,9,9,1.0000,2.2500,0.1538,11.68,1.0000,2 4 26 28
52,0,4,9,9,1.0000,2.2500,0.1538,11.68,1.0000,12 18 21 26
53,0,3,8,8,1.0000,2.2500,0.1379,10.34,1.0000,0 4 26
54,0,3,8,8,1.0000,2.2500,0.1379,10.34,1.0000,1 4 11
55,0,3,8,8,1.0000,2.2500,0.1379,10.34,1.0000,1 4 24
56,0,3,8,8,1.0000,2.2500,0.1379,10.34,1.0000,1 12 24
57,0,3,8,8,1.0000,2.2500,0.1379,10.34,1.0000,1 20 26
58,0,3,8,8,1.0000,2.2500,0.1379,10.34,1.0000,4 12 24
59,0,3,8,8,1.0000,2.2500,0.1379,10.34,1.0000,10 12 24
60,0,3,8,8,1.0000,2.2500,0.1379,10.34,1.0000,11 12 29
61,0,3,8,8,1.0000,2.2500,0.1379,10.34,1.0000,12 15 24
62,0,3,8,8,1.0000,2.2500,0.1379,10.34,1.0000,12 26 29
63,0,3,8,8,1.0000,2.2500,0.1379,10.34,1.0000,15 20 26
64,0,4,8,8,1.0000,2.2500,0.1379,10.34,1.0000,0 2 4 26
65,0,4,8,8,1.0000,2.2500,0.1379,10.34,1.0000,0 4 8 26
