rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,1,4,12,12,1.0000,4.8276,0.5854,50.24,1.0000,2 8 11 32
2,1,3,10,10,1.0000,4.8276,0.5128,41.22,1.0000,10 11 32
3,1,4,10,10,1.0000,4.8276,0.5128,41.22,1.0000,0 10 11 32
4,1,4,10,10,1.0000,4.8276,0.5128,41.22,1.0000,2 10 11 32
5,1,3,8,8,1.0000,4.8276,0.4324,32.48,1.0000,22 26 35
6,1,4,8,8,1.0000,4.8276,0.4324,32.48,1.0000,0 22 26 35
7,1,4,8,8,1.0000,4.8276,0.4324,32.48,1.0000,2 22 26 35
8,1,4,8,8,1.0000,4.8276,0.4324,32.48,1.0000,5 22 26 35
9,1,1,7,7,1.0000,4.8276,0.3889,28.20,1.0000,29
10,1,2,7,7,1.0000,4.8276,0.3889,28.20,1.0000,0 29
11,1,2,7,7,1.0000,4.8276,0.3889,28.20,1.0000,2 29
12,1,2,7,7,1.0000,4.8276,0.3889,28.20,1.0000,5 29
13,1,3,7,7,1.0000,4.8276,0.3889,28.20,1.0000,11 22 32
14,1,3,7,7,1.0000,4.8276,0.3889,28.20,1.0000,14 22 24
15,1,4,7,7,1.0000,4.8276,0.3889,28.20,1.0000,0 11 22 32
16,1,4,7,7,1.0000,4.8276,0.3889,28.20,1.0000,0 14 22 24
17,1,4,7,7,1.0000,4.8276,0.3889,28.20,1.0000,2 3 15 18
18,1,4,7,7,1.0000,4.8276,0.3889,28.20,1.0000,2 11 20 32
19,1,4,7,7,1.0000,4.8276,0.3889,28.20,1.0000,2 14 22 24
20,1,4,7,7,1.0000,4.8276,0.3889,28.20,1.0000,5 14 22 24
21,1,2,6,6,1.0000,4.8276,0.3429,23.99,1.0000,26 32
22,1,3,6,6,1.0000,4.8276,0.3429,23.99,1.0000,0 26 32
23,1,3,6,6,1.0000,4.8276,0.3429,23.99,1.0000,2 26 32
24,1,3,6,6,1.0000,4.8276,0.3429,23.99,1.0000,8 19 32
25,1,3,5,5,1.0000,4.8276,0.2941,19.85,1.0000,15 20 26
26,1,4,5,5,1.0000,4.8276,0.2941,19.85,1.0000,0 15 20 26
27,1,4,5,5,1.0000,4.8276,0.2941,19.85,1.0000,2 15 18 20
28,1,4,4,4,1.0000,4.8276,0.2424,15.76,1.0000,3 13 15 35
29,1,4,4,4,1.0000,4.8276,0.2424,15.76,1.0000,10 11 15 20
30,1,4,4,4,1.0000,4.8276,0.2424,15.76,1.0000,15 18 20 23
31,1,3,3,3,1.0000,4.8276,0.1875,11.73,1.0000,11 18 26
32,1,3,3,3,1.0000,4.8276,0.1875,11.73,1.0000,18 26 30
33,1,4,3,3,1.0000,4.8276,0.1875,11.73,1.0000,0 11 18 26
34,1,4,3,3,1.0000,4.8276,0.1875,11.73,1.0000,0 18 26 30
35,1,4,3,3,1.0000,4.8276,0.1875,11.73,1.0000,2 20 26 34
36,1,4,3,3,1.0000,4.8276,0.1875,11.73,1.0000,3 10 13 15
37,1,4,3,3,1.0000,4.8276,0.1875,11.73,1.0000,3 12 15 18
38,1,4,3,3,1.0000,4.8276,0.1875,11.73,1.0000,5 15 20 34
39,1,4,2,2,1.0000,4.8276,0.1290,7.77,1.0000,3 11 26 34
40,1,4,2,2,1.0000,4.8276,0.1290,7.77,1.0000,3 13 15 20
41,1,4,2,2,1.0000,4.8276,0.1290,7.77,1.0000,4 9 15 20
42,1,4,2,2,1.0000,4.8276,0.1290,7.77,1.0000,4 11 15 20
43,1,4,2,2,1.0000,4.8276,0.1290,7.77,1.0000,9 15 20 34
44,1,4,2,2,1.0000,4.8276,0.1290,7.77,1.0000,11 20 26 34
45,1,4,2,2,1.0000,4.8276,0.1290,7.77,1.0000,17 20 26 31
46,0,3,67,67,1.0000,1.2613,0.7528,33.57,1.0000,19 23 31
47,0,4,67,67,1.0000,1.2613,0.7528,33.57,1.0000,0 19 23 31
48,0,4,67,67,1.0000,1.2613,0.7528,33.57,1.0000,19 21 23 31
49,0,4,67,67,1.0000,1.2613,0.7528,33.57,1.0000,19 23 27 31
50,0,3,59,59,1.0000,1.2613,0.6941,26.64,1.0000,19 33 34
51,0,4,59,59,1.0000,1.2613,0.6941,26.64,1.0000,0 19 33 34
52,0,4,59,59,1.0000,1.2613,0.6941,26.64,1.0000,19 23 33 34
53,0,4,59,59,1.0000,1.2613,0.6941,26.64,1.0000,19 27 33 34
54,0,4,57,57,1.0000,1.2613,0.6786,25.12,1.0000,15 17 19 33
55,0,4,57,57,1.0000,1.2613,0.6786,25.12,1.0000,15 19 25 33
56,0,3,56,56,1.0000,1.2613,0.6707,24.38,1.0000,19 25 34
57,0,4,56,56,1.0000,1.2613,0.6707,24.38,1.0000,0 19 25 34
58,0,4,56,56,1.0000,1.2613,0.6707,24.38,1.0000,19 21 25 34
59,0,4,56,56,1.0000,1.2613,0.6707,24.38,1.0000,19 23 25 34
60,0,4,53,53,1.0000,1.2613,0.6463,22.28,1.0000,11 15 19 33
61,0,3,47,47,1.0000,1.2613,0.5949,18.48,1.0000,9 15 19
62,0,3,45,45,1.0000,1.2613,0.5769,17.33,1.0000,4 19 21
63,0,3,45,45,1.0000,1.2613,0.5769,17.33,1.0000,4 19 23
64,0,4,45,45,1.0000,1.2613,0.5769,17.33,1.0000,0 4 19 21
65,0,4,45,45,1.0000,1.2613,0.5769,17.33,1.0000,0 4 19 23
66,0,2,40,40,1.0000,1.2613,0.5298,14.63,1.0000,7 31
67,0,3,40,40,1.0000,1.2613,0.5298,14.63,1.0000,0 7 31
68,0,3,40,40,1.0000,1.2613,0.5298,14.63,1.0000,7 9 31
69,0,3,40,40,1.0000,1.2613,0.5298,14.63,1.0000,7 11 31
70,0,4,35,35,1.0000,1.2613,0.4795,12.19,1.0000,8 19 25 33
71,0,2,31,31,1.0000,1.2613,0.4366,10.40,1.0000,7 34
72,0,3,31,31,1.0000,1.2613,0.4366,10.40,1.0000,0 7 34
73,0,3,31,31,1.0000,1.2613,0.4366,10.40,1.0000,7 9 34
74,0,3,31,31,1.0000,1.2613,0.4366,10.40,1.0000,7 11 34
75,0,4,27,27,1.0000,1.2613,0.3913,8.74,1.0000,3 17 25 34
76,0,4,26,26,1.0000,1.2613,0.3796,8.34,1.0000,3 11 25 34
77,0,3,24,24,1.0000,1.2613,0.3556,7.57,1.0000,16 25 31
78,0,4,24,24,1.0000,1.2613,0.3556,7.57,1.0000,0 16 25 31
79,0,4,24,24,1.0000,1.2613,0.3556,7.57,1.0000,16 25 27 31
80,0,4,24,24,1.0000,1.2613,0.3556,7.57,1.0000,16 25 28 31
81,0,3,21,21,1.0000,1.2613,0.3182,6.45,1.0000,9 31 35
82,0,3,21,21,1.0000,1.2613,0.3182,6.45,1.0000,16 25 34
83,0,4,21,21,1.0000,1.2613,0.3182,6.45,1.0000,0 9 31 35
84,0,4,21,21,1.0000,1.2613,0.3182,6.45,1.0000,0 16 25 34
85,0,4,21,21,1.0000,1.2613,0.3182,6.45,1.0000,8 9 19 21
86,0,4,21,21,1.0000,1.2613,0.3182,6.45,1.0000,8 9 19 23
87,0,4,21,21,1.0000,1.2613,0.3182,6.45,1.0000,8 9 19 33
88,0,4,21,21,1.0000,1.2613,0.3182,6.45,1.0000,9 11 31 35
89,0,4,21,21,1.0000,1.2613,0.3182,6.45,1.0000,9 25 31 35
90,0,4,21,21,1.0000,1.2613,0.3182,6.45,1.0000,16 21 25 34
91,0,4,21,21,1.0000,1.2613,0.3182,6.45,1.0000,16 23 25 34
92,0,2,19,19,1.0000,1.2613,0.2923,5.74,1.0000,6 33
93,0,3,19,19,1.0000,1.2613,0.2923,5.74,1.0000,0 6 33
94,0,3,19,19,1.0000,1.2613,0.2923,5.74,1.0000,6 21 33
95,0,3,19,19,1.0000,1.2613,0.2923,5.74,1.0000,6 23 33
96,0,4,19,19,1.0000,1.2613,0.2923,5.74,1.0000,8 9 17 19
97,0,4,19,19,1.0000,1.2613,0.2923,5.74,1.0000,14 31 33 35
98,0,3,18,18,1.0000,1.2613,0.2791,5.40,1.0000,4 21 35
99,0,4,18,18,1.0000,1.2613,0.2791,5.40,1.0000,0 4 21 35
100,0,4,18,18,1.0000,1.2613,0.2791,5.40,1.0000,4 21 27 35
101,0,4,18,18,1.0000,1.2613,0.2791,5.40,1.0000,4 21 28 35
102,0,4,18,18,1.0000,1.2613,0.2791,5.40,1.0000,4 25 33 35
103,0,3,16,16,1.0000,1.2613,0.2520,4.72,1.0000,4 31 35
104,0,4,16,16,1.0000,1.2613,0.2520,4.72,1.0000,0 4 31 35
105,0,4,16,16,1.0000,1.2613,0.2520,4.72,1.0000,4 25 31 35
106,0,1,15,15,1.0000,1.2613,0.2381,4.39,1.0000,1
107,0,2,15,15,1.0000,1.2613,0.2381,4.39,1.0000,0 1
108,0,2,15,15,1.0000,1.2613,0.2381,4.39,1.0000,1 21
109,0,2,15,15,1.0000,1.2613,0.2381,4.39,1.0000,1 27
110,0,4,15,15,1.0000,1.2613,0.2381,4.39,1.0000,4 16 23 25
111,0,4,15,15,1.0000,1.2613,0.2381,4.39,1.0000,4 16 25 33
112,0,4,15,15,1.0000,1.2613,0.2381,4.39,1.0000,10 12 23 25
113,0,3,14,14,1.0000,1.2613,0.2240,4.06,1.0000,14 16 31
114,0,4,14,14,1.0000,1.2613,0.2240,4.06,1.0000,0 14 16 31
115,0,4,14,14,1.0000,1.2613,0.2240,4.06,1.0000,4 14 16 23
116,0,4,14,14,1.0000,1.2613,0.2240,4.06,1.0000,10 14 31 33
117,0,4,75,79,0.9494,1.1974,0.7895,27.04,0.5709,11 17 23 33
118,0,4,74,78,0.9487,1.1966,0.7831,26.05,0.5662,11 17 21 33
119,0,4,53,56,0.9464,1.1937,0.6347,13.40,0.5496,14 15 17 25
120,0,3,88,93,0.9462,1.1935,0.8627,39.68,0.5483,17 21 33
121,0,4,88,93,0.9462,1.1935,0.8627,39.68,0.5483,0 17 21 33
122,0,4,88,93,0.9462,1.1935,0.8627,39.68,0.5483,17 21 27 33
123,0,4,88,93,0.9462,1.1935,0.8627,39.68,0.5483,17 21 28 33
124,0,4,68,72,0.9444,1.1912,0.7432,20.74,0.5355,14 17 23 25
125,0,3,84,89,0.9438,1.1904,0.8400,33.90,0.5311,17 23 25
