rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,0,3,32,32,1.0000,2.6992,0.4129,60.17,1.0000,0 29 62
2,0,4,32,32,1.0000,2.6992,0.4129,60.17,1.0000,0 2 29 62
3,0,4,32,32,1.0000,2.6992,0.4129,60.17,1.0000,0 4 29 62
4,0,4,32,32,1.0000,2.6992,0.4129,60.17,1.0000,0 7 29 62
5,0,3,27,27,1.0000,2.6992,0.3600,49.94,1.0000,0 32 62
6,0,4,27,27,1.0000,2.6992,0.3600,49.94,1.0000,0 4 32 62
7,0,4,27,27,1.0000,2.6992,0.3600,49.94,1.0000,0 7 32 62
8,0,4,27,27,1.0000,2.6992,0.3600,49.94,1.0000,0 32 44 62
9,0,4,25,25,1.0000,2.6992,0.3378,45.94,1.0000,0 23 47 62
10,0,4,21,21,1.0000,2.6992,0.2917,38.09,1.0000,0 19 42 62
11,0,3,20,20,1.0000,2.6992,0.2797,36.16,1.0000,0 11 62
12,0,4,20,20,1.0000,2.6992,0.2797,36.16,1.0000,0 4 11 62
13,0,4,20,20,1.0000,2.6992,0.2797,36.16,1.0000,0 7 11 62
14,0,4,20,20,1.0000,2.6992,0.2797,36.16,1.0000,0 11 44 62
15,0,4,20,20,1.0000,2.6992,0.2797,36.16,1.0000,0 13 47 62
16,0,3,19,19,1.0000,2.6992,0.2676,34.24,1.0000,0 5 35
17,0,3,19,19,1.0000,2.6992,0.2676,34.24,1.0000,0 32 38
18,0,4,19,19,1.0000,2.6992,0.2676,34.24,1.0000,0 2 5 35
19,0,4,19,19,1.0000,2.6992,0.2676,34.24,1.0000,0 4 5 35
20,0,4,19,19,1.0000,2.6992,0.2676,34.24,1.0000,0 4 32 38
21,0,4,19,19,1.0000,2.6992,0.2676,34.24,1.0000,0 5 7 35
22,0,4,19,19,1.0000,2.6992,0.2676,34.24,1.0000,0 7 32 38
23,0,4,19,19,1.0000,2.6992,0.2676,34.24,1.0000,0 32 38 44
24,0,3,18,18,1.0000,2.6992,0.2553,32.34,1.0000,0 50 62
25,0,4,18,18,1.0000,2.6992,0.2553,32.34,1.0000,0 2 50 62
26,0,4,18,18,1.0000,2.6992,0.2553,32.34,1.0000,0 4 50 62
27,0,4,18,18,1.0000,2.6992,0.2553,32.34,1.0000,0 7 50 62
28,0,4,18,18,1.0000,2.6992,0.2553,32.34,1.0000,0 35 56 62
29,0,3,17,17,1.0000,2.6992,0.2429,30.45,1.0000,0 29 31
30,0,4,17,17,1.0000,2.6992,0.2429,30.45,1.0000,0 4 29 31
31,0,4,17,17,1.0000,2.6992,0.2429,30.45,1.0000,0 7 29 31
32,0,4,17,17,1.0000,2.6992,0.2429,30.45,1.0000,0 29 31 44
33,0,4,16,16,1.0000,2.6992,0.2302,28.56,1.0000,0 31 35 62
34,0,4,16,16,1.0000,2.6992,0.2302,28.56,1.0000,0 36 47 62
35,0,3,14,14,1.0000,2.6992,0.2044,24.84,1.0000,0 5 58
36,0,4,14,14,1.0000,2.6992,0.2044,24.84,1.0000,0 2 5 58
37,0,4,14,14,1.0000,2.6992,0.2044,24.84,1.0000,0 4 5 58
38,0,4,14,14,1.0000,2.6992,0.2044,24.84,1.0000,0 5 7 58
39,0,4,14,14,1.0000,2.6992,0.2044,24.84,1.0000,0 23 51 62
40,0,4,13,13,1.0000,2.6992,0.1912,22.99,1.0000,0 5 9 42
41,0,4,13,13,1.0000,2.6992,0.1912,22.99,1.0000,0 8 13 62
42,0,4,13,13,1.0000,2.6992,0.1912,22.99,1.0000,0 19 35 62
43,0,4,13,13,1.0000,2.6992,0.1912,22.99,1.0000,0 19 42 45
44,0,4,13,13,1.0000,2.6992,0.1912,22.99,1.0000,0 23 31 58
45,0,4,13,13,1.0000,2.6992,0.1912,22.99,1.0000,0 41 47 62
46,0,4,12,12,1.0000,2.6992,0.1778,21.15,1.0000,0 8 35 62
47,0,4,12,12,1.0000,2.6992,0.1778,21.15,1.0000,0 36 51 62
48,0,3,11,11,1.0000,2.6992,0.1642,19.33,1.0000,23 38 50
49,0,4,11,11,1.0000,2.6992,0.1642,19.33,1.0000,0 9 19 42
50,0,4,11,11,1.0000,2.6992,0.1642,19.33,1.0000,0 9 42 56
51,0,4,11,11,1.0000,2.6992,0.1642,19.33,1.0000,0 17 36 38
52,0,4,11,11,1.0000,2.6992,0.1642,19.33,1.0000,0 31 35 42
53,0,4,11,11,1.0000,2.6992,0.1642,19.33,1.0000,0 31 42 58
54,0,4,11,11,1.0000,2.6992,0.1642,19.33,1.0000,0 35 39 62
55,0,4,11,11,1.0000,2.6992,0.1642,19.33,1.0000,0 36 41 49
56,0,4,11,11,1.0000,2.6992,0.1642,19.33,1.0000,2 23 38 50
57,0,4,11,11,1.0000,2.6992,0.1642,19.33,1.0000,4 23 38 50
58,0,4,11,11,1.0000,2.6992,0.1642,19.33,1.0000,7 23 38 50
59,0,3,10,10,1.0000,2.6992,0.1504,17.52,1.0000,0 13 21
60,0,3,10,10,1.0000,2.6992,0.1504,17.52,1.0000,35 47 62
61,0,4,10,10,1.0000,2.6992,0.1504,17.52,1.0000,0 4 13 21
62,0,4,10,10,1.0000,2.6992,0.1504,17.52,1.0000,0 9 31 42
