rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,0,4,29,29,1.0000,20.9338,0.3515,584.03,1.0000,4 8 29 48
2,0,4,29,29,1.0000,20.9338,0.3515,584.03,1.0000,8 30 38 48
3,0,3,51,52,0.9808,20.5313,0.5426,1013.63,0.9600,12 30 47
4,0,4,51,52,0.9808,20.5313,0.5426,1013.63,0.9600,0 12 30 47
5,0,4,51,52,0.9808,20.5313,0.5426,1013.63,0.9600,6 12 30 47
6,0,4,51,52,0.9808,20.5313,0.5426,1013.63,0.9600,8 12 30 47
7,0,3,50,51,0.9804,20.5234,0.5348,992.98,0.9592,12 30 37
8,0,4,50,51,0.9804,20.5234,0.5348,992.98,0.9592,0 12 30 37
9,0,4,50,51,0.9804,20.5234,0.5348,992.98,0.9592,6 12 30 37
10,0,4,50,51,0.9804,20.5234,0.5348,992.98,0.9592,8 12 30 37
11,0,3,46,47,0.9787,20.4884,0.5027,910.52,0.9558,12 33 37
12,0,4,46,47,0.9787,20.4884,0.5027,910.52,0.9558,0 12 33 37
13,0,4,46,47,0.9787,20.4884,0.5027,910.52,0.9558,4 12 33 37
14,0,4,46,47,0.9787,20.4884,0.5027,910.52,0.9558,6 12 33 37
15,0,3,33,34,0.9706,20.3181,0.3882,644.22,0.9392,8 30 48
16,0,4,33,34,0.9706,20.3181,0.3882,644.22,0.9392,0 8 30 48
17,0,4,33,34,0.9706,20.3181,0.3882,644.22,0.9392,6 8 30 48
18,0,3,45,47,0.9574,20.0430,0.4918,869.38,0.9126,30 44 47
19,0,4,45,47,0.9574,20.0430,0.4918,869.38,0.9126,0 30 44 47
20,0,4,45,47,0.9574,20.0430,0.4918,869.38,0.9126,6 30 44 47
21,0,4,45,47,0.9574,20.0430,0.4918,869.38,0.9126,8 30 44 47
22,0,3,30,32,0.9375,19.6255,0.3571,563.23,0.8730,4 29 48
23,0,3,30,32,0.9375,19.6255,0.3571,563.23,0.8730,8 29 48
24,0,4,30,32,0.9375,19.6255,0.3571,563.23,0.8730,0 4 29 48
25,0,4,38,43,0.8837,18.4997,0.4246,670.73,0.7707,12 18 33 44
26,0,3,38,44,0.8636,18.0792,0.4222,653.98,0.7341,12 33 44
27,0,4,38,44,0.8636,18.0792,0.4222,653.98,0.7341,0 12 33 44
28,0,4,38,44,0.8636,18.0792,0.4222,653.98,0.7341,4 12 33 44
29,1,2,2037,2037,1.0000,1.0502,0.8580,359.17,1.0000,4 50
30,1,3,2037,2037,1.0000,1.0502,0.8580,359.17,1.0000,0 4 50
31,1,3,2037,2037,1.0000,1.0502,0.8580,359.17,1.0000,4 50 53
32,1,4,2037,2037,1.0000,1.0502,0.8580,359.17,1.0000,0 4 50 53
33,1,3,1788,1788,1.0000,1.0502,0.7948,241.14,1.0000,4 18 40
34,1,4,1788,1788,1.0000,1.0502,0.7948,241.14,1.0000,0 4 18 40
35,1,4,1788,1788,1.0000,1.0502,0.7948,241.14,1.0000,4 18 40 53
36,1,4,1787,1787,1.0000,1.0502,0.7946,240.78,1.0000,4 18 22 40
37,1,4,1704,1704,1.0000,1.0502,0.7719,212.92,1.0000,4 26 28 34
38,1,4,1640,1640,1.0000,1.0502,0.7538,194.06,1.0000,4 28 31 34
39,1,2,1414,1414,1.0000,1.0502,0.6856,140.93,1.0000,43 50
40,1,3,1414,1414,1.0000,1.0502,0.6856,140.93,1.0000,0 43 50
41,1,3,1414,1414,1.0000,1.0502,0.6856,140.93,1.0000,22 43 50
42,1,3,1414,1414,1.0000,1.0502,0.6856,140.93,1.0000,43 50 53
43,1,2,1161,1161,1.0000,1.0502,0.5997,98.35,1.0000,40 43
44,1,3,1161,1161,1.0000,1.0502,0.5997,98.35,1.0000,0 40 43
45,1,3,1161,1161,1.0000,1.0502,0.5997,98.35,1.0000,22 40 43
46,1,3,1161,1161,1.0000,1.0502,0.5997,98.35,1.0000,40 43 53
47,1,3,1137,1137,1.0000,1.0502,0.5910,94.96,1.0000,26 28 43
48,1,4,1137,1137,1.0000,1.0502,0.5910,94.96,1.0000,0 26 28 43
49,1,4,1137,1137,1.0000,1.0502,0.5910,94.96,1.0000,2 4 26 28
50,1,4,1137,1137,1.0000,1.0502,0.5910,94.96,1.0000,16 26 28 43
51,1,4,1137,1137,1.0000,1.0502,0.5910,94.96,1.0000,26 28 43 53
52,1,4,1085,1085,1.0000,1.0502,0.5717,87.95,1.0000,2 4 28 31
