rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,1,1,60,60,1.0000,2.7807,0.6897,131.79,1.0000,12
2,1,2,60,60,1.0000,2.7807,0.6897,131.79,1.0000,2 12
3,1,2,60,60,1.0000,2.7807,0.6897,131.79,1.0000,12 76
4,1,3,60,60,1.0000,2.7807,0.6897,131.79,1.0000,2 12 76
5,1,1,57,57,1.0000,2.7807,0.6667,123.75,1.0000,3
6,1,2,57,57,1.0000,2.7807,0.6667,123.75,1.0000,2 3
7,1,2,57,57,1.0000,2.7807,0.6667,123.75,1.0000,3 76
8,1,3,57,57,1.0000,2.7807,0.6667,123.75,1.0000,2 3 76
9,1,2,45,45,1.0000,2.7807,0.5660,93.39,1.0000,133 139
10,1,3,45,45,1.0000,2.7807,0.5660,93.39,1.0000,2 133 139
11,1,3,45,45,1.0000,2.7807,0.5660,93.39,1.0000,76 133 139
12,1,4,45,45,1.0000,2.7807,0.5660,93.39,1.0000,2 76 133 139
13,1,2,38,38,1.0000,2.7807,0.5000,76.88,1.0000,21 111
14,1,3,38,38,1.0000,2.7807,0.5000,76.88,1.0000,2 21 111
15,1,3,38,38,1.0000,2.7807,0.5000,76.88,1.0000,21 76 111
16,1,4,38,38,1.0000,2.7807,0.5000,76.88,1.0000,2 21 76 111
17,1,1,34,34,1.0000,2.7807,0.4595,67.82,1.0000,1
18,1,2,34,34,1.0000,2.7807,0.4595,67.82,1.0000,1 2
19,1,2,34,34,1.0000,2.7807,0.4595,67.82,1.0000,1 76
20,1,2,34,34,1.0000,2.7807,0.4595,67.82,1.0000,59 64
21,1,3,34,34,1.0000,2.7807,0.4595,67.82,1.0000,1 2 76
22,1,1,29,29,1.0000,2.7807,0.4056,56.84,1.0000,69
23,1,2,29,29,1.0000,2.7807,0.4056,56.84,1.0000,2 69
24,1,2,29,29,1.0000,2.7807,0.4056,56.84,1.0000,40 45
25,1,2,29,29,1.0000,2.7807,0.4056,56.84,1.0000,50 82
26,1,2,29,29,1.0000,2.7807,0.4056,56.84,1.0000,69 74
27,1,2,29,29,1.0000,2.7807,0.4056,56.84,1.0000,69 76
28,1,3,29,29,1.0000,2.7807,0.4056,56.84,1.0000,2 40 45
29,1,3,29,29,1.0000,2.7807,0.4056,56.84,1.0000,2 50 82
30,1,3,29,29,1.0000,2.7807,0.4056,56.84,1.0000,40 45 76
31,1,3,29,29,1.0000,2.7807,0.4056,56.84,1.0000,50 54 82
32,1,3,29,29,1.0000,2.7807,0.4056,56.84,1.0000,50 76 82
33,1,4,29,29,1.0000,2.7807,0.4056,56.84,1.0000,2 40 45 76
34,1,1,26,26,1.0000,2.7807,0.3714,50.43,1.0000,73
35,1,2,26,26,1.0000,2.7807,0.3714,50.43,1.0000,2 73
36,1,2,26,26,1.0000,2.7807,0.3714,50.43,1.0000,31 133
37,1,2,26,26,1.0000,2.7807,0.3714,50.43,1.0000,59 111
38,1,2,26,26,1.0000,2.7807,0.3714,50.43,1.0000,73 76
39,1,2,26,26,1.0000,2.7807,0.3714,50.43,1.0000,101 106
40,1,3,26,26,1.0000,2.7807,0.3714,50.43,1.0000,2 31 133
41,1,3,26,26,1.0000,2.7807,0.3714,50.43,1.0000,2 73 76
42,1,3,26,26,1.0000,2.7807,0.3714,50.43,1.0000,2 101 106
43,1,3,26,26,1.0000,2.7807,0.3714,50.43,1.0000,31 35 133
44,1,3,26,26,1.0000,2.7807,0.3714,50.43,1.0000,31 76 133
45,1,3,26,26,1.0000,2.7807,0.3714,50.43,1.0000,76 101 106
46,1,4,26,26,1.0000,2.7807,0.3714,50.43,1.0000,2 76 101 106
47,1,2,22,22,1.0000,2.7807,0.3235,42.10,1.0000,89 111
48,1,2,22,22,1.0000,2.7807,0.3235,42.10,1.0000,111 117
49,1,3,22,22,1.0000,2.7807,0.3235,42.10,1.0000,2 89 111
50,1,3,22,22,1.0000,2.7807,0.3235,42.10,1.0000,2 111 117
51,1,3,22,22,1.0000,2.7807,0.3235,42.10,1.0000,76 89 111
52,1,4,22,22,1.0000,2.7807,0.3235,42.10,1.0000,2 76 89 111
53,1,1,21,21,1.0000,2.7807,0.3111,40.05,1.0000,24
54,1,1,21,21,1.0000,2.7807,0.3111,40.05,1.0000,62
55,1,2,21,21,1.0000,2.7807,0.3111,40.05,1.0000,2 24
56,1,2,21,21,1.0000,2.7807,0.3111,40.05,1.0000,2 62
57,1,2,21,21,1.0000,2.7807,0.3111,40.05,1.0000,7 111
58,1,2,21,21,1.0000,2.7807,0.3111,40.05,1.0000,24 76
59,1,2,21,21,1.0000,2.7807,0.3111,40.05,1.0000,62 76
60,1,3,21,21,1.0000,2.7807,0.3111,40.05,1.0000,2 7 111
61,1,3,21,21,1.0000,2.7807,0.3111,40.05,1.0000,2 24 76
62,1,3,21,21,1.0000,2.7807,0.3111,40.05,1.0000,2 62 76
63,1,3,21,21,1.0000,2.7807,0.3111,40.05,1.0000,7 76 111
64,1,4,21,21,1.0000,2.7807,0.3111,40.05,1.0000,2 7 76 111
65,1,1,17,17,1.0000,2.7807,0.2595,31.99,1.0000,34
66,1,2,17,17,1.0000,2.7807,0.2595,31.99,1.0000,2 34
67,1,2,17,17,1.0000,2.7807,0.2595,31.99,1.0000,34 76
68,1,3,17,17,1.0000,2.7807,0.2595,31.99,1.0000,2 34 76
69,1,2,13,13,1.0000,2.7807,0.2047,24.14,1.0000,53 121
70,1,3,13,13,1.0000,2.7807,0.2047,24.14,1.0000,2 53 121
71,1,3,13,13,1.0000,2.7807,0.2047,24.14,1.0000,53 76 121
72,1,4,13,13,1.0000,2.7807,0.2047,24.14,1.0000,2 53 76 121
73,1,2,12,12,1.0000,2.7807,0.1905,22.21,1.0000,66 111
74,1,2,12,12,1.0000,2.7807,0.1905,22.21,1.0000,96 121
75,1,3,12,12,1.0000,2.7807,0.1905,22.21,1.0000,2 66 111
76,1,3,12,12,1.0000,2.7807,0.1905,22.21,1.0000,2 96 121
77,1,3,12,12,1.0000,2.7807,0.1905,22.21,1.0000,76 96 121
78,1,4,12,12,1.0000,2.7807,0.1905,22.21,1.0000,2 76 96 121
79,1,3,11,11,1.0000,2.7807,0.1760,20.29,1.0000,35 88 125
80,1,4,11,11,1.0000,2.7807,0.1760,20.29,1.0000,0 35 88 125
81,1,4,11,11,1.0000,2.7807,0.1760,20.29,1.0000,2 35 88 125
82,1,4,11,11,1.0000,2.7807,0.1760,20.29,1.0000,35 54 88 125
83,1,1,38,42,0.9048,2.5159,0.4872,62.48,0.7247,18
84,1,2,38,42,0.9048,2.5159,0.4872,62.48,0.7247,2 18
85,1,2,38,42,0.9048,2.5159,0.4872,62.48,0.7247,18 76
86,1,3,38,42,0.9048,2.5159,0.4872,62.48,0.7247,2 18 76
87,1,4,10,13,0.7692,2.1390,0.1575,9.88,0.4091,35 44 88 109
88,1,4,10,13,0.7692,2.1390,0.1575,9.88,0.4091,44 78 88 109
89,1,2,12,16,0.7500,2.0855,0.1846,11.15,0.3716,54 70
90,1,3,12,16,0.7500,2.0855,0.1846,11.15,0.3716,0 54 70
91,0,2,98,98,1.0000,1.5616,0.6512,79.66,1.0000,110 135
92,0,3,98,98,1.0000,1.5616,0.6512,79.66,1.0000,0 110 135
93,0,3,98,98,1.0000,1.5616,0.6512,79.66,1.0000,2 110 135
94,0,3,98,98,1.0000,1.5616,0.6512,79.66,1.0000,74 110 135
95,0,2,94,94,1.0000,1.5616,0.6330,75.04,1.0000,5 22
96,0,3,94,94,1.0000,1.5616,0.6330,75.04,1.0000,0 5 22
97,0,3,94,94,1.0000,1.5616,0.6330,75.04,1.0000,2 5 22
98,0,3,94,94,1.0000,1.5616,0.6330,75.04,1.0000,5 22 74
99,0,2,92,92,1.0000,1.5616,0.6237,72.79,1.0000,83 110
100,0,3,92,92,1.0000,1.5616,0.6237,72.79,1.0000,0 83 110
101,0,3,92,92,1.0000,1.5616,0.6237,72.79,1.0000,2 83 110
102,0,3,92,92,1.0000,1.5616,0.6237,72.79,1.0000,74 83 110
103,0,3,90,90,1.0000,1.5616,0.6143,70.58,1.0000,14 22 46
104,0,4,90,90,1.0000,1.5616,0.6143,70.58,1.0000,0 14 22 46
105,0,4,90,90,1.0000,1.5616,0.6143,70.58,1.0000,2 14 22 46
106,0,4,90,90,1.0000,1.5616,0.6143,70.58,1.0000,14 22 46 74
107,0,2,88,88,1.0000,1.5616,0.6048,68.41,1.0000,5 14
108,0,2,88,88,1.0000,1.5616,0.6048,68.41,1.0000,10 14
109,0,3,88,88,1.0000,1.5616,0.6048,68.41,1.0000,0 5 14
110,0,3,88,88,1.0000,1.5616,0.6048,68.41,1.0000,0 10 14
111,0,3,88,88,1.0000,1.5616,0.6048,68.41,1.0000,2 10 14
112,0,3,88,88,1.0000,1.5616,0.6048,68.41,1.0000,10 14 74
113,0,3,81,81,1.0000,1.5616,0.5704,61.10,1.0000,27 118 135
114,0,4,81,81,1.0000,1.5616,0.5704,61.10,1.0000,0 27 118 135
115,0,4,81,81,1.0000,1.5616,0.5704,61.10,1.0000,2 27 118 135
116,0,4,81,81,1.0000,1.5616,0.5704,61.10,1.0000,27 74 118 135
