rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,0,1,45,45,1.0000,3.0000,1.0000,135.00,1.0000,6
2,0,1,45,45,1.0000,3.0000,1.0000,135.00,1.0000,9
3,0,2,45,45,1.0000,3.0000,1.0000,135.00,1.0000,6 9
4,0,2,42,42,1.0000,3.0000,0.9655,121.94,1.0000,0 6
5,2,2,39,39,1.0000,3.0000,0.9286,109.69,1.0000,8 11
6,2,2,33,33,1.0000,3.0000,0.8462,87.35,1.0000,2 11
7,2,3,33,33,1.0000,3.0000,0.8462,87.35,1.0000,2 8 11
8,0,2,26,26,1.0000,3.0000,0.7324,64.40,1.0000,5 6
9,1,3,23,23,1.0000,3.0000,0.6765,55.45,1.0000,1 7 10
10,2,3,20,20,1.0000,3.0000,0.6154,46.96,1.0000,4 8 11
11,1,3,17,17,1.0000,3.0000,0.5484,38.90,1.0000,1 3 7
12,1,4,17,17,1.0000,3.0000,0.5484,38.90,1.0000,1 3 7 10
13,2,2,14,14,1.0000,3.0000,0.4746,31.24,1.0000,3 11
14,2,3,14,14,1.0000,3.0000,0.4746,31.24,1.0000,3 8 11
15,1,2,10,10,1.0000,3.0000,0.3636,21.60,1.0000,2 7
16,1,3,10,10,1.0000,3.0000,0.3636,21.60,1.0000,2 7 10
17,1,3,10,10,1.0000,3.0000,0.3636,21.60,1.0000,4 7 10
18,2,3,6,6,1.0000,3.0000,0.2353,12.56,1.0000,1 8 11
19,2,2,5,5,1.0000,3.0000,0.2000,10.38,1.0000,5 8
20,2,2,5,5,1.0000,3.0000,0.2000,10.38,1.0000,5 11
21,1,3,5,5,1.0000,3.0000,0.2000,10.38,1.0000,1 4 10
22,1,3,5,5,1.0000,3.0000,0.2000,10.38,1.0000,2 3 7
23,1,3,5,5,1.0000,3.0000,0.2000,10.38,1.0000,2 4 7
24,1,4,5,5,1.0000,3.0000,0.2000,10.38,1.0000,1 4 7 10
25,1,4,5,5,1.0000,3.0000,0.2000,10.38,1.0000,2 3 7 10
26,2,1,40,41,0.9756,2.9268,0.9302,109.31,0.9282,11
27,1,2,40,41,0.9756,2.9268,0.9302,109.31,0.9282,7 10
28,1,2,29,30,0.9667,2.9000,0.7733,69.62,0.9025,3 7
29,1,2,24,25,0.9600,2.8800,0.6857,54.22,0.8836,1 7
30,1,1,41,43,0.9535,2.8605,0.9318,109.20,0.8653,7
31,1,2,24,26,0.9231,2.7692,0.6761,50.40,0.7825,1 10
32,1,2,12,13,0.9231,2.7692,0.4138,22.51,0.7825,4 10
33,2,2,35,38,0.9211,2.7632,0.8434,82.20,0.7772,2 8
34,2,1,43,47,0.9149,2.7447,0.9348,109.74,0.8683,8
35,1,1,44,49,0.8980,2.6939,0.9362,110.35,0.9314,10
36,1,2,18,24,0.7500,2.2500,0.5217,22.80,0.3906,1 3
37,1,2,6,8,0.7500,2.2500,0.2264,6.64,0.3906,1 4
38,2,1,35,48,0.7292,2.1875,0.7527,52.52,0.4293,2
