rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,1,1,11,11,1.0000,2.8889,0.7586,26.35,1.0000,31
2,1,2,10,10,1.0000,2.8889,0.7143,23.39,1.0000,31 32
3,1,2,9,9,1.0000,2.8889,0.6667,20.56,1.0000,20 31
4,1,1,8,8,1.0000,2.8889,0.6154,17.86,1.0000,64
5,1,2,8,8,1.0000,2.8889,0.6154,17.86,1.0000,7 31
6,1,3,8,8,1.0000,2.8889,0.6154,17.86,1.0000,7 31 32
7,1,3,8,8,1.0000,2.8889,0.6154,17.86,1.0000,20 31 32
8,1,2,7,7,1.0000,2.8889,0.5600,15.28,1.0000,3 31
9,1,2,7,7,1.0000,2.8889,0.5600,15.28,1.0000,6 64
10,1,2,7,7,1.0000,2.8889,0.5600,15.28,1.0000,7 64
11,1,2,7,7,1.0000,2.8889,0.5600,15.28,1.0000,20 64
12,1,1,6,6,1.0000,2.8889,0.5000,12.81,1.0000,75
13,1,2,6,6,1.0000,2.8889,0.5000,12.81,1.0000,3 49
14,1,2,6,6,1.0000,2.8889,0.5000,12.81,1.0000,5 49
15,1,2,6,6,1.0000,2.8889,0.5000,12.81,1.0000,6 75
16,1,2,6,6,1.0000,2.8889,0.5000,12.81,1.0000,7 75
17,1,2,6,6,1.0000,2.8889,0.5000,12.81,1.0000,18 68
18,1,2,6,6,1.0000,2.8889,0.5000,12.81,1.0000,59 67
19,1,3,6,6,1.0000,2.8889,0.5000,12.81,1.0000,1 3 39
20,1,3,6,6,1.0000,2.8889,0.5000,12.81,1.0000,3 5 49
21,1,3,6,6,1.0000,2.8889,0.5000,12.81,1.0000,7 18 68
22,1,3,6,6,1.0000,2.8889,0.5000,12.81,1.0000,18 32 68
23,0,2,20,20,1.0000,1.5294,0.7407,17.21,1.0000,4 62
24,0,2,19,19,1.0000,1.5294,0.7170,15.85,1.0000,6 62
25,0,2,19,19,1.0000,1.5294,0.7170,15.85,1.0000,28 49
26,0,2,19,19,1.0000,1.5294,0.7170,15.85,1.0000,28 62
27,0,3,19,19,1.0000,1.5294,0.7170,15.85,1.0000,4 6 62
28,0,3,19,19,1.0000,1.5294,0.7170,15.85,1.0000,4 28 49
29,0,3,19,19,1.0000,1.5294,0.7170,15.85,1.0000,6 28 49
30,0,4,19,19,1.0000,1.5294,0.7170,15.85,1.0000,4 6 28 49
31,0,3,18,18,1.0000,1.5294,0.6923,14.57,1.0000,4 28 62
32,0,3,18,18,1.0000,1.5294,0.6923,14.57,1.0000,4 32 62
33,0,3,17,17,1.0000,1.5294,0.6667,13.37,1.0000,28 32 62
34,0,3,15,15,1.0000,1.5294,0.6122,11.16,1.0000,7 28 62
35,0,2,13,13,1.0000,1.5294,0.5532,9.18,1.0000,4 60
36,0,2,13,13,1.0000,1.5294,0.5532,9.18,1.0000,4 72
37,0,2,13,13,1.0000,1.5294,0.5532,9.18,1.0000,6 69
38,0,2,13,13,1.0000,1.5294,0.5532,9.18,1.0000,6 72
39,0,3,13,13,1.0000,1.5294,0.5532,9.18,1.0000,4 6 69
40,0,3,13,13,1.0000,1.5294,0.5532,9.18,1.0000,4 6 72
41,0,3,13,13,1.0000,1.5294,0.5532,9.18,1.0000,6 32 69
42,0,4,13,13,1.0000,1.5294,0.5532,9.18,1.0000,4 6 32 69
43,0,4,13,13,1.0000,1.5294,0.5532,9.18,1.0000,7 28 32 62
44,0,1,12,12,1.0000,1.5294,0.5217,8.26,1.0000,66
45,0,2,12,12,1.0000,1.5294,0.5217,8.26,1.0000,2 6
46,0,2,12,12,1.0000,1.5294,0.5217,8.26,1.0000,4 65
47,0,2,12,12,1.0000,1.5294,0.5217,8.26,1.0000,4 66
48,0,2,12,12,1.0000,1.5294,0.5217,8.26,1.0000,6 66
49,0,3,12,12,1.0000,1.5294,0.5217,8.26,1.0000,2 4 6
50,0,3,12,12,1.0000,1.5294,0.5217,8.26,1.0000,4 6 63
51,0,3,11,11,1.0000,1.5294,0.4889,7.39,1.0000,4 7 63
52,0,4,11,11,1.0000,1.5294,0.4889,7.39,1.0000,4 6 7 63
53,0,3,10,10,1.0000,1.5294,0.4545,6.55,1.0000,6 32 63
54,0,3,7,7,1.0000,1.5294,0.3415,4.28,1.0000,2 7 20
55,0,4,7,7,1.0000,1.5294,0.3415,4.28,1.0000,2 7 20 32
