rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,2,4,190,201,0.9453,9.4038,0.7739,1705.20,0.8820,2 5 9 10
2,2,4,191,204,0.9363,9.3143,0.7733,1695.87,0.8633,5 9 10 12
3,2,4,185,198,0.9343,9.2951,0.7582,1634.74,0.8593,5 7 9 10
4,7,4,207,221,0.9367,9.2227,0.8054,1829.20,0.8640,1 6 11 12
5,2,4,188,203,0.9261,9.2132,0.7627,1646.14,0.8424,0 5 9 10
6,2,3,209,226,0.9248,9.2000,0.8101,1842.55,0.8397,5 9 10
7,6,4,183,205,0.8927,8.8198,0.7364,1519.64,0.7755,0 6 10 13
8,0,4,203,229,0.8865,8.6988,0.7763,1672.93,0.7631,1 6 10 13
9,6,4,182,207,0.8792,8.6869,0.7295,1483.84,0.7493,0 6 8 13
10,0,4,198,225,0.8800,8.6354,0.7630,1614.31,0.7506,1 8 10 13
11,7,4,207,237,0.8734,8.6000,0.7811,1685.93,0.7381,1 2 6 11
12,0,4,204,233,0.8755,8.5916,0.7742,1657.57,0.7420,1 4 10 13
13,7,4,206,240,0.8583,8.4515,0.7730,1643.06,0.7095,1 6 8 11
14,0,4,206,240,0.8583,8.4228,0.7715,1636.60,0.7094,1 2 10 13
15,7,4,207,242,0.8554,8.4223,0.7738,1645.05,0.7040,1 2 6 12
16,7,4,204,239,0.8536,8.4045,0.7669,1615.01,0.7006,1 4 6 11
17,0,3,225,263,0.8555,8.3951,0.8079,1795.71,0.7041,1 10 13
18,7,3,224,263,0.8517,8.3863,0.8058,1784.66,0.6971,1 6 11
19,2,4,197,234,0.8419,8.3753,0.7519,1547.99,0.6793,2 5 9 12
20,7,4,203,240,0.8458,8.3284,0.7617,1589.23,0.6863,1 6 8 12
21,2,4,190,227,0.8370,8.3268,0.7350,1478.09,0.6704,2 5 7 10
22,3,4,178,213,0.8357,8.2285,0.7036,1358.35,0.6677,2 9 11 13
23,7,4,202,243,0.8313,8.1851,0.7537,1548.52,0.6597,1 4 6 12
24,0,4,201,241,0.8340,8.1842,0.7514,1540.07,0.6645,1 6 8 10
25,0,4,206,247,0.8340,8.1841,0.7616,1581.93,0.6645,1 4 6 10
26,2,4,187,228,0.8202,8.1593,0.7220,1418.06,0.6401,5 7 10 12
27,0,3,230,277,0.8303,8.1479,0.8056,1776.47,0.6578,1 6 10
28,2,4,197,241,0.8174,8.1320,0.7420,1494.80,0.6352,2 5 10 12
29,4,4,194,235,0.8255,8.1009,0.7335,1463.77,0.6492,0 3 8 11
30,2,3,207,255,0.8118,8.0757,0.7596,1565.04,0.6253,5 7 10
31,1,4,190,238,0.7983,8.0530,0.7252,1419.95,0.6024,3 9 11 12
32,2,4,194,240,0.8083,8.0415,0.7321,1450.53,0.6192,0 5 10 12
33,6,4,190,234,0.8120,8.0223,0.7224,1414.15,0.6254,0 6 8 10
34,4,4,200,245,0.8163,8.0106,0.7421,1493.11,0.6328,3 7 8 11
35,0,4,198,243,0.8148,7.9957,0.7374,1473.55,0.6301,1 4 6 13
36,6,4,190,235,0.8085,7.9882,0.7211,1406.95,0.6193,0 4 6 10
37,0,4,196,241,0.8133,7.9806,0.7327,1454.02,0.6274,1 6 8 13
38,6,4,180,224,0.8036,7.9394,0.6977,1316.96,0.6107,0 8 10 13
39,2,4,187,235,0.7957,7.9163,0.7124,1367.65,0.5974,0 2 5 9
40,6,4,177,221,0.8009,7.9131,0.6901,1288.02,0.6060,0 2 6 13
41,2,4,190,239,0.7950,7.9087,0.7183,1389.96,0.5961,2 5 7 9
42,2,3,213,268,0.7948,7.9067,0.7634,1574.97,0.5957,2 5 9
43,2,3,212,267,0.7940,7.8990,0.7612,1565.02,0.5944,5 10 12
44,8,4,186,249,0.7470,7.8940,0.7126,1353.73,0.5192,7 8 10 12
45,7,4,224,280,0.8000,7.8771,0.7818,1657.84,0.6043,1 2 11 12
