rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,3,1,2,2,1.0000,67.0000,1.0000,134.00,1.0000,3
2,3,2,2,2,1.0000,67.0000,1.0000,134.00,1.0000,3 5
3,3,2,2,2,1.0000,67.0000,1.0000,134.00,1.0000,3 6
4,3,2,2,2,1.0000,67.0000,1.0000,134.00,1.0000,3 8
5,2,1,3,3,1.0000,33.5000,0.8571,99.73,1.0000,19
6,2,2,3,3,1.0000,33.5000,0.8571,99.73,1.0000,1 19
7,2,2,3,3,1.0000,33.5000,0.8571,99.73,1.0000,1 27
8,2,2,3,3,1.0000,33.5000,0.8571,99.73,1.0000,11 19
9,2,3,3,3,1.0000,33.5000,0.8571,99.73,1.0000,1 11 34
10,2,3,3,3,1.0000,33.5000,0.8571,99.73,1.0000,1 15 34
11,2,3,3,3,1.0000,33.5000,0.8571,99.73,1.0000,11 15 17
12,2,3,3,3,1.0000,33.5000,0.8571,99.73,1.0000,13 15 17
13,0,3,26,26,1.0000,2.4364,0.6420,46.34,1.0000,5 44 46
14,0,4,26,26,1.0000,2.4364,0.6420,46.34,1.0000,5 6 44 46
15,0,4,26,26,1.0000,2.4364,0.6420,46.34,1.0000,5 8 44 46
16,0,4,26,26,1.0000,2.4364,0.6420,46.34,1.0000,5 18 44 46
17,0,3,20,20,1.0000,2.4364,0.5333,33.77,1.0000,5 25 44
18,0,4,20,20,1.0000,2.4364,0.5333,33.77,1.0000,5 6 25 44
19,0,4,20,20,1.0000,2.4364,0.5333,33.77,1.0000,5 8 25 44
20,0,4,19,19,1.0000,2.4364,0.5135,31.80,1.0000,5 10 25 44
21,0,2,17,17,1.0000,2.4364,0.4722,27.97,1.0000,23 44
22,0,3,17,17,1.0000,2.4364,0.4722,27.97,1.0000,16 23 44
23,0,3,17,17,1.0000,2.4364,0.4722,27.97,1.0000,18 23 44
24,0,3,17,17,1.0000,2.4364,0.4722,27.97,1.0000,23 44 46
25,0,4,16,16,1.0000,2.4364,0.4507,26.10,1.0000,16 34 44 47
26,0,4,15,15,1.0000,2.4364,0.4286,24.26,1.0000,16 34 44 46
27,0,4,14,14,1.0000,2.4364,0.4058,22.46,1.0000,5 13 14 47
28,0,4,14,14,1.0000,2.4364,0.4058,22.46,1.0000,5 13 18 47
29,0,4,14,14,1.0000,2.4364,0.4058,22.46,1.0000,10 34 44 47
30,0,2,13,13,1.0000,2.4364,0.3824,20.68,1.0000,5 32
31,0,3,13,13,1.0000,2.4364,0.3824,20.68,1.0000,5 6 32
32,0,3,13,13,1.0000,2.4364,0.3824,20.68,1.0000,5 8 32
33,0,3,13,13,1.0000,2.4364,0.3824,20.68,1.0000,5 16 32
34,0,4,13,13,1.0000,2.4364,0.3824,20.68,1.0000,5 10 13 47
35,0,4,13,13,1.0000,2.4364,0.3824,20.68,1.0000,5 13 16 47
36,0,4,13,13,1.0000,2.4364,0.3824,20.68,1.0000,5 16 40 47
37,0,4,13,13,1.0000,2.4364,0.3824,20.68,1.0000,10 34 44 46
38,0,4,11,11,1.0000,2.4364,0.3333,17.21,1.0000,16 30 34 44
39,0,2,10,10,1.0000,2.4364,0.3077,15.52,1.0000,12 32
40,0,3,10,10,1.0000,2.4364,0.3077,15.52,1.0000,6 12 32
41,0,3,10,10,1.0000,2.4364,0.3077,15.52,1.0000,8 12 32
42,0,3,10,10,1.0000,2.4364,0.3077,15.52,1.0000,12 16 32
43,0,4,10,10,1.0000,2.4364,0.3077,15.52,1.0000,5 16 40 46
44,0,3,9,9,1.0000,2.4364,0.2813,13.86,1.0000,16 44 52
45,0,3,9,9,1.0000,2.4364,0.2813,13.86,1.0000,26 32 44
46,0,3,9,9,1.0000,2.4364,0.2813,13.86,1.0000,26 32 47
47,0,4,9,9,1.0000,2.4364,0.2813,13.86,1.0000,2 5 16 40
48,0,4,9,9,1.0000,2.4364,0.2813,13.86,1.0000,6 16 44 52
49,0,4,9,9,1.0000,2.4364,0.2813,13.86,1.0000,8 16 44 52
50,0,4,9,9,1.0000,2.4364,0.2813,13.86,1.0000,14 16 44 52
51,0,4,9,9,1.0000,2.4364,0.2813,13.86,1.0000,16 26 32 44
