rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,1,2,15,15,1.0000,16.3701,0.1775,231.93,1.0000,13 39
2,1,3,15,15,1.0000,16.3701,0.1775,231.93,1.0000,6 13 39
3,1,3,15,15,1.0000,16.3701,0.1775,231.93,1.0000,10 13 39
4,1,3,15,15,1.0000,16.3701,0.1775,231.93,1.0000,13 14 39
5,1,4,19,20,0.9500,15.5516,0.2184,277.74,0.8963,4 39 44 57
6,1,4,19,20,0.9500,15.5516,0.2184,277.74,0.8963,6 39 44 48
7,1,4,18,19,0.9474,15.5085,0.2081,262.19,0.8910,39 44 49 57
8,1,4,15,16,0.9375,15.3470,0.1765,215.64,0.8713,1 39 48 57
9,1,4,15,16,0.9375,15.3470,0.1765,215.64,0.8713,2 6 39 48
10,1,4,15,16,0.9375,15.3470,0.1765,215.64,0.8713,4 39 48 57
11,1,4,29,31,0.9355,15.3140,0.3135,418.39,0.8673,6 39 48 57
12,1,3,13,14,0.9286,15.2008,0.1548,184.71,0.8536,21 39 57
13,1,4,13,14,0.9286,15.2008,0.1548,184.71,0.8536,2 4 39 43
14,1,4,13,14,0.9286,15.2008,0.1548,184.71,0.8536,6 21 32 39
15,1,4,13,14,0.9286,15.2008,0.1548,184.71,0.8536,8 21 39 57
16,1,4,13,14,0.9286,15.2008,0.1548,184.71,0.8536,10 21 39 57
17,1,4,13,14,0.9286,15.2008,0.1548,184.71,0.8536,14 21 39 57
18,1,4,55,60,0.9167,15.0060,0.5140,784.44,0.8304,6 39 44 57
19,1,4,22,24,0.9167,15.0060,0.2472,309.25,0.8304,2 39 43 47
20,1,4,21,23,0.9130,14.9466,0.2373,293.74,0.8233,2 4 39 57
21,1,4,21,23,0.9130,14.9466,0.2373,293.74,0.8233,32 39 44 49
22,1,4,30,33,0.9091,14.8819,0.3209,419.24,0.8157,2 6 39 44
23,1,4,20,22,0.9091,14.8819,0.2273,278.26,0.8157,6 39 44 49
