rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,0,4,41,41,1.0000,2.1364,0.6357,59.59,1.0000,15 17 29 57
2,0,4,40,40,1.0000,2.1364,0.6250,57.74,1.0000,15 17 27 57
3,0,3,37,37,1.0000,2.1364,0.5920,52.35,1.0000,17 29 65
4,0,3,37,37,1.0000,2.1364,0.5920,52.35,1.0000,17 29 68
5,0,4,37,37,1.0000,2.1364,0.5920,52.35,1.0000,0 17 29 65
6,0,4,37,37,1.0000,2.1364,0.5920,52.35,1.0000,0 17 29 68
7,0,4,37,37,1.0000,2.1364,0.5920,52.35,1.0000,1 17 29 65
8,0,4,37,37,1.0000,2.1364,0.5920,52.35,1.0000,1 17 29 68
9,0,4,37,37,1.0000,2.1364,0.5920,52.35,1.0000,2 17 29 65
10,0,4,37,37,1.0000,2.1364,0.5920,52.35,1.0000,2 17 29 68
11,0,4,36,36,1.0000,2.1364,0.5806,50.60,1.0000,3 13 27 57
12,0,4,36,36,1.0000,2.1364,0.5806,50.60,1.0000,3 13 29 57
13,0,4,36,36,1.0000,2.1364,0.5806,50.60,1.0000,15 29 37 65
14,0,3,34,34,1.0000,2.1364,0.5574,47.17,1.0000,15 29 63
15,0,4,34,34,1.0000,2.1364,0.5574,47.17,1.0000,0 15 29 63
16,0,4,34,34,1.0000,2.1364,0.5574,47.17,1.0000,1 15 29 63
17,0,4,34,34,1.0000,2.1364,0.5574,47.17,1.0000,13 17 29 57
18,0,4,34,34,1.0000,2.1364,0.5574,47.17,1.0000,13 29 55 65
19,0,4,34,34,1.0000,2.1364,0.5574,47.17,1.0000,13 29 57 65
20,0,4,33,33,1.0000,2.1364,0.5455,45.48,1.0000,13 17 27 57
21,0,3,31,31,1.0000,2.1364,0.5210,42.18,1.0000,19 27 37
22,0,3,31,31,1.0000,2.1364,0.5210,42.18,1.0000,19 27 57
23,0,4,31,31,1.0000,2.1364,0.5210,42.18,1.0000,0 19 27 37
24,0,4,31,31,1.0000,2.1364,0.5210,42.18,1.0000,1 19 27 37
25,0,4,31,31,1.0000,2.1364,0.5210,42.18,1.0000,2 19 27 37
26,0,4,31,31,1.0000,2.1364,0.5210,42.18,1.0000,13 29 55 63
27,0,4,31,31,1.0000,2.1364,0.5210,42.18,1.0000,13 29 57 63
28,0,4,31,31,1.0000,2.1364,0.5210,42.18,1.0000,17 29 57 70
29,0,3,30,30,1.0000,2.1364,0.5085,40.56,1.0000,15 17 59
30,0,4,30,30,1.0000,2.1364,0.5085,40.56,1.0000,0 15 17 59
31,0,4,30,30,1.0000,2.1364,0.5085,40.56,1.0000,1 15 17 59
32,0,4,30,30,1.0000,2.1364,0.5085,40.56,1.0000,2 15 17 59
33,0,4,30,30,1.0000,2.1364,0.5085,40.56,1.0000,11 17 29 37
34,0,4,30,30,1.0000,2.1364,0.5085,40.56,1.0000,17 27 37 47
35,0,3,29,29,1.0000,2.1364,0.4957,38.97,1.0000,3 47 57
36,0,4,29,29,1.0000,2.1364,0.4957,38.97,1.0000,0 3 47 57
37,0,4,29,29,1.0000,2.1364,0.4957,38.97,1.0000,1 3 47 57
38,0,4,29,29,1.0000,2.1364,0.4957,38.97,1.0000,2 3 47 57
39,0,4,29,29,1.0000,2.1364,0.4957,38.97,1.0000,17 27 47 57
40,0,4,29,29,1.0000,2.1364,0.4957,38.97,1.0000,17 27 57 70
41,0,4,29,29,1.0000,2.1364,0.4957,38.97,1.0000,17 29 37 47
42,0,4,29,29,1.0000,2.1364,0.4957,38.97,1.0000,17 47 57 73
43,0,3,28,28,1.0000,2.1364,0.4828,37.39,1.0000,29 63 70
44,0,4,28,28,1.0000,2.1364,0.4828,37.39,1.0000,0 29 63 70
45,0,4,28,28,1.0000,2.1364,0.4828,37.39,1.0000,1 29 63 70
46,0,4,28,28,1.0000,2.1364,0.4828,37.39,1.0000,2 29 63 70
47,0,4,28,28,1.0000,2.1364,0.4828,37.39,1.0000,3 55 61 73
48,0,4,28,28,1.0000,2.1364,0.4828,37.39,1.0000,3 57 61 73
49,0,4,28,28,1.0000,2.1364,0.4828,37.39,1.0000,11 17 27 37
50,0,3,26,26,1.0000,2.1364,0.4561,34.29,1.0000,13 47 57
51,0,4,26,26,1.0000,2.1364,0.4561,34.29,1.0000,0 13 47 57
52,0,4,26,26,1.0000,2.1364,0.4561,34.29,1.0000,1 13 47 57
53,0,4,26,26,1.0000,2.1364,0.4561,34.29,1.0000,2 13 47 57
54,0,4,26,26,1.0000,2.1364,0.4561,34.29,1.0000,3 59 63 73
55,0,4,26,26,1.0000,2.1364,0.4561,34.29,1.0000,47 57 63 73
56,0,3,25,25,1.0000,2.1364,0.4425,32.77,1.0000,27 61 63
57,0,3,25,25,1.0000,2.1364,0.4425,32.77,1.0000,27 61 65
58,0,3,25,25,1.0000,2.1364,0.4425,32.77,1.0000,27 61 73
59,0,4,25,25,1.0000,2.1364,0.4425,32.77,1.0000,0 27 61 63
60,0,3,24,24,1.0000,2.1364,0.4286,31.26,1.0000,19 63 68
61,0,3,24,24,1.0000,2.1364,0.4286,31.26,1.0000,19 65 68
62,0,4,24,24,1.0000,2.1364,0.4286,31.26,1.0000,0 19 63 68
63,0,3,23,23,1.0000,2.1364,0.4144,29.78,1.0000,11 47 57
64,0,4,23,23,1.0000,2.1364,0.4144,29.78,1.0000,0 11 47 57
65,0,4,23,23,1.0000,2.1364,0.4144,29.78,1.0000,1 11 47 57
66,0,4,21,21,1.0000,2.1364,0.3853,26.86,1.0000,3 37 59 68
67,0,4,21,21,1.0000,2.1364,0.3853,26.86,1.0000,37 59 68 70
68,0,4,21,21,1.0000,2.1364,0.3853,26.86,1.0000,47 57 63 68
69,0,4,20,20,1.0000,2.1364,0.3704,25.43,1.0000,9 57 70 73
70,0,4,19,19,1.0000,2.1364,0.3551,24.02,1.0000,9 17 65 73
71,0,4,19,19,1.0000,2.1364,0.3551,24.02,1.0000,9 37 70 73
72,0,4,19,19,1.0000,2.1364,0.3551,24.02,1.0000,59 63 68 70
73,0,4,18,18,1.0000,2.1364,0.3396,22.62,1.0000,10 47 63 73
74,0,4,17,17,1.0000,2.1364,0.3238,21.24,1.0000,9 17 63 73
75,0,4,16,16,1.0000,2.1364,0.3077,19.87,1.0000,9 68 70 73
76,0,4,15,15,1.0000,2.1364,0.2913,18.52,1.0000,3 11 15 71
77,0,4,15,15,1.0000,2.1364,0.2913,18.52,1.0000,9 63 70 73
78,0,4,14,14,1.0000,2.1364,0.2745,17.19,1.0000,3 11 17 71
79,0,4,14,14,1.0000,2.1364,0.2745,17.19,1.0000,10 47 63 68
80,0,4,49,50,0.9800,2.0936,0.7101,71.69,0.9262,3 15 37 73
81,0,4,39,40,0.9750,2.0830,0.6094,52.44,0.9082,3 11 15 73
82,0,4,38,39,0.9744,2.0816,0.5984,50.66,0.9059,3 11 15 37
83,0,4,36,37,0.9730,2.0786,0.5760,47.16,0.9010,3 6 15 37
84,0,4,31,32,0.9688,2.0696,0.5167,38.82,0.8860,13 37 70 73
