rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,0,4,66,66,1.0000,4.2444,0.5366,234.38,1.0000,5 10 21 30
2,0,4,64,64,1.0000,4.2444,0.5246,226.63,1.0000,5 10 12 21
3,0,4,64,64,1.0000,4.2444,0.5246,226.63,1.0000,5 12 21 59
4,0,4,63,63,1.0000,4.2444,0.5185,222.77,1.0000,10 21 30 61
5,0,4,60,60,1.0000,4.2444,0.5000,211.26,1.0000,5 10 21 43
6,0,4,60,60,1.0000,4.2444,0.5000,211.26,1.0000,5 21 30 59
7,0,4,56,56,1.0000,4.2444,0.4746,196.06,1.0000,10 21 43 61
8,0,4,56,56,1.0000,4.2444,0.4746,196.06,1.0000,21 30 59 61
9,0,4,54,54,1.0000,4.2444,0.4615,188.53,1.0000,5 21 43 59
10,0,4,53,53,1.0000,4.2444,0.4549,184.77,1.0000,10 21 30 39
11,0,3,51,51,1.0000,4.2444,0.4416,177.30,1.0000,12 21 53
12,0,3,51,51,1.0000,4.2444,0.4416,177.30,1.0000,21 30 53
13,0,4,51,51,1.0000,4.2444,0.4416,177.30,1.0000,5 12 21 53
14,0,4,51,51,1.0000,4.2444,0.4416,177.30,1.0000,5 21 30 53
15,0,4,51,51,1.0000,4.2444,0.4416,177.30,1.0000,12 21 53 68
16,0,4,50,50,1.0000,4.2444,0.4348,173.58,1.0000,21 43 59 61
17,0,4,47,47,1.0000,4.2444,0.4141,162.48,1.0000,21 30 39 59
18,0,3,46,46,1.0000,4.2444,0.4071,158.81,1.0000,21 30 57
19,0,4,46,46,1.0000,4.2444,0.4071,158.81,1.0000,21 30 57 68
20,0,4,45,45,1.0000,4.2444,0.4000,155.14,1.0000,5 12 21 57
21,0,4,44,44,1.0000,4.2444,0.3929,151.48,1.0000,10 21 30 57
22,0,3,37,37,1.0000,4.2444,0.3410,126.15,1.0000,39 64 68
23,0,4,37,37,1.0000,4.2444,0.3410,126.15,1.0000,5 39 64 68
24,0,4,37,37,1.0000,4.2444,0.3410,126.15,1.0000,25 30 39 59
25,0,4,37,37,1.0000,4.2444,0.3410,126.15,1.0000,30 39 64 68
26,0,4,36,36,1.0000,4.2444,0.3333,122.58,1.0000,1 5 64 68
27,0,3,34,34,1.0000,4.2444,0.3178,115.45,1.0000,21 30 33
28,0,3,34,34,1.0000,4.2444,0.3178,115.45,1.0000,21 33 68
29,0,4,33,33,1.0000,4.2444,0.3099,111.90,1.0000,1 5 59 64
30,0,3,31,31,1.0000,4.2444,0.2938,104.83,1.0000,1 53 64
31,0,4,31,31,1.0000,4.2444,0.2938,104.83,1.0000,1 5 53 64
32,0,4,30,30,1.0000,4.2444,0.2857,101.31,1.0000,1 12 53 64
33,0,4,29,29,1.0000,4.2444,0.2775,97.80,1.0000,30 39 58 68
34,0,4,28,28,1.0000,4.2444,0.2692,94.30,1.0000,1 30 58 68
35,0,3,26,26,1.0000,4.2444,0.2524,87.33,1.0000,25 39 58
36,0,4,26,26,1.0000,4.2444,0.2524,87.33,1.0000,1 30 39 58
37,0,4,24,24,1.0000,4.2444,0.2353,80.39,1.0000,4 23 32 38
38,0,4,24,24,1.0000,4.2444,0.2353,80.39,1.0000,4 31 32 38
39,0,4,24,24,1.0000,4.2444,0.2353,80.39,1.0000,4 32 38 46
40,0,4,24,24,1.0000,4.2444,0.2353,80.39,1.0000,10 30 58 68
41,0,4,23,23,1.0000,4.2444,0.2266,76.94,1.0000,1 4 38 42
42,0,4,22,22,1.0000,4.2444,0.2178,73.49,1.0000,1 4 23 38
43,0,4,22,22,1.0000,4.2444,0.2178,73.49,1.0000,1 4 31 38
44,0,4,22,22,1.0000,4.2444,0.2178,73.49,1.0000,1 4 38 46
45,0,3,21,21,1.0000,4.2444,0.2090,70.06,1.0000,12 21 38
46,0,4,21,21,1.0000,4.2444,0.2090,70.06,1.0000,5 12 21 65
47,0,4,21,21,1.0000,4.2444,0.2090,70.06,1.0000,12 21 38 68
48,0,4,20,20,1.0000,4.2444,0.2000,66.63,1.0000,4 23 38 61
49,0,3,18,18,1.0000,4.2444,0.1818,59.81,1.0000,21 42 61
50,0,3,18,18,1.0000,4.2444,0.1818,59.81,1.0000,32 38 65
51,0,4,18,18,1.0000,4.2444,0.1818,59.81,1.0000,12 21 42 61
52,0,4,18,18,1.0000,4.2444,0.1818,59.81,1.0000,21 42 61 68
53,0,4,18,18,1.0000,4.2444,0.1818,59.81,1.0000,23 32 38 65
54,0,4,18,18,1.0000,4.2444,0.1818,59.81,1.0000,23 38 61 65
55,0,4,18,18,1.0000,4.2444,0.1818,59.81,1.0000,32 38 61 65
56,0,4,17,17,1.0000,4.2444,0.1726,56.41,1.0000,9 20 23 61
57,0,4,17,17,1.0000,4.2444,0.1726,56.41,1.0000,12 21 57 66
58,0,4,16,16,1.0000,4.2444,0.1633,53.02,1.0000,1 4 20 32
59,0,4,16,16,1.0000,4.2444,0.1633,53.02,1.0000,1 23 38 67
60,0,4,16,16,1.0000,4.2444,0.1633,53.02,1.0000,1 31 38 67
61,0,4,16,16,1.0000,4.2444,0.1633,53.02,1.0000,1 38 46 67
62,0,4,16,16,1.0000,4.2444,0.1633,53.02,1.0000,9 20 31 61
63,0,3,15,15,1.0000,4.2444,0.1538,49.64,1.0000,32 38 58
64,0,3,15,15,1.0000,4.2444,0.1538,49.64,1.0000,39 47 68
65,0,4,15,15,1.0000,4.2444,0.1538,49.64,1.0000,5 39 47 68
66,0,4,15,15,1.0000,4.2444,0.1538,49.64,1.0000,9 20 46 61
67,0,2,14,14,1.0000,4.2444,0.1443,46.27,1.0000,15 46
68,0,3,14,14,1.0000,4.2444,0.1443,46.27,1.0000,5 32 65
69,0,3,14,14,1.0000,4.2444,0.1443,46.27,1.0000,12 15 46
70,0,3,14,14,1.0000,4.2444,0.1443,46.27,1.0000,15 23 46
71,0,3,14,14,1.0000,4.2444,0.1443,46.27,1.0000,15 31 46
72,0,4,14,14,1.0000,4.2444,0.1443,46.27,1.0000,4 20 23 61
73,0,4,14,14,1.0000,4.2444,0.1443,46.27,1.0000,4 20 31 61
74,0,4,14,14,1.0000,4.2444,0.1443,46.27,1.0000,4 20 32 61
75,0,4,14,14,1.0000,4.2444,0.1443,46.27,1.0000,5 32 61 65
76,0,4,14,14,1.0000,4.2444,0.1443,46.27,1.0000,24 39 47 68
77,0,4,14,14,1.0000,4.2444,0.1443,46.27,1.0000,30 39 47 68
78,0,3,13,13,1.0000,4.2444,0.1347,42.91,1.0000,8 23 38
79,0,3,13,13,1.0000,4.2444,0.1347,42.91,1.0000,8 31 38
80,0,3,13,13,1.0000,4.2444,0.1347,42.91,1.0000,8 32 38
81,0,3,13,13,1.0000,4.2444,0.1347,42.91,1.0000,8 38 42
82,0,3,13,13,1.0000,4.2444,0.1347,42.91,1.0000,10 39 47
83,0,4,13,13,1.0000,4.2444,0.1347,42.91,1.0000,4 23 38 68
84,0,4,13,13,1.0000,4.2444,0.1347,42.91,1.0000,5 10 39 47
85,0,4,11,11,1.0000,4.2444,0.1152,36.21,1.0000,0 23 59 66
86,0,4,11,11,1.0000,4.2444,0.1152,36.21,1.0000,0 31 59 66
87,0,4,11,11,1.0000,4.2444,0.1152,36.21,1.0000,0 46 59 66
88,0,4,11,11,1.0000,4.2444,0.1152,36.21,1.0000,20 23 57 61
89,0,3,22,23,0.9565,4.0599,0.2167,68.43,0.8895,20 23 61
90,0,4,19,20,0.9500,4.0322,0.1900,58.20,0.8735,1 23 61 65
91,0,4,19,20,0.9500,4.0322,0.1900,58.20,0.8735,1 32 61 65
92,0,4,19,20,0.9500,4.0322,0.1900,58.20,0.8735,1 46 61 65
