rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,1,3,48,48,1.0000,3.0357,0.0627,98.77,1.0000,30 58 89
2,1,3,48,48,1.0000,3.0357,0.0627,98.77,1.0000,37 53 85
3,1,4,48,48,1.0000,3.0357,0.0627,98.77,1.0000,0 30 58 89
4,1,4,48,48,1.0000,3.0357,0.0627,98.77,1.0000,0 37 53 85
5,1,4,48,48,1.0000,3.0357,0.0627,98.77,1.0000,30 58 89 100
6,1,4,48,48,1.0000,3.0357,0.0627,98.77,1.0000,37 53 85 100
7,1,4,47,47,1.0000,3.0357,0.0614,96.69,1.0000,52 79 84 98
8,1,3,45,45,1.0000,3.0357,0.0589,92.53,1.0000,16 37 89
9,1,3,45,45,1.0000,3.0357,0.0589,92.53,1.0000,30 54 74
10,1,3,45,45,1.0000,3.0357,0.0589,92.53,1.0000,42 53 74
11,1,4,45,45,1.0000,3.0357,0.0589,92.53,1.0000,0 16 37 89
12,1,4,45,45,1.0000,3.0357,0.0589,92.53,1.0000,0 30 54 74
13,1,4,45,45,1.0000,3.0357,0.0589,92.53,1.0000,0 42 53 74
14,1,4,45,45,1.0000,3.0357,0.0589,92.53,1.0000,16 37 89 100
15,1,4,45,45,1.0000,3.0357,0.0589,92.53,1.0000,30 54 74 100
16,1,4,45,45,1.0000,3.0357,0.0589,92.53,1.0000,42 53 74 100
17,2,3,72,72,1.0000,3.0174,0.0921,147.62,1.0000,38 50 61
18,2,4,72,72,1.0000,3.0174,0.0921,147.62,1.0000,0 38 50 61
19,2,4,72,72,1.0000,3.0174,0.0921,147.62,1.0000,38 50 61 100
20,2,3,66,66,1.0000,3.0174,0.0847,135.13,1.0000,28 50 55
21,2,4,66,66,1.0000,3.0174,0.0847,135.13,1.0000,0 28 50 55
22,2,4,66,66,1.0000,3.0174,0.0847,135.13,1.0000,28 50 55 100
23,2,3,63,63,1.0000,3.0174,0.0810,128.90,1.0000,17 55 88
24,2,4,63,63,1.0000,3.0174,0.0810,128.90,1.0000,0 17 55 88
25,2,4,63,63,1.0000,3.0174,0.0810,128.90,1.0000,17 55 88 100
26,2,3,61,61,1.0000,3.0174,0.0786,124.75,1.0000,17 38 55
27,2,3,61,61,1.0000,3.0174,0.0786,124.75,1.0000,17 44 55
28,2,4,61,61,1.0000,3.0174,0.0786,124.75,1.0000,0 17 38 55
29,2,4,61,61,1.0000,3.0174,0.0786,124.75,1.0000,0 17 44 55
30,2,4,61,61,1.0000,3.0174,0.0786,124.75,1.0000,17 38 55 100
31,2,4,61,61,1.0000,3.0174,0.0786,124.75,1.0000,17 44 55 100
32,2,3,60,60,1.0000,3.0174,0.0773,122.68,1.0000,50 61 77
33,2,4,60,60,1.0000,3.0174,0.0773,122.68,1.0000,0 50 61 77
34,2,4,60,60,1.0000,3.0174,0.0773,122.68,1.0000,50 61 77 100
35,2,3,55,55,1.0000,3.0174,0.0711,112.33,1.0000,24 38 50
36,2,4,55,55,1.0000,3.0174,0.0711,112.33,1.0000,0 24 38 50
37,2,4,55,55,1.0000,3.0174,0.0711,112.33,1.0000,24 38 50 100
38,2,3,54,54,1.0000,3.0174,0.0699,110.26,1.0000,24 28 50
39,2,4,54,54,1.0000,3.0174,0.0699,110.26,1.0000,0 24 28 50
40,2,4,54,54,1.0000,3.0174,0.0699,110.26,1.0000,24 28 50 100
41,2,3,53,53,1.0000,3.0174,0.0686,108.20,1.0000,50 61 88
42,2,4,53,53,1.0000,3.0174,0.0686,108.20,1.0000,0 50 61 88
43,2,4,53,53,1.0000,3.0174,0.0686,108.20,1.0000,50 61 88 100
44,2,3,51,51,1.0000,3.0174,0.0661,104.07,1.0000,17 55 92
45,2,4,51,51,1.0000,3.0174,0.0661,104.07,1.0000,0 17 55 92
46,2,4,51,51,1.0000,3.0174,0.0661,104.07,1.0000,17 55 92 100
47,2,3,50,50,1.0000,3.0174,0.0649,102.00,1.0000,8 55 77
48,2,4,50,50,1.0000,3.0174,0.0649,102.00,1.0000,0 8 55 77
49,2,4,50,50,1.0000,3.0174,0.0649,102.00,1.0000,8 55 77 100
50,2,3,49,49,1.0000,3.0174,0.0636,99.94,1.0000,17 55 83
51,2,4,49,49,1.0000,3.0174,0.0636,99.94,1.0000,0 17 55 83
52,2,4,49,49,1.0000,3.0174,0.0636,99.94,1.0000,17 55 83 100
53,2,3,47,47,1.0000,3.0174,0.0611,95.82,1.0000,18 50 77
54,2,4,47,47,1.0000,3.0174,0.0611,95.82,1.0000,0 18 50 77
55,2,4,47,47,1.0000,3.0174,0.0611,95.82,1.0000,18 50 77 100
56,2,4,46,46,1.0000,3.0174,0.0598,93.76,1.0000,38 50 61 98
57,1,3,65,66,0.9848,2.9897,0.0839,130.27,0.9553,37 53 79
58,1,4,65,66,0.9848,2.9897,0.0839,130.27,0.9553,0 37 53 79
59,1,4,65,66,0.9848,2.9897,0.0839,130.27,0.9553,37 53 79 100
60,1,3,59,60,0.9833,2.9851,0.0765,117.72,0.9509,37 53 74
61,1,4,59,60,0.9833,2.9851,0.0765,117.72,0.9509,0 37 53 74
62,1,4,59,60,0.9833,2.9851,0.0765,117.72,0.9509,37 53 74 100
63,1,3,56,57,0.9825,2.9825,0.0727,111.46,0.9484,2 24 49
64,1,4,56,57,0.9825,2.9825,0.0727,111.46,0.9484,0 2 24 49
65,1,4,56,57,0.9825,2.9825,0.0727,111.46,0.9484,2 24 49 100
66,1,3,55,56,0.9821,2.9815,0.0715,109.37,0.9475,17 54 79
67,1,3,55,56,0.9821,2.9815,0.0715,109.37,0.9475,30 54 85
68,1,4,55,56,0.9821,2.9815,0.0715,109.37,0.9475,0 17 54 79
69,1,4,55,56,0.9821,2.9815,0.0715,109.37,0.9475,0 30 54 85
70,1,4,55,56,0.9821,2.9815,0.0715,109.37,0.9475,17 54 79 100
71,1,4,55,56,0.9821,2.9815,0.0715,109.37,0.9475,30 52 79 84
72,1,4,55,56,0.9821,2.9815,0.0715,109.37,0.9475,30 54 85 100
73,1,3,54,55,0.9818,2.9805,0.0702,107.29,0.9465,23 43 89
74,1,4,54,55,0.9818,2.9805,0.0702,107.29,0.9465,0 23 43 89
75,1,4,54,55,0.9818,2.9805,0.0702,107.29,0.9465,23 43 89 100
76,1,3,52,53,0.9811,2.9785,0.0677,103.12,0.9445,12 49 74
77,1,3,52,53,0.9811,2.9785,0.0677,103.12,0.9445,30 42 53
78,1,4,52,53,0.9811,2.9785,0.0677,103.12,0.9445,0 12 49 74
79,1,4,52,53,0.9811,2.9785,0.0677,103.12,0.9445,0 30 42 53
80,1,4,52,53,0.9811,2.9785,0.0677,103.12,0.9445,12 49 74 100
81,1,4,52,53,0.9811,2.9785,0.0677,103.12,0.9445,30 42 53 100
82,2,3,74,75,0.9867,2.9772,0.0944,147.79,0.9605,50 55 77
83,2,4,74,75,0.9867,2.9772,0.0944,147.79,0.9605,0 50 55 77
84,2,4,74,75,0.9867,2.9772,0.0944,147.79,0.9605,50 55 77 100
85,1,3,49,50,0.9800,2.9750,0.0639,96.88,0.9412,17 49 79
86,1,3,49,50,0.9800,2.9750,0.0639,96.88,0.9412,30 54 93
87,1,4,49,50,0.9800,2.9750,0.0639,96.88,0.9412,0 17 49 79
88,1,4,49,50,0.9800,2.9750,0.0639,96.88,0.9412,0 30 54 93
89,1,4,49,50,0.9800,2.9750,0.0639,96.88,0.9412,17 49 79 100
90,1,4,49,50,0.9800,2.9750,0.0639,96.88,0.9412,30 54 93 100
91,1,3,48,49,0.9796,2.9738,0.0627,94.80,0.9401,16 74 89
92,1,3,48,49,0.9796,2.9738,0.0627,94.80,0.9401,23 30 48
93,1,4,48,49,0.9796,2.9738,0.0627,94.80,0.9401,0 16 74 89
94,1,4,48,49,0.9796,2.9738,0.0627,94.80,0.9401,0 23 30 48
95,1,4,48,49,0.9796,2.9738,0.0627,94.80,0.9401,16 74 89 100
96,1,4,48,49,0.9796,2.9738,0.0627,94.80,0.9401,23 30 48 100
97,1,3,46,47,0.9787,2.9711,0.0601,90.65,0.9376,24 42 53
98,1,3,46,47,0.9787,2.9711,0.0601,90.65,0.9376,43 68 84
99,1,4,46,47,0.9787,2.9711,0.0601,90.65,0.9376,0 24 42 53
100,1,4,46,47,0.9787,2.9711,0.0601,90.65,0.9376,0 43 68 84
101,1,4,46,47,0.9787,2.9711,0.0601,90.65,0.9376,6 37 84 89
102,1,4,46,47,0.9787,2.9711,0.0601,90.65,0.9376,24 42 53 100
103,1,4,46,47,0.9787,2.9711,0.0601,90.65,0.9376,43 68 84 100
104,2,2,63,64,0.9844,2.9703,0.0810,124.93,0.9538,13 38
105,2,3,63,64,0.9844,2.9703,0.0810,124.93,0.9538,0 13 38
106,2,3,63,64,0.9844,2.9703,0.0810,124.93,0.9538,13 38 100
107,2,4,63,64,0.9844,2.9703,0.0810,124.93,0.9538,0 13 38 100
108,1,3,45,46,0.9783,2.9697,0.0589,88.58,0.9362,2 30 58
109,1,3,45,46,0.9783,2.9697,0.0589,88.58,0.9362,2 43 68
110,1,3,45,46,0.9783,2.9697,0.0589,88.58,0.9362,16 30 89
111,1,3,45,46,0.9783,2.9697,0.0589,88.58,0.9362,30 54 84
112,1,3,45,46,0.9783,2.9697,0.0589,88.58,0.9362,37 53 84
113,1,3,45,46,0.9783,2.9697,0.0589,88.58,0.9362,52 62 89
114,1,4,45,46,0.9783,2.9697,0.0589,88.58,0.9362,0 2 30 58
115,1,4,45,46,0.9783,2.9697,0.0589,88.58,0.9362,0 2 43 68
116,1,4,45,46,0.9783,2.9697,0.0589,88.58,0.9362,0 16 30 89
117,1,4,45,46,0.9783,2.9697,0.0589,88.58,0.9362,0 30 54 84
118,1,4,45,46,0.9783,2.9697,0.0589,88.58,0.9362,0 37 53 84
119,1,4,45,46,0.9783,2.9697,0.0589,88.58,0.9362,0 52 62 89
120,1,4,45,46,0.9783,2.9697,0.0589,88.58,0.9362,2 30 58 100
121,1,4,45,46,0.9783,2.9697,0.0589,88.58,0.9362,2 43 68 100
122,1,4,45,46,0.9783,2.9697,0.0589,88.58,0.9362,16 30 89 100
123,1,4,45,46,0.9783,2.9697,0.0589,88.58,0.9362,30 54 84 100
124,1,4,45,46,0.9783,2.9697,0.0589,88.58,0.9362,37 53 84 100
125,1,4,45,46,0.9783,2.9697,0.0589,88.58,0.9362,52 62 89 100
126,2,3,60,61,0.9836,2.9680,0.0773,118.71,0.9516,17 50 77
127,2,4,60,61,0.9836,2.9680,0.0773,118.71,0.9516,0 17 50 77
128,2,4,60,61,0.9836,2.9680,0.0773,118.71,0.9516,17 50 77 100
129,2,3,58,59,0.9831,2.9663,0.0748,114.57,0.9499,11 50 77
130,2,4,58,59,0.9831,2.9663,0.0748,114.57,0.9499,0 11 50 77
131,2,4,58,59,0.9831,2.9663,0.0748,114.57,0.9499,11 50 77 100
132,1,3,81,83,0.9759,2.9626,0.1034,159.99,0.9294,52 79 84
133,1,4,81,83,0.9759,2.9626,0.1034,159.99,0.9294,0 52 79 84
134,1,4,81,83,0.9759,2.9626,0.1034,159.99,0.9294,52 79 84 100
135,2,3,54,55,0.9818,2.9626,0.0698,106.30,0.9464,18 38 50
136,2,4,54,55,0.9818,2.9626,0.0698,106.30,0.9464,0 18 38 50
137,2,4,54,55,0.9818,2.9626,0.0698,106.30,0.9464,18 38 50 100
138,2,3,53,54,0.9815,2.9615,0.0686,104.24,0.9454,55 62 88
139,2,4,53,54,0.9815,2.9615,0.0686,104.24,0.9454,0 55 62 88
140,2,4,53,54,0.9815,2.9615,0.0686,104.24,0.9454,55 62 88 100
141,2,3,51,52,0.9808,2.9594,0.0661,100.11,0.9433,12 28 50
142,2,4,51,52,0.9808,2.9594,0.0661,100.11,0.9433,0 12 28 50
143,2,4,51,52,0.9808,2.9594,0.0661,100.11,0.9433,12 28 50 100
144,2,3,50,51,0.9804,2.9583,0.0648,98.05,0.9422,17 34 55
145,2,3,50,51,0.9804,2.9583,0.0648,98.05,0.9422,44 55 77
146,2,3,50,51,0.9804,2.9583,0.0648,98.05,0.9422,55 70 88
147,2,3,50,51,0.9804,2.9583,0.0648,98.05,0.9422,55 77 91
148,2,4,50,51,0.9804,2.9583,0.0648,98.05,0.9422,0 17 34 55
149,2,4,50,51,0.9804,2.9583,0.0648,98.05,0.9422,0 44 55 77
150,2,4,50,51,0.9804,2.9583,0.0648,98.05,0.9422,0 55 70 88
151,2,4,50,51,0.9804,2.9583,0.0648,98.05,0.9422,0 55 77 91
152,2,4,50,51,0.9804,2.9583,0.0648,98.05,0.9422,17 34 55 100
153,2,4,50,51,0.9804,2.9583,0.0648,98.05,0.9422,44 55 77 100
154,2,4,50,51,0.9804,2.9583,0.0648,98.05,0.9422,55 70 88 100
155,2,4,50,51,0.9804,2.9583,0.0648,98.05,0.9422,55 77 91 100
156,2,3,49,50,0.9800,2.9571,0.0636,95.99,0.9411,17 28 50
157,2,3,49,50,0.9800,2.9571,0.0636,95.99,0.9411,24 55 77
158,2,3,49,50,0.9800,2.9571,0.0636,95.99,0.9411,55 77 88
159,2,4,49,50,0.9800,2.9571,0.0636,95.99,0.9411,0 17 28 50
160,2,4,49,50,0.9800,2.9571,0.0636,95.99,0.9411,0 24 55 77
161,2,4,49,50,0.9800,2.9571,0.0636,95.99,0.9411,0 55 77 88
162,2,4,49,50,0.9800,2.9571,0.0636,95.99,0.9411,17 28 50 100
163,2,4,49,50,0.9800,2.9571,0.0636,95.99,0.9411,24 55 77 100
164,2,4,49,50,0.9800,2.9571,0.0636,95.99,0.9411,55 77 88 100
165,2,3,48,49,0.9796,2.9558,0.0623,93.93,0.9399,17 55 77
166,2,3,48,49,0.9796,2.9558,0.0623,93.93,0.9399,28 50 61
167,2,3,47,48,0.9792,2.9546,0.0610,91.88,0.9387,12 55 77
168,2,3,47,48,0.9792,2.9546,0.0610,91.88,0.9387,45 55 77
