rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,2,2,37,37,1.0000,3.6818,0.9136,128.60,1.0000,24 26
2,2,3,37,37,1.0000,3.6818,0.9136,128.60,1.0000,6 24 26
3,2,2,36,36,1.0000,3.6818,0.9000,124.13,1.0000,6 13
4,2,3,36,36,1.0000,3.6818,0.9000,124.13,1.0000,6 11 13
5,2,3,36,36,1.0000,3.6818,0.9000,124.13,1.0000,8 24 26
6,2,4,36,36,1.0000,3.6818,0.9000,124.13,1.0000,6 8 24 26
7,2,2,35,35,1.0000,3.6818,0.8861,119.73,1.0000,8 13
8,2,3,35,35,1.0000,3.6818,0.8861,119.73,1.0000,6 8 13
9,0,4,51,51,1.0000,3.0000,0.9714,148.86,1.0000,1 10 22 28
10,0,4,50,50,1.0000,3.0000,0.9615,144.64,1.0000,1 6 12 22
11,0,4,50,50,1.0000,3.0000,0.9615,144.64,1.0000,1 6 16 22
12,0,4,50,50,1.0000,3.0000,0.9615,144.64,1.0000,1 10 12 22
13,0,4,50,50,1.0000,3.0000,0.9615,144.64,1.0000,1 10 16 22
14,0,4,45,45,1.0000,3.0000,0.9091,124.62,1.0000,10 17 22 28
15,0,1,40,40,1.0000,3.0000,0.8511,106.23,1.0000,32
16,0,2,40,40,1.0000,3.0000,0.8511,106.23,1.0000,1 32
17,0,2,40,40,1.0000,3.0000,0.8511,106.23,1.0000,6 32
18,0,2,40,40,1.0000,3.0000,0.8511,106.23,1.0000,10 32
19,1,1,51,51,1.0000,2.5313,0.8870,113.97,1.0000,21
20,1,2,51,51,1.0000,2.5313,0.8870,113.97,1.0000,0 25
21,1,2,48,48,1.0000,2.5313,0.8571,104.45,1.0000,0 21
22,1,2,45,45,1.0000,2.5313,0.8257,95.41,1.0000,21 25
23,1,2,44,44,1.0000,2.5313,0.8148,92.50,1.0000,8 21
24,1,2,44,44,1.0000,2.5313,0.8148,92.50,1.0000,20 21
25,1,3,44,44,1.0000,2.5313,0.8148,92.50,1.0000,0 8 25
26,1,3,42,42,1.0000,2.5313,0.7925,86.82,1.0000,0 20 25
27,1,2,41,41,1.0000,2.5313,0.7810,84.05,1.0000,0 28
28,1,3,40,40,1.0000,2.5313,0.7692,81.33,1.0000,8 20 21
29,1,3,38,38,1.0000,2.5313,0.7451,76.02,1.0000,0 8 28
30,1,4,38,38,1.0000,2.5313,0.7451,76.02,1.0000,0 8 20 25
31,1,3,36,36,1.0000,2.5313,0.7200,70.88,1.0000,0 20 28
32,1,3,33,33,1.0000,2.5313,0.6804,63.46,1.0000,0 11 25
33,1,4,33,33,1.0000,2.5313,0.6804,63.46,1.0000,0 8 20 28
34,1,2,32,32,1.0000,2.5313,0.6667,61.06,1.0000,8 15
35,1,2,31,31,1.0000,2.5313,0.6526,58.70,1.0000,9 25
36,1,2,30,30,1.0000,2.5313,0.6383,56.38,1.0000,9 20
37,1,2,30,30,1.0000,2.5313,0.6383,56.38,1.0000,11 21
38,1,3,30,30,1.0000,2.5313,0.6383,56.38,1.0000,0 11 21
39,1,3,30,30,1.0000,2.5313,0.6383,56.38,1.0000,8 15 25
40,1,2,28,28,1.0000,2.5313,0.6087,51.83,1.0000,0 3
41,1,2,28,28,1.0000,2.5313,0.6087,51.83,1.0000,9 28
42,1,3,27,27,1.0000,2.5313,0.5934,49.61,1.0000,0 3 25
43,1,3,27,27,1.0000,2.5313,0.5934,49.61,1.0000,8 9 20
44,1,3,26,26,1.0000,2.5313,0.5778,47.42,1.0000,8 15 20
45,1,3,26,26,1.0000,2.5313,0.5778,47.42,1.0000,9 20 25
