rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,5,4,4,4,1.0000,23.2500,1.0000,93.00,1.0000,2 7 11 18
2,5,4,4,4,1.0000,23.2500,1.0000,93.00,1.0000,2 11 18 31
3,5,4,4,4,1.0000,23.2500,1.0000,93.00,1.0000,5 11 14 18
4,5,4,4,4,1.0000,23.2500,1.0000,93.00,1.0000,5 11 14 22
5,6,4,4,4,1.0000,18.6000,0.8889,73.56,1.0000,1 2 10 16
6,6,4,4,4,1.0000,18.6000,0.8889,73.56,1.0000,2 5 10 16
7,6,4,4,4,1.0000,18.6000,0.8889,73.56,1.0000,2 5 10 27
8,6,4,4,4,1.0000,18.6000,0.8889,73.56,1.0000,2 7 10 16
9,6,4,4,5,0.8000,14.8800,0.8000,57.84,0.6219,1 14 22 27
10,6,4,4,5,0.8000,14.8800,0.8000,57.84,0.6219,7 14 22 27
11,6,4,5,7,0.7143,13.2857,0.8333,64.92,1.0000,1 2 22 27
12,6,4,5,7,0.7143,13.2857,0.8333,64.92,1.0000,2 7 22 27
13,4,3,8,8,1.0000,11.6250,1.0000,93.00,1.0000,5 10 25
14,4,3,8,8,1.0000,11.6250,1.0000,93.00,1.0000,5 18 25
15,4,3,8,8,1.0000,11.6250,1.0000,93.00,1.0000,10 25 26
16,4,3,8,8,1.0000,11.6250,1.0000,93.00,1.0000,18 25 26
17,3,3,7,7,1.0000,10.3333,0.8750,70.65,1.0000,8 12 17
18,3,4,7,7,1.0000,10.3333,0.8750,70.65,1.0000,1 8 12 17
19,3,4,7,7,1.0000,10.3333,0.8750,70.65,1.0000,2 8 12 17
20,3,4,7,7,1.0000,10.3333,0.8750,70.65,1.0000,7 8 12 17
21,3,2,4,4,1.0000,10.3333,0.6154,39.01,1.0000,17 24
22,3,3,4,4,1.0000,10.3333,0.6154,39.01,1.0000,1 17 24
23,3,3,4,4,1.0000,10.3333,0.6154,39.01,1.0000,2 17 24
24,3,3,4,4,1.0000,10.3333,0.6154,39.01,1.0000,5 17 24
25,1,2,12,12,1.0000,7.7500,1.0000,93.00,1.0000,5 23
26,1,2,12,12,1.0000,7.7500,1.0000,93.00,1.0000,7 23
27,1,2,12,12,1.0000,7.7500,1.0000,93.00,1.0000,19 23
28,1,3,12,12,1.0000,7.7500,1.0000,93.00,1.0000,1 5 23
29,2,1,18,18,1.0000,5.1667,1.0000,93.00,1.0000,3
30,2,2,18,18,1.0000,5.1667,1.0000,93.00,1.0000,1 3
31,2,2,18,18,1.0000,5.1667,1.0000,93.00,1.0000,3 5
32,2,2,18,18,1.0000,5.1667,1.0000,93.00,1.0000,3 7
33,0,1,37,37,1.0000,2.5135,1.0000,93.00,1.0000,6
34,0,2,37,37,1.0000,2.5135,1.0000,93.00,1.0000,2 6
35,0,2,37,37,1.0000,2.5135,1.0000,93.00,1.0000,6 16
36,0,2,37,37,1.0000,2.5135,1.0000,93.00,1.0000,6 18
